osmid,lanes,name,highway,maxspeed,oneway,reversed,length,width,geometry,tunnel,junction,access,bridge
39257404,2,Via Vinicio Pescerelli,tertiary,50,False,True,121.829,,"LINESTRING (11.4002093 44.6999208, 11.4016427 44.6995179)",,,,
41522555,,Via Giuseppe Pilati,residential,30,False,False,56.706,9.5,"LINESTRING (11.4002093 44.6999208, 11.3999144 44.6994559)",,,,
39257404,2,Via Vinicio Pescerelli,tertiary,50,False,False,195.14999999999998,,"LINESTRING (11.4002093 44.6999208, 11.4009297 44.7010584, 11.4012227 44.7015212)",,,,
738483602,,Via Armando Stagni,residential,50,False,True,55.949,8.3,"LINESTRING (11.4002093 44.6999208, 11.3999432 44.6999786, 11.3997363 44.7000261, 11.3996625 44.700041, 11.3996126 44.7000383, 11.3995826 44.7000264, 11.3995513 44.6999977)",,,,
260184874,2,Via Vinicio Pescerelli,tertiary,,False,True,33.543,,"LINESTRING (11.4050671 44.7032753, 11.4046785 44.7033966)",,,,
479862374,2,Via Vinicio Pescerelli,tertiary,,False,False,37.987,,"LINESTRING (11.4050671 44.7032753, 11.4055085 44.7031401)",,,,
39257402,,Via Cesare Battisti,residential,,False,False,81.831,,"LINESTRING (11.4032898 44.6994994, 11.4034057 44.6994686, 11.4037351 44.6993811, 11.4041854 44.6992685, 11.4042633 44.699249)",,,,
368117262,,Via Giacomo Matteotti,residential,,False,False,48.912,,"LINESTRING (11.4032898 44.6994994, 11.4030305 44.6991369, 11.4030085 44.6991076)",,,,
23348336,,Via Vittorio Veneto,residential,,False,False,20.692,,"LINESTRING (11.4061695 44.700471, 11.4059425 44.7005637)",,,,
203176890,,Via ventiquattro Maggio,residential,,False,False,136.466,,"LINESTRING (11.4061695 44.700471, 11.4068952 44.7015846)",,,,
203176890,,Via ventiquattro Maggio,residential,,False,True,54.325,,"LINESTRING (11.4061695 44.700471, 11.4058636 44.7000335)",,,,
"[547686647, 23348335]",,Via Giacomo Matteotti,residential,,True,False,87.352,,"LINESTRING (11.4045836 44.7011715, 11.4040528 44.7005219, 11.4040491 44.7005172, 11.404029 44.700492)",,,,
"[547686648, 547686649, 224548939]",,Via Vittorio Veneto,residential,,True,False,126.903,,"LINESTRING (11.4045836 44.7011715, 11.4046036 44.7011627, 11.4050051 44.7009862, 11.4052243 44.7008884, 11.4059114 44.7005766, 11.4059153 44.7005747, 11.4059425 44.7005637)",,,,
"[39257446, 24832686, 203177358]",2,Via Galliera Nord,tertiary,,False,"[False, True]",225.599,,"LINESTRING (11.4092484 44.7020654, 11.4079517 44.7024541, 11.4077395 44.7025204, 11.4074554 44.7026042, 11.4065952 44.7028103)",yes,,,
23348336,,Via Vittorio Veneto,residential,,False,True,20.692,,"LINESTRING (11.4059425 44.7005637, 11.4061695 44.700471)",,,,
24832687,,Via Filippo Corridoni,residential,,True,False,113.72399999999999,,"LINESTRING (11.4059425 44.7005637, 11.4062185 44.7009507, 11.4062939 44.7010777, 11.4063328 44.7011403, 11.4063472 44.7012402, 11.4062983 44.7013644, 11.4062139 44.7014745, 11.4061832 44.7014917)",,,,
23348335,,Via Giacomo Matteotti,residential,,True,False,69.595,,"LINESTRING (11.4051949 44.7019196, 11.4051873 44.7019103, 11.4048199 44.7014606, 11.4047526 44.7013784)",,,,
39257405,,Via Guglielmo Oberdan,residential,,True,False,115.57600000000001,,"LINESTRING (11.4051949 44.7019196, 11.4046168 44.7021867, 11.4041399 44.7024375, 11.4039955 44.7025134)",,,,
224115811,,Via Guglielmo Oberdan,residential,,False,True,154.549,,"LINESTRING (11.4023461 44.70326, 11.4024288 44.7032226, 11.4024905 44.7031947, 11.4026243 44.7031341, 11.402765 44.7030704, 11.4029089 44.7030053, 11.4030515 44.7029407, 11.4031984 44.7028742, 11.403336 44.702812, 11.4034743 44.7027493, 11.4039955 44.7025134)",,,,
"[260184874, 39257404]",2,Via Vinicio Pescerelli,tertiary,50,False,True,212.76799999999997,,"LINESTRING (11.4023461 44.70326, 11.4017944 44.7023834, 11.4016273 44.7021314, 11.4012227 44.7015212)",,,,
"[260184874, 39257404]",2,Via Vinicio Pescerelli,tertiary,50,False,False,212.768,,"LINESTRING (11.4012227 44.7015212, 11.4016273 44.7021314, 11.4017944 44.7023834, 11.4023461 44.70326)",,,,
39257404,2,Via Vinicio Pescerelli,tertiary,50,False,True,195.14999999999998,,"LINESTRING (11.4012227 44.7015212, 11.4009297 44.7010584, 11.4002093 44.6999208)",,,,
39257409,,Via Ruffillo Tolomelli,residential,,False,True,86.39699999999999,,"LINESTRING (11.4012227 44.7015212, 11.4013162 44.7015035, 11.4017285 44.7014176, 11.4019466 44.7013721, 11.4020757 44.7013364, 11.4022108 44.7012901, 11.4022545 44.7012715)",,,,
180334930,,Via Asia,tertiary,,False,True,107.075,,"LINESTRING (11.4012227 44.7015212, 11.4011265 44.7015363, 11.4005752 44.7016124, 11.3998939 44.7017088)",,,,
180334930,,Via Asia,tertiary,,False,False,107.075,,"LINESTRING (11.3998939 44.7017088, 11.4005752 44.7016124, 11.4011265 44.7015363, 11.4012227 44.7015212)",,,,
38542481,,Via Ruffillo Tolomelli,residential,,True,False,108.014,,"LINESTRING (11.404029 44.700492, 11.4033274 44.7008007, 11.402867 44.7010033)",,,,
"[547686646, 547686647]",,Via Giacomo Matteotti,residential,,True,False,124.89099999999999,,"LINESTRING (11.404029 44.700492, 11.4039049 44.7003362, 11.4038217 44.7002231, 11.4032898 44.6994994)",,,,
39257409,,Via Ruffillo Tolomelli,residential,,False,False,30.316,,"LINESTRING (11.402867 44.7010033, 11.4025428 44.701149)",,,,
134641010,,Via Giacomo Brodolini,residential,,True,False,33.605,,"LINESTRING (11.402867 44.7010033, 11.4026399 44.7007478)",,,,
39257409,,Via Ruffillo Tolomelli,residential,,False,False,26.547,,"LINESTRING (11.4025428 44.701149, 11.4022545 44.7012715)",,,,
