osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,junction,width,bridge,ref,est_width,tunnel
256326857,True,Viale Stelvio,secondary_link,False,21.192,,,"LINESTRING (9.5692868 46.1354949, 9.5690279 46.1355592)",,,,,,
248914047,False,Viale Stelvio,secondary,False,129.45399999999998,2,50,"LINESTRING (9.5692868 46.1354949, 9.569722 46.1354843, 9.5699662 46.1354783, 9.570454 46.1354396, 9.5706727 46.1354114, 9.5709553 46.1353775)",,,,,,
488055576,True,,secondary,False,2.476,,50,"LINESTRING (9.5745665 46.1350049, 9.5745344 46.1350039)",roundabout,,,,,
252721685,False,Largo Maurizio Quadrio,residential,True,105.232,,,"LINESTRING (9.5672807 46.1339363, 9.5672404 46.1339145, 9.5669241 46.1337395, 9.5667429 46.1336356, 9.5667096 46.1336171, 9.5662633 46.1333687, 9.5662169 46.1333429)",,,,,,
555225538,False,Via Giuseppe Marcora,residential,True,47.31,,,"LINESTRING (9.5672807 46.1339363, 9.5671125 46.134182, 9.567033 46.1343253)",,,,,,
252721685,False,Largo Maurizio Quadrio,residential,False,105.232,,,"LINESTRING (9.5662169 46.1333429, 9.5662633 46.1333687, 9.5667096 46.1336171, 9.5667429 46.1336356, 9.5669241 46.1337395, 9.5672404 46.1339145, 9.5672807 46.1339363)",,,,,,
430410641,False,Via Rivolta,tertiary,False,85.09200000000001,2,,"LINESTRING (9.5662169 46.1333429, 9.5660556 46.1334904, 9.5659401 46.1335971, 9.5657279 46.1338465, 9.5656926 46.133913, 9.5656937 46.1339994)",,,,,,
430410641,False,Via Rivolta,tertiary,True,31.567,2,,"LINESTRING (9.5662169 46.1333429, 9.5662497 46.1333162, 9.5663859 46.1332055, 9.5664857 46.1331287)",,,,,,
249094291,True,Viale Stelvio,secondary_link,False,29.747999999999998,,,"LINESTRING (9.5659247 46.1354949, 9.5656741 46.135469, 9.5655431 46.1354543)",,,,,,
412671463,True,,secondary,False,10.624,,,"LINESTRING (9.5659247 46.1354949, 9.5659147 46.1354638, 9.5659195 46.1354322, 9.5659387 46.1354032)",roundabout,,,,,
"[204871056, 558294055]",False,Via Ambrosetti Tommaso,residential,False,60.063,,,"LINESTRING (9.5687812 46.1363718, 9.5687871 46.1363338, 9.5687993 46.1362144, 9.5687987 46.1361586, 9.568808 46.1360173, 9.5688132 46.1359377, 9.5688201 46.1358325)",,,,,,
"[555269976, 558294056, 558294059]",False,"['Via Franco Ghislanzoni', 'Piazza Marco Enrico Bossi']",residential,False,49.434,2,,"LINESTRING (9.5687812 46.1363718, 9.5686034 46.1363434, 9.5685183 46.1363295, 9.5683715 46.1363061, 9.5683012 46.136267, 9.5682794 46.1362243, 9.5682575 46.1361815)",,,,,,
252722335,True,Via Margna,residential,False,79.868,,,"LINESTRING (9.5708995 46.1332841, 9.5709134 46.1333196, 9.5709373 46.1333804, 9.5709699 46.1334497, 9.5710127 46.1335083, 9.5710796 46.1335681, 9.5711677 46.1336455, 9.5712323 46.1337017, 9.5714271 46.1338926)",,,,,,
