osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,maxspeed,width,tunnel,access
22568697,SR77,Via Guglielmo Marconi,secondary,False,True,202.57900000000004,"LINESTRING (13.6102447 43.4402875, 13.6099748 43.4402833, 13.6097082 43.4402428, 13.609536 43.4402022, 13.6090204 43.4400372, 13.6087278 43.4399531, 13.6086243 43.4399263, 13.6081518 43.4399067, 13.6079487 43.4399005, 13.6078295 43.4398849)",,,,,,
31671691,,Via Ungheria,residential,False,True,80.652,"LINESTRING (13.6102447 43.4402875, 13.6102211 43.4402161, 13.6102111 43.4401513, 13.6103419 43.4398789, 13.6105168 43.4396091)",,,,,,
25915641,,Via Vanvitelli,residential,True,False,109.029,"LINESTRING (13.6056901 43.4377534, 13.6064397 43.4385461, 13.6064545 43.4385617)",,,,,,
256950323,,Via San Francesco d'Assisi,unclassified,False,False,90.85899999999998,"LINESTRING (13.6110419 43.4363041, 13.6114188 43.4363177, 13.611921 43.4363357, 13.6121658 43.4363445)",2,,,,,
256950323,,Via San Francesco d'Assisi,unclassified,False,True,95.83500000000001,"LINESTRING (13.6110419 43.4363041, 13.6103304 43.4362714, 13.6101386 43.4362701, 13.6098614 43.4363084)",2,,,,,
565562006,,Viale Marche,unclassified,False,False,59.885000000000005,"LINESTRING (13.6110419 43.4363041, 13.6109649 43.4361538, 13.610757 43.4358763, 13.6107044 43.4358271)",3,,,,,
58605784,,Via Arturo Gatti,residential,False,False,174.441,"LINESTRING (13.6098614 43.4363084, 13.6098923 43.4364151, 13.6098781 43.4365004, 13.6095966 43.4366772, 13.6084277 43.4373825)",,,,,,
256950323,,Via San Francesco d'Assisi,unclassified,False,False,95.83500000000001,"LINESTRING (13.6098614 43.4363084, 13.6101386 43.4362701, 13.6103304 43.4362714, 13.6110419 43.4363041)",2,,,,,
256950323,,Via San Francesco d'Assisi,unclassified,False,True,385.50699999999995,"LINESTRING (13.6098614 43.4363084, 13.6093591 43.4363535, 13.6087933 43.4363232, 13.608073 43.4362377, 13.6076203 43.4361727, 13.6071798 43.4361055, 13.6070157 43.4360955, 13.6066488 43.4360718, 13.6065319 43.4360639, 13.6064073 43.4360555, 13.6062752 43.4360467, 13.6061519 43.4360681, 13.6060691 43.4360948, 13.6058911 43.4361523, 13.6058521 43.4362437, 13.6058045 43.4363474, 13.605422 43.4365288)",2,,,,,
25915713,,Via Bramante,residential,False,False,24.488,"LINESTRING (13.6127636 43.4387753, 13.6124603 43.4387752)",,,,,,
25915713,,Via Bramante,residential,False,True,24.488,"LINESTRING (13.6124603 43.4387752, 13.6127636 43.4387753)",,,,,,
690502101,,,residential,True,False,116.499,"LINESTRING (13.6124603 43.4387752, 13.612463 43.4377275)",,,,,,
25915713,,Via Bramante,residential,False,False,92.848,"LINESTRING (13.6124603 43.4387752, 13.6118774 43.4387692, 13.6116539 43.4387667, 13.6113105 43.4387612)",,,,,,
31671981,,Via Bramante,unclassified,False,False,26.612,"LINESTRING (13.60869 43.4385255, 13.6083798 43.4384446)",,,,,,
31671981,,Via Bramante,unclassified,False,True,185.676,"LINESTRING (13.60869 43.4385255, 13.6093535 43.438637, 13.6095134 43.4386638, 13.6102997 43.4387138, 13.6105842 43.4387319, 13.6109624 43.4387559)",,,,,,
58605785,,Via Italo Stegher,residential,False,False,245.27300000000002,"LINESTRING (13.60869 43.4385255, 13.6089609 43.4380094, 13.6091379 43.4378964, 13.6093686 43.4378419, 13.6103088 43.4377971, 13.6111648 43.4377734)",,,,,,
