osmid,lanes,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed
1092467010,2,SP24,secondary,roundabout,True,False,17.108,"LINESTRING (10.3145277 42.8109011, 10.3145801 42.8109016, 10.314631 42.8109107, 10.3146779 42.810928, 10.3147182 42.8109526)",,
1155594546,,,secondary,,True,False,21.028,"LINESTRING (10.3146935 42.8112045, 10.3147023 42.8113935)",Via Casaccia,
1092467008,2,SP24,secondary,roundabout,True,False,27.408,"LINESTRING (10.3146935 42.8112045, 10.3146351 42.8112288, 10.3145696 42.8112399, 10.3145025 42.8112367, 10.3144396 42.8112195, 10.3143859 42.8111898)",,
25889418,,,secondary,,True,False,22.077,"LINESTRING (10.3147493 42.8115686, 10.314576 42.8114161)",Via Casaccia,
25892471,,,secondary,,False,True,58.804,"LINESTRING (10.3147493 42.8115686, 10.3147714 42.8115936, 10.315149 42.8120087)",Via Manganaro,
25889441,,,secondary,,False,False,33.135,"LINESTRING (10.315149 42.8120087, 10.3153929 42.812247)",Via R. Manganaro,
25892471,,,secondary,,False,False,58.804,"LINESTRING (10.315149 42.8120087, 10.3147714 42.8115936, 10.3147493 42.8115686)",Via Manganaro,
180462663,,,unclassified,,True,False,63.579,"LINESTRING (10.3197039 42.8146071, 10.3194457 42.8140676)",Via Pietro Mascagni,
192619068,,,secondary,,False,False,26.149,"LINESTRING (10.3197039 42.8146071, 10.32002 42.8145679)",Via Giosuè Carducci,
192619068,,,secondary,,False,True,77.16,"LINESTRING (10.3197039 42.8146071, 10.3195355 42.8146255, 10.3193678 42.8146297, 10.3191924 42.8146267, 10.31905 42.8146153, 10.3187705 42.8145608)",Via Giosuè Carducci,
858681633,,,secondary,,False,True,21.45,"LINESTRING (10.3214417 42.8142818, 10.3211812 42.8143082)",Via Giosuè Carducci,
25889442,,SP24,secondary,,False,True,22.421,"LINESTRING (10.3214417 42.8142818, 10.3215765 42.8142895, 10.3217159 42.8142957)",Via Giosuè Carducci,
508187455,,SP24,secondary,,True,False,16.937,"LINESTRING (10.3214417 42.8142818, 10.3214131 42.8142447, 10.3213952 42.8142213, 10.3213545 42.814144)",Via Zambelli,
25891362,,,tertiary,,False,True,28.722,"LINESTRING (10.3246403 42.8146124, 10.3246662 42.81487)",Viale Manzoni,
419917792,,SP24,tertiary,,False,True,22.443,"LINESTRING (10.3246403 42.8146124, 10.3248943 42.81469)",Via Vittorio Emanuele,
25889423,,,secondary,,False,False,48.691,"LINESTRING (10.3246403 42.8146124, 10.3245699 42.8145185, 10.3244405 42.8142694, 10.3243891 42.8142175)",Piazza A. Citi,
25889442,,SP24,secondary,,False,False,34.568,"LINESTRING (10.3246403 42.8146124, 10.3244152 42.8145587, 10.3242338 42.8145251)",Via Giosuè Carducci,
