osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,lanes,tunnel
121208540,Via Venti Settembre,residential,30,False,True,51.842,"LINESTRING (10.4188656 45.4562437, 10.418223 45.4563628)",,,,
59323921,,residential,,False,True,125.624,"LINESTRING (10.4188656 45.4562437, 10.4188049 45.4558514, 10.418797 45.4558281, 10.4186989 45.4555363, 10.4186897 45.4555104, 10.4185577 45.455137)",,,,
59323946,Via Broli,residential,,False,False,209.001,"LINESTRING (10.4106884 45.4565724, 10.4106148 45.4563745, 10.4105732 45.4558655, 10.4105374 45.4555812, 10.4100766 45.4547629)",,,,
59323946,Via Broli,residential,,False,True,43.58,"LINESTRING (10.4106884 45.4565724, 10.410718 45.4566557, 10.410899 45.4569342)",,,,
59323953,Via Fratelli Roveri,residential,,False,True,266.31100000000004,"LINESTRING (10.4106884 45.4565724, 10.410435 45.4565974, 10.4100804 45.4566415, 10.4100228 45.4566246, 10.4097775 45.4562654, 10.4093555 45.4555852, 10.4089974 45.4550055, 10.4090202 45.454969, 10.4091668 45.4549382)",,,,
161817040,,residential,,False,False,123.003,"LINESTRING (10.4166744 45.4589528, 10.416388 45.457865)",,,,
794517821,Via Giacomo Matteotti,tertiary,,False,False,35.523,"LINESTRING (10.4166744 45.4589528, 10.4162244 45.4590021)",,,,
794517821,Via Giacomo Matteotti,tertiary,,False,True,66.876,"LINESTRING (10.4166744 45.4589528, 10.417423 45.4588663, 10.4175047 45.4588274)",,,,
59323889,,tertiary,,True,False,58.62,"LINESTRING (10.4195542 45.4527556, 10.419634 45.4528612, 10.419724 45.453066, 10.4197678 45.4532569)",,,,
59323931,,tertiary,,True,False,28.321,"LINESTRING (10.4195542 45.4527556, 10.4195393 45.4527967, 10.4195101 45.4528339, 10.4194685 45.4528648, 10.4194172 45.4528873, 10.4193595 45.4529001, 10.4192991 45.4529024)",roundabout,,,
793934730,Via Bianchi,residential,,False,False,53.452,"LINESTRING (10.4136111 45.4551704, 10.4133259 45.4547333)",,,,
"[121208538, 113065182]","[""Via Salvo D'Acquisto"", 'Piazza Don Bertini']",residential,,False,"[False, True]",186.49699999999999,"LINESTRING (10.4136111 45.4551704, 10.4135343 45.455223, 10.4133261 45.4552957, 10.4128826 45.4553585, 10.4127299 45.4553366, 10.4124499 45.4552395, 10.4124238 45.45512, 10.4123906 45.4549677, 10.4125912 45.4549406, 10.4126492 45.4549299, 10.4126646 45.4548983, 10.4125937 45.4546893, 10.4125521 45.4546101)",,,,
793934730,Via Bianchi,residential,,False,True,89.52,"LINESTRING (10.4136111 45.4551704, 10.4139067 45.4554509, 10.4141716 45.4558676)",,,,
77889042,Via Roma,residential,,False,False,114.95500000000001,"LINESTRING (10.4130733 45.458554, 10.4129854 45.4584567, 10.4128582 45.4582558, 10.412528 45.4575965)",,,,
77889046,Via Vittorio Emanuele II,tertiary,,False,True,25.247999999999998,"LINESTRING (10.4130733 45.458554, 10.4130171 45.4586028, 10.4129608 45.4586301, 10.4128023 45.4586643)",,,,
794517821,Via Giacomo Matteotti,tertiary,,False,True,82.16600000000001,"LINESTRING (10.4130733 45.458554, 10.413309 45.4586208, 10.4136996 45.458761, 10.4140309 45.4588607)",,,,
