osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel
303071409,2,Via Angelo Farina,tertiary,50,False,True,11.514,"LINESTRING (9.296764 45.599585, 9.2968308 45.5996774)",,
"[460153316, 460153318, 460153319]",1,"['Piazza Martiri della Libertà', 'Via Giuseppe Garibaldi', 'Via Vittorio Veneto']",residential,,True,False,109.70400000000001,"LINESTRING (9.3029887 45.6057548, 9.3030539 45.6057374, 9.3029022 45.6054628, 9.3027711 45.6052024, 9.3026647 45.6049912, 9.3026425 45.6049413, 9.3025991 45.6048554)",,
460153324,1,Via Giuseppe Garibaldi,residential,,True,False,117.966,"LINESTRING (9.3029887 45.6057548, 9.3028516 45.6057942, 9.3018535 45.6060938, 9.3017118 45.6061257, 9.3015877 45.6061597)",,
30916346,1,Via Federico Confalonieri,unclassified,30,True,False,113.12,"LINESTRING (9.3015877 45.6061597, 9.3014231 45.6059413, 9.3014081 45.6059214, 9.301345 45.605844, 9.3011843 45.6056319, 9.300904 45.6052619)",,
43845815,,Via Cesare Battisti,unclassified,,False,False,33.237,"LINESTRING (9.3015877 45.6061597, 9.3014535 45.6062001, 9.3011952 45.6062778)",,
43784930,,Via Giuseppe Garibaldi,residential,,False,True,32.263,"LINESTRING (9.3056271 45.6050558, 9.3057219 45.6050384, 9.3059263 45.6049915, 9.3060262 45.6049785)",,
161312946,2,Via Thomas Alva Edison,secondary,50,False,False,97.53399999999999,"LINESTRING (9.3056271 45.6050558, 9.3056039 45.6050076, 9.3054316 45.6046931, 9.3051997 45.6042313)",,
231022866,2,Via Thomas Alva Edison,secondary,50,False,True,130.788,"LINESTRING (9.3025377 45.6011526, 9.3016453 45.6001558)",,
24157078,1,Via Don Galileo Vercesi,tertiary,,True,False,58.818000000000005,"LINESTRING (9.3025377 45.6011526, 9.3024418 45.6011798, 9.3018368 45.6013509)",,
231022866,2,Via Thomas Alva Edison,secondary,50,False,False,83.962,"LINESTRING (9.3025377 45.6011526, 9.3030224 45.6016934, 9.3031111 45.6017923)",,
1182256415,1,Via Don Galileo Vercesi,unclassified,,True,False,122.36399999999999,"LINESTRING (9.300147 45.6018288, 9.298807 45.6022528, 9.2987139 45.6022823)",,
233019925,2,Via Federico Confalonieri,tertiary,50,False,True,44.88,"LINESTRING (9.2987139 45.6022823, 9.2989577 45.6026481)",,
"[1101525864, 350016436]",2,Via Federico Confalonieri,tertiary,50,False,False,126.63999999999999,"LINESTRING (9.2987139 45.6022823, 9.2981766 45.6015391, 9.2981175 45.6014573, 9.2979792 45.601266)",,
24157092,2,Via Amerigo Vespucci,unclassified,,True,False,134.033,"LINESTRING (9.2979792 45.601266, 9.2980489 45.6012454, 9.2994123 45.6008243, 9.2995558 45.60078)",,
303071409,2,Via Angelo Farina,tertiary,50,False,False,70.74,"LINESTRING (9.2979792 45.601266, 9.2979286 45.601196, 9.2975688 45.6006983)",,
"[1101525864, 350016436]",2,Via Federico Confalonieri,tertiary,50,False,True,126.64,"LINESTRING (9.2979792 45.601266, 9.2981175 45.6014573, 9.2981766 45.6015391, 9.2987139 45.6022823)",,
231022866,2,Via Thomas Alva Edison,secondary,50,False,False,130.788,"LINESTRING (9.3016453 45.6001558, 9.3025377 45.6011526)",,
43845956,2,Via Amerigo Vespucci,unclassified,,False,True,117.88799999999999,"LINESTRING (9.3016453 45.6001558, 9.3015418 45.6001868, 9.3003611 45.6005394, 9.3002517 45.6005721)",,
25077169,2,,tertiary,50,True,False,4.166,"LINESTRING (9.3011734 45.602283, 9.3012002 45.6022821, 9.3012267 45.6022845)",roundabout,
