osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,tunnel,junction
71401349,Piazza Vittorio Emanuele II,unclassified,False,True,90.033,"LINESTRING (9.4173847 45.300825, 9.4170618 45.3010293, 9.4168305 45.3011822, 9.4165303 45.3013675)",,,,,
71401350,Via Libertà,unclassified,True,False,47.669,"LINESTRING (9.4173847 45.300825, 9.4174477 45.3007918, 9.4175047 45.3007634, 9.4178808 45.300576)",,,,,
72463306,Piazza Vittorio Emanuele Secondo,residential,False,True,88.567,"LINESTRING (9.4173847 45.300825, 9.4164098 45.3007835, 9.4162544 45.3007767)",,,,,
38966963,Via Santi Naborre e Felice,unclassified,False,False,84.5,"LINESTRING (9.421629 45.2989536, 9.4227025 45.299039)",,,,,
100055825,Piazza Santa Maria,unclassified,False,True,15.526,"LINESTRING (9.421629 45.2989536, 9.4214334 45.2989774)",,,,,
71401349,Piazza Vittorio Emanuele II,unclassified,False,False,90.033,"LINESTRING (9.4165303 45.3013675, 9.4168305 45.3011822, 9.4170618 45.3010293, 9.4173847 45.300825)",,,,,
72463306,Piazza Vittorio Emanuele Secondo,residential,False,False,88.567,"LINESTRING (9.4162544 45.3007767, 9.4164098 45.3007835, 9.4173847 45.300825)",,,,,
87028628,Piazza Santa Maria,unclassified,False,False,29.341,"LINESTRING (9.4210964 45.2985082, 9.4214715 45.2985117)",,,,,
38966955,Via Papa Giovanni Ventitreesimo,unclassified,False,False,59.330999999999996,"LINESTRING (9.4210964 45.2985082, 9.4209813 45.2985211, 9.4208826 45.2985299, 9.4204834 45.2985329, 9.4203402 45.2985363)",,,,,
"[169107332, 72497140]",Via San Lorenzo,unclassified,False,False,153.569,"LINESTRING (9.4210964 45.2985082, 9.4210538 45.2983618, 9.4210187 45.2982308, 9.4209771 45.297945, 9.4209783 45.2979223, 9.420984 45.2978136, 9.4210028 45.2974093, 9.4210059 45.2972591, 9.4210062 45.2972467, 9.4210075 45.2971711, 9.421009 45.2971343)",50,,,,
87028628,Piazza Santa Maria,unclassified,False,True,13.336,"LINESTRING (9.421642 45.298512, 9.4214715 45.2985117)",,,,,
87028647,Piazza Santa Maria,unclassified,True,False,49.114,"LINESTRING (9.421642 45.298512, 9.421629 45.2989536)",,,,,
100055903,,residential,False,False,118.949,"LINESTRING (9.421642 45.298512, 9.4222732 45.2985524, 9.4227992 45.2985898, 9.4228245 45.2983384)",,,,,
71401353,Via Piave,tertiary,False,False,79.626,"LINESTRING (9.4125357 45.3018172, 9.4126227 45.3018029, 9.4135293 45.3019447)",,,,,
72463307,Via Repubblica,residential,False,True,54.039,"LINESTRING (9.4125357 45.3018172, 9.4126124 45.3015904, 9.4126955 45.3013444)",,,,,
72497142,Via Piave,tertiary,False,True,167.164,"LINESTRING (9.4125357 45.3018172, 9.4114682 45.3016144, 9.4109117 45.3015219, 9.4104628 45.3014521)",,2,,,
23492600,Via Quattro Novembre,unclassified,True,False,23.01,"LINESTRING (9.4150947 45.3022159, 9.4153184 45.3020815)",,,,,
71401352,Via Roma,tertiary,False,False,19.457,"LINESTRING (9.4150947 45.3022159, 9.4150408 45.3023129, 9.4150042 45.3023789)",,,SP140,,
71401353,Via Piave,tertiary,False,True,126.09100000000001,"LINESTRING (9.4150947 45.3022159, 9.4137064 45.3019754, 9.4135293 45.3019447)",,,,,
38966955,Via Papa Giovanni Ventitreesimo,unclassified,False,False,115.61399999999999,"LINESTRING (9.4203402 45.2985363, 9.4189665 45.2986042, 9.4188657 45.2986092)",,,,,
38966955,Via Papa Giovanni Ventitreesimo,unclassified,False,True,59.331,"LINESTRING (9.4203402 45.2985363, 9.4204834 45.2985329, 9.4208826 45.2985299, 9.4209813 45.2985211, 9.4210964 45.2985082)",,,,,
