osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes,junction
439219461,True,SP359,Viale Vittoria,tertiary,False,9.964,,"LINESTRING (9.9845193 44.8116441, 9.9846277 44.8116901)",,
111220560,False,SP359,Viale Vittoria,tertiary,True,159.953,50,"LINESTRING (9.9845193 44.8116441, 9.9841105 44.8110861, 9.9839663 44.8107478, 9.9839435 44.8102919)",,
28158580,False,,Via Bacchelli,tertiary,True,67.69,,"LINESTRING (9.9803887 44.816985, 9.9797243 44.8165997)",,
37631823,False,SP359R,Via Roma,secondary,True,23.864,,"LINESTRING (9.9803887 44.816985, 9.9806625 44.8168937)",2,
36873608,False,SP359R,Via Giacomo Matteotti,secondary,False,88.114,,"LINESTRING (9.9803887 44.816985, 9.9809269 44.817349, 9.9812118 44.8175203)",2,
37631823,False,SP359R,Via Roma,secondary,False,85.911,,"LINESTRING (9.9811961 44.8162202, 9.9809192 44.8165737, 9.9807709 44.816763, 9.9806625 44.8168937)",2,
"[36873659, 37331638, 37631823]",False,SP359R,"['Via Baistrocchi', 'Via Roma']",secondary,"[False, True]",64.125,,"LINESTRING (9.9811961 44.8162202, 9.9812433 44.8161587, 9.9813223 44.8160556, 9.9814028 44.8159491, 9.9815315 44.8158806, 9.9817403 44.8158372)",2,
36873659,False,SP359R,Via Baistrocchi,secondary,True,5.803,,"LINESTRING (9.9834049 44.8154823, 9.9833366 44.8155017)",2,
36873668,False,,Viale del Lavoro,tertiary,False,8.115,,"LINESTRING (9.9834049 44.8154823, 9.9834983 44.8154517)",,
28158580,False,,Via Bacchelli,tertiary,False,67.69,,"LINESTRING (9.9797243 44.8165997, 9.9803887 44.816985)",,
62221425,True,,Via Bacchelli,residential,False,80.902,,"LINESTRING (9.9797243 44.8165997, 9.9806625 44.8168937)",,
28158580,False,,Via Bacchelli,tertiary,True,95.499,,"LINESTRING (9.9797243 44.8165997, 9.9790891 44.8163558, 9.9789924 44.8163301, 9.978905 44.8162993, 9.97865 44.816205)",,
37632031,False,SP359R,Via Milano,secondary,False,51.542,,"LINESTRING (9.9811719 44.8107314, 9.9811437 44.8102683)",,
94829894,True,,Via Unità,residential,False,10.483,,"LINESTRING (9.9811719 44.8107314, 9.9813007 44.8107082)",,
37632052,False,,Via 4 Novembre,residential,False,141.78500000000003,,"LINESTRING (9.9811719 44.8107314, 9.9813053 44.8107671, 9.9825583 44.8115339)",,
36873801,False,,Via Giovanni Valentini,unclassified,True,30.675,,"LINESTRING (9.9754683 44.8158245, 9.9756177 44.8160792)",2,
36873774,False,,Via Giovanni Pascoli,unclassified,True,113.51099999999998,,"LINESTRING (9.9754683 44.8158245, 9.976478 44.8157517, 9.9767481 44.8157322, 9.9767914 44.8157291, 9.9768374 44.8157196, 9.9768962 44.8157075)",,
