osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,bridge,maxspeed,width
28654218,Via Giacomo Matteotti,unclassified,False,False,16.436,,,"LINESTRING (8.7578121 45.8401026, 8.7577913 45.8399555)",,,
382840133,Via Roma,secondary,False,False,73.5,2,SS394,"LINESTRING (8.7578121 45.8401026, 8.7574457 45.840122, 8.757385 45.8401252, 8.7570592 45.8401389, 8.7569629 45.840134, 8.7568684 45.8401172)",,,
77102341,Via Roma,secondary,False,False,24.739,2,SS394,"LINESTRING (8.7538561 45.8395917, 8.753542 45.8396319)",,,
382840133,Via Roma,secondary,False,True,7.045,2,SS394,"LINESTRING (8.7538561 45.8395917, 8.7539461 45.8395826)",,,
25661657,Via Ferdinando Rossi,unclassified,True,False,14.957,,,"LINESTRING (8.7538561 45.8395917, 8.7538246 45.8395305, 8.7538256 45.839461)",,,
"[28654216, 316110696, 316110695]",Via Stazione,tertiary,False,False,185.555,2,,"LINESTRING (8.7513154 45.8368279, 8.751247 45.8371446, 8.7511643 45.8373525, 8.7510914 45.837487, 8.7510071 45.8376024, 8.750934 45.837658, 8.7508639 45.8376945, 8.750816 45.8377024, 8.7506753 45.8376999, 8.7506253 45.8376869, 8.7505651 45.8376484, 8.7504862 45.8375642, 8.7503225 45.8374455, 8.7502279 45.8373918, 8.7501305 45.8373596, 8.7500297 45.837347)",yes,,
77102339,Via Ferdinando Rossi,unclassified,False,True,108.64599999999999,,,"LINESTRING (8.7513154 45.8368279, 8.7513787 45.8368181, 8.7521877 45.8367061, 8.7522691 45.8367113, 8.7523548 45.8367508, 8.7525203 45.8369483)",,,
36787702,,residential,False,False,82.42,,,"LINESTRING (8.7525203 45.8369483, 8.7523028 45.8370558, 8.7521773 45.8371292, 8.7515732 45.8372618)",,,
77102339,Via Ferdinando Rossi,unclassified,False,False,108.64599999999999,,,"LINESTRING (8.7525203 45.8369483, 8.7523548 45.8367508, 8.7522691 45.8367113, 8.7521877 45.8367061, 8.7513787 45.8368181, 8.7513154 45.8368279)",,,
77102339,Via Ferdinando Rossi,unclassified,False,True,78.867,,,"LINESTRING (8.7525203 45.8369483, 8.7526101 45.837079, 8.7526837 45.8371616, 8.7527724 45.8372259, 8.7529174 45.8373046, 8.7530542 45.8373805, 8.7530784 45.837436, 8.7530647 45.8375054)",,,
316110695,Via Stazione,tertiary,False,False,120.305,2,,"LINESTRING (8.7500297 45.837347, 8.7499279 45.8373527, 8.7498284 45.8373833, 8.7496249 45.8374913, 8.7492486 45.8376392, 8.7489661 45.8377491, 8.7486611 45.837838)",,,
"[316110696, 28654216, 316110695]",Via Stazione,tertiary,False,True,185.55499999999998,2,,"LINESTRING (8.7500297 45.837347, 8.7501305 45.8373596, 8.7502279 45.8373918, 8.7503225 45.8374455, 8.7504862 45.8375642, 8.7505651 45.8376484, 8.7506253 45.8376869, 8.7506753 45.8376999, 8.750816 45.8377024, 8.7508639 45.8376945, 8.750934 45.837658, 8.7510071 45.8376024, 8.7510914 45.837487, 8.7511643 45.8373525, 8.751247 45.8371446, 8.7513154 45.8368279)",yes,,
77102339,Via Ferdinando Rossi,unclassified,False,True,14.041,,,"LINESTRING (8.7539746 45.8393891, 8.7538256 45.839461)",,,
77102338,Via Ferdinando Rossi,unclassified,True,False,22.775000000000002,,,"LINESTRING (8.7539746 45.8393891, 8.753931 45.8394395, 8.7539229 45.8394784, 8.7539257 45.8395423, 8.7539461 45.8395826)",,,
77102339,Via Ferdinando Rossi,unclassified,False,False,114.38499999999999,,,"LINESTRING (8.7539746 45.8393891, 8.754092 45.8393464, 8.7543318 45.8392847, 8.754389 45.8392663, 8.7544266 45.8392253, 8.7544312 45.8391824, 8.7544133 45.8391315, 8.7543388 45.8390029, 8.7540406 45.8386245)",,,
28654218,Via Giacomo Matteotti,unclassified,False,True,16.436,,,"LINESTRING (8.7577913 45.8399555, 8.7578121 45.8401026)",,,
35207949,Via Giacomo Matteotti,unclassified,True,False,152.523,,,"LINESTRING (8.7577913 45.8399555, 8.7575239 45.8395899, 8.7577149 45.8395061, 8.7580431 45.839413, 8.7585215 45.8392669, 8.7587664 45.839176)",,,
35207950,Via Giacomo Matteotti,unclassified,False,False,48.85,,,"LINESTRING (8.7587664 45.839176, 8.7586123 45.83875)",,,
35207953,Via Castello,unclassified,True,False,137.067,,,"LINESTRING (8.7587664 45.839176, 8.75882 45.8392985, 8.7587519 45.8394441, 8.7585622 45.839614, 8.7585077 45.8395976, 8.7583666 45.8395637, 8.758278 45.8395821, 8.7581371 45.8396478, 8.7580871 45.8396814, 8.7580536 45.8397906, 8.7579072 45.839904, 8.7577913 45.8399555)",,,
35207946,Via Giacomo Matteotti,residential,False,False,73.971,,,"LINESTRING (8.7586123 45.83875, 8.7594985 45.8385023)",,,
35207950,Via Giacomo Matteotti,unclassified,False,False,8.284,,,"LINESTRING (8.7586123 45.83875, 8.7585598 45.8386851)",,,
35207950,Via Giacomo Matteotti,unclassified,False,True,48.85,,,"LINESTRING (8.7586123 45.83875, 8.7587664 45.839176)",,,
