osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,bridge,junction
89453055,Via Vincenzo Bellini,residential,False,True,50.449,,,"LINESTRING (15.8988797 38.4217473, 15.8991871 38.4213628)",,
179302312,,primary,False,False,51.056,2,SS18,"LINESTRING (15.8988797 38.4217473, 15.8983838 38.4215026)",,
179302312,,primary,False,True,167.028,2,SS18,"LINESTRING (15.8988797 38.4217473, 15.8995173 38.4220581, 15.8999863 38.4222843, 15.9005105 38.4225372)",,
89453067,Via degli Ulivi,residential,False,False,56.238,,,"LINESTRING (15.9012814 38.4221316, 15.9017949 38.4224381)",,
179302311,Strada Provinciale 1 di Gioia Tauro e Locri,secondary,False,False,110.78199999999998,,SP1,"LINESTRING (15.9012814 38.4221316, 15.9015002 38.4218626, 15.9015763 38.4217599, 15.9016034 38.4217058, 15.901629 38.4216546, 15.9017918 38.4212278)",,
179302311,Strada Provinciale 1 di Gioia Tauro e Locri,secondary,False,True,28.281999999999996,,SP1,"LINESTRING (15.9012814 38.4221316, 15.9012331 38.4221872, 15.9010988 38.4223419)",,
89453063,Via Mascagni,residential,False,False,58.76,,,"LINESTRING (15.9011202 38.4208584, 15.9004777 38.4206976)",,
89453064,,residential,False,False,95.08,,,"LINESTRING (15.9011202 38.4208584, 15.9014217 38.4200366)",,
"[89453045, 89453063]",Via Mascagni,residential,False,True,42.424,,,"LINESTRING (15.9011202 38.4208584, 15.9014585 38.4209433, 15.9014962 38.4208444)",,
89453081,,residential,False,False,7.156,,,"LINESTRING (15.9015006 38.4200545, 15.9014217 38.4200366)",,
89453081,,residential,False,True,24.734,,,"LINESTRING (15.9015006 38.4200545, 15.9017733 38.4201164)",,
89453045,,residential,False,False,84.473,,,"LINESTRING (15.9017733 38.4201164, 15.9014962 38.4208444)",,
89453081,,residential,False,False,24.734,,,"LINESTRING (15.9017733 38.4201164, 15.9015006 38.4200545)",,
89453081,,residential,False,True,33.419,,,"LINESTRING (15.9017733 38.4201164, 15.9021415 38.4202007)",,
89453059,Traversa Via degli Ulivi,unclassified,False,True,75.727,,,"LINESTRING (15.9028046 38.4240568, 15.9033731 38.4235416)",,
179302313,Strada Statale Tirreno Inferiore,primary,False,False,131.304,2,SS18,"LINESTRING (15.9028046 38.4240568, 15.9039367 38.4248364)",,
179302313,Strada Statale Tirreno Inferiore,primary,False,True,10.735,2,SS18,"LINESTRING (15.9028046 38.4240568, 15.9027149 38.4239906)",,
89453058,,residential,False,False,27.294,,,"LINESTRING (15.9008234 38.4198045, 15.9007325 38.4200394)",,
89453081,,residential,False,False,15.39,,,"LINESTRING (15.9008234 38.4198045, 15.9006953 38.4197092)",,
89453081,,residential,False,True,22.929,,,"LINESTRING (15.9008234 38.4198045, 15.9010164 38.4199447)",,
89453055,Via Vincenzo Bellini,residential,False,False,40.446,,,"LINESTRING (15.899911 38.42043, 15.8996698 38.4207408)",,
89453055,Via Vincenzo Bellini,residential,False,True,40.932,,,"LINESTRING (15.899911 38.42043, 15.9001522 38.4201141)",,
89453063,Via Mascagni,residential,False,False,79.955,,,"LINESTRING (15.899911 38.42043, 15.8991321 38.4200497)",,
89453063,Via Mascagni,residential,False,True,57.644,,,"LINESTRING (15.899911 38.42043, 15.9004777 38.4206976)",,
89453054,Via Gregorio settimo,residential,False,False,185.088,,,"LINESTRING (15.9021786 38.4221101, 15.9037623 38.4232197)",,
89453073,Via Pio dodicesimo,residential,False,False,49.473,,,"LINESTRING (15.9021786 38.4221101, 15.9017949 38.4224381)",,
89453073,Via Pio dodicesimo,residential,False,True,78.673,,,"LINESTRING (15.9021786 38.4221101, 15.9025727 38.4214735)",,
89453045,,residential,False,True,84.473,,,"LINESTRING (15.9014962 38.4208444, 15.9017733 38.4201164)",,
89453083,Via Mascagni,residential,False,False,36.389,,,"LINESTRING (15.9014962 38.4208444, 15.9018972 38.420936)",,
"[89453045, 89453063]",Via Mascagni,residential,False,False,42.424,,,"LINESTRING (15.9014962 38.4208444, 15.9014585 38.4209433, 15.9011202 38.4208584)",,
179302312,,primary,False,True,86.905,2,SS18,"LINESTRING (15.8972193 38.4209206, 15.8980605 38.4213407)",,
1216077981,,residential,False,False,50.454,,,"LINESTRING (15.8972193 38.4209206, 15.8975487 38.4205474)",,
179302312,,primary,False,False,94.506,2,SS18,"LINESTRING (15.8972193 38.4209206, 15.8965206 38.4205735, 15.8963178 38.4204492)",,
89453046,Traversa Via degli Ulivi,residential,False,True,214.026,,,"LINESTRING (15.9037623 38.4232197, 15.9036925 38.4212957)",,
89453054,Via Gregorio settimo,residential,False,True,185.088,,,"LINESTRING (15.9037623 38.4232197, 15.9021786 38.4221101)",,
89453059,Traversa Via degli Ulivi,unclassified,False,False,49.303,,,"LINESTRING (15.9037623 38.4232197, 15.9033731 38.4235416)",,
89453052,,residential,False,False,33.684,,,"LINESTRING (15.9007325 38.4200394, 15.9003642 38.4199472)",,
89453058,,residential,False,False,76.481,,,"LINESTRING (15.9007325 38.4200394, 15.9004777 38.4206976)",,
89453058,,residential,False,True,27.294,,,"LINESTRING (15.9007325 38.4200394, 15.9008234 38.4198045)",,
89453065,Via Francesco Cilea,residential,False,False,88.095,,,"LINESTRING (15.8975487 38.4205474, 15.89841 38.4209625)",,
