osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed,access,tunnel,bridge
28227555,Via Fabio Filzi,tertiary,False,False,159.166,"LINESTRING (9.0220841 45.5705547, 9.0224677 45.5719607)",,,,,
28227555,Via Fabio Filzi,tertiary,False,False,116.87900000000002,"LINESTRING (9.0228935 45.5731049, 9.0229996 45.5732298, 9.0231115 45.5733455, 9.0232479 45.573453, 9.0234197 45.5735556, 9.0236394 45.5736683, 9.0237906 45.5737284, 9.0239877 45.5737918)",,,,,
28227555,Via Fabio Filzi,tertiary,False,True,40.766999999999996,"LINESTRING (9.0228935 45.5731049, 9.0228129 45.5729927, 9.0227385 45.5728505, 9.0227007 45.5727649)",,,,,
30325661,Via Enrico Toti,residential,True,False,123.44,"LINESTRING (9.0228935 45.5731049, 9.0228609 45.5731264, 9.0228467 45.5731479, 9.0228302 45.5732287, 9.0226338 45.5741924)",,,,,
532009601,,unclassified,True,False,8.763,"LINESTRING (9.0290089 45.5677585, 9.0290135 45.5677277, 9.0290322 45.5677018, 9.0290466 45.5676859)",roundabout,,,,
532009608,Via Padre Ildefonso Clerici,residential,False,False,159.42399999999998,"LINESTRING (9.0290089 45.5677585, 9.0288694 45.5677742, 9.0277664 45.5678975, 9.0271403 45.5679679, 9.0270449 45.5679725, 9.026985 45.5679703)",,,,,
30176200,Via Edmondo De Amicis,residential,False,False,8.681,"LINESTRING (9.0339824 45.5675513, 9.033999 45.5676285)",,,,,
168311842,Via Don Gaetano Bollini,residential,False,True,241.305,"LINESTRING (9.0339824 45.5675513, 9.0339113 45.5675466, 9.0324554 45.5674329, 9.0322965 45.5674291, 9.0319838 45.5674479, 9.031042 45.567529, 9.0309024 45.5675463)",,,,,
30176193,Via Alessandro Manzoni,unclassified,True,False,96.306,"LINESTRING (9.0292652 45.5693242, 9.0293183 45.5701895)",,,,,
168311835,Via Alessandro Manzoni,unclassified,True,False,23.477,"LINESTRING (9.0292652 45.5693242, 9.0292527 45.5692194, 9.0292401 45.5691138)",,,,,
313985704,Via Monte Grappa,residential,False,True,117.064,"LINESTRING (9.0292652 45.5693242, 9.029311 45.569323, 9.0293791 45.5693213, 9.0307091 45.5692962, 9.0307685 45.5692954)",,,,,
996876658,Largo Camillo Benso Cavour,unclassified,True,False,32.254,"LINESTRING (9.0293183 45.5701895, 9.0292534 45.5704035, 9.0292049 45.5704662)",,,,,
28227581,Via Pompeo Litta,unclassified,False,False,82.29599999999999,"LINESTRING (9.0287565 45.5721408, 9.0287307 45.5721377, 9.0278268 45.5720402, 9.0277546 45.5720331, 9.0277115 45.5720284)",,,,,
313697086,Via Pompeo Litta,unclassified,True,False,13.087,"LINESTRING (9.0287565 45.5721408, 9.02884 45.5721256, 9.0289178 45.5721078)",,,,,
"[30176188, 30176189]","['Piazza Vittorio Emanuele Secondo', 'Largo Vittorio Veneto']",unclassified,True,False,80.83800000000001,"LINESTRING (9.026289 45.5709226, 9.0265541 45.5709812, 9.0266319 45.5709976, 9.0266739 45.571002, 9.0267198 45.5710024, 9.0267566 45.5709976, 9.0267873 45.5709887, 9.0268378 45.5709632, 9.0268652 45.5709349, 9.0269036 45.570854, 9.0269308 45.5707941, 9.0269567 45.5707403, 9.026975 45.5707206, 9.0270053 45.5707007, 9.0270423 45.5706878)",,,,,
