osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,lanes,width,junction
8113065,SP53,Via Provinciale,secondary,False,False,13.768,,"LINESTRING (12.0400188 45.2986392, 12.040181 45.2986873)",,,,
"[8113065, 381026049]",SP53,Via Provinciale,secondary,False,True,90.915,30,"LINESTRING (12.0400188 45.2986392, 12.0395123 45.2984876, 12.0390786 45.2983577, 12.0389493 45.298319)",,,,
"[155630523, 353045831, 41439367]",,Via Co' Panico,unclassified,False,True,24.332,,"LINESTRING (12.0400188 45.2986392, 12.0400465 45.2985985, 12.040064 45.2985728, 12.040109 45.2984844, 12.0401181 45.2984335)",yes,,,
118203183,SR516,Via Carrarese,primary,True,False,17.934,,"LINESTRING (12.0321063 45.2989046, 12.0321352 45.2988372, 12.03216 45.298748)",,2,,
"[92116004, 1149878262]",SR516,Via Carrarese,primary,False,False,162.94400000000002,,"LINESTRING (12.0321063 45.2989046, 12.0320949 45.2989128, 12.0317777 45.2991269, 12.0317046 45.2991755, 12.0308618 45.2997299, 12.030594 45.2999124)",,"['2', '3']",,
106672108,,Via Oreste da Molin,unclassified,True,False,28.1,,"LINESTRING (12.0346687 45.2972443, 12.0348633 45.2972089, 12.0348937 45.2972054, 12.0349521 45.2972025, 12.0350189 45.2972144)",,,,
144812266,,Via Oreste da Molin,unclassified,True,False,34.789,,"LINESTRING (12.0346687 45.2972443, 12.0348639 45.2971191, 12.0348868 45.2971009, 12.0349638 45.2970136)",,,,
211484566,,Via Giuseppe Mazzini,unclassified,True,False,64.09100000000001,,"LINESTRING (12.0350189 45.2972144, 12.0350335 45.2972446, 12.0351888 45.2974671, 12.0353127 45.2976508, 12.0353695 45.2977351)",,,,
106672114,,Via Circonvallazione,primary,False,True,187.184,,"LINESTRING (12.0318083 45.2977373, 12.0317696 45.2976609, 12.0317397 45.2976055, 12.031549 45.2972546, 12.031168 45.2964869, 12.0310073 45.2961512)",,2,,
"[186233650, 186233652, 39106974]",SR516,Via Circonvallazione,primary,False,True,20.755,,"LINESTRING (12.0318083 45.2977373, 12.0318269 45.2977722, 12.0318895 45.2978896, 12.0319006 45.2979123)",yes,2,,
136651712,,Via Carrarese,unclassified,True,False,37.183,,"LINESTRING (12.0328386 45.2983947, 12.0331721 45.2981564)",,,,
"[186233650, 186233652, 39106974]",SR516,Via Circonvallazione,primary,False,False,20.755000000000003,,"LINESTRING (12.0319006 45.2979123, 12.0318895 45.2978896, 12.0318269 45.2977722, 12.0318083 45.2977373)",yes,2,,
93530947,SR516,Via Circonvallazione,primary,False,False,72.092,,"LINESTRING (12.0319006 45.2979123, 12.0319253 45.2979597, 12.0320957 45.2982502, 12.0322193 45.298482, 12.0322301 45.2985059, 12.0322345 45.2985164)",,2,,
144812268,,Via Pietro Pinton,residential,False,True,60.46,,"LINESTRING (12.0363953 45.2996025, 12.0370426 45.2993053)",,,,
40631314,,Via Enrico Caterino Davila,tertiary,False,False,161.52499999999998,,"LINESTRING (12.0363953 45.2996025, 12.0362835 45.2994776, 12.0361751 45.299332, 12.0361093 45.2992217, 12.0360525 45.2990994, 12.0359656 45.2988927, 12.035886 45.2987034, 12.0357351 45.2983684, 12.0357216 45.2983482, 12.0357035 45.2983308, 12.0356713 45.2983044, 12.0356167 45.2982734)",,,,
40631314,,Via Enrico Caterino Davila,tertiary,False,True,51.039,,"LINESTRING (12.0363953 45.2996025, 12.0366024 45.2998206, 12.0367384 45.2999925)",,,,
183924829,,Piazza Incoronata,unclassified,True,False,37.847,,"LINESTRING (12.0348651 45.2966111, 12.0348062 45.296322, 12.034814 45.296274)",,,,
"[106672096, 353045818]",,Piazza Vittorio Emauele II,residential,False,True,45.488,50,"LINESTRING (12.0348651 45.2966111, 12.0349007 45.2967, 12.0349638 45.2970136)",,1,,
"[169963563, 380992519]",,Via Ugo Valeri,residential,False,True,107.341,,"LINESTRING (12.0345446 45.2958972, 12.0346124 45.2958512, 12.0346194 45.2958452, 12.0350656 45.295462, 12.035159 45.2953234, 12.0351597 45.295274, 12.0350209 45.2951073)",,,,
279188609,,Via Giuseppe Garibaldi,unclassified,True,False,42.894,,"LINESTRING (12.0345446 45.2958972, 12.034357 45.2956878, 12.0342422 45.2955756)",,,,
46240496,,Via Ansedisio,residential,True,False,242.369,50,"LINESTRING (12.0334784 45.2943598, 12.0335144 45.2943283, 12.0335247 45.2943239, 12.0347732 45.2937934, 12.0349169 45.2937826, 12.035921 45.2937988, 12.036243 45.2937974, 12.0363424 45.2937945)",,1,,
144812254,,Via Castello,residential,True,False,470.59799999999996,,"LINESTRING (12.0334784 45.2943598, 12.0328032 45.2946106, 12.0324731 45.2947412, 12.0321767 45.2948728, 12.031413 45.2951928, 12.0313807 45.2952147, 12.0313566 45.2952512, 12.0313483 45.2952655, 12.0313458 45.2952905, 12.0313632 45.2953548, 12.0314056 45.2954395, 12.0315028 45.2956283, 12.0316955 45.2959677, 12.0323646 45.2973583, 12.0324473 45.297522, 12.0324514 45.2975452, 12.0324682 45.2976017)",,,,
40631317,,Via Castello,residential,False,False,83.57800000000002,,"LINESTRING (12.0331721 45.2981564, 12.0330576 45.2980792, 12.0325895 45.2977638, 12.0325275 45.2976978, 12.0324759 45.2976214, 12.0324682 45.2976017)",,,,
144812266,,Via Oreste da Molin,unclassified,True,False,142.367,,"LINESTRING (12.0331721 45.2981564, 12.0332487 45.298101, 12.0339581 45.2975953, 12.0342234 45.2974464, 12.0344798 45.297345, 12.034538 45.297322)",,,,
