osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,junction,access,bridge
189725141,Via Pianezza,residential,False,False,144.23000000000002,"LINESTRING (7.5301657 45.0992149, 7.5295521 45.0991335, 7.5292398 45.0991066, 7.5283478 45.0990299)",,,,,,
1090509253,Via Giuseppe Mazzini,tertiary,True,False,13.723,"LINESTRING (7.5235315 45.0929675, 7.5235391 45.0928442)",SP178,30,,,,
597918511,Via Giuseppe Mazzini,tertiary,False,True,47.112,"LINESTRING (7.5235315 45.0929675, 7.5234964 45.0930606, 7.5234673 45.0933873)",SP178,30,2,,,
24014777,,tertiary,True,False,10.994,"LINESTRING (7.5243895 45.0926745, 7.5244463 45.0926606, 7.5244884 45.0926622, 7.5245238 45.0926715)",SP178,30,1,roundabout,,
24014777,,tertiary,True,False,5.552,"LINESTRING (7.5245935 45.0927493, 7.5245906 45.0927745, 7.5245788 45.0927977)",SP178,30,1,roundabout,,
23680653,Via Giuseppe Garibaldi,tertiary,True,False,16.085,"LINESTRING (7.5245788 45.0927977, 7.524659 45.0928314, 7.5247694 45.0928428)",,30,1,,,
24014777,,tertiary,True,False,5.859999999999999,"LINESTRING (7.5245788 45.0927977, 7.5245646 45.092813, 7.5245493 45.0928245, 7.524528 45.0928355)",SP178,30,1,roundabout,,
749304310,Via Giacomo Matteotti,residential,False,True,43.097,"LINESTRING (7.5256751 45.0968475, 7.5257751 45.0972286)",,,,,,
669587066,Via Giacomo Matteotti,residential,False,False,34.852000000000004,"LINESTRING (7.5256751 45.0968475, 7.5256454 45.0966688, 7.5256234 45.0965362)",,,,,,
669587068,Via Germano Sommeiller,residential,True,False,90.06899999999999,"LINESTRING (7.5256751 45.0968475, 7.5251639 45.0968433, 7.5245312 45.0967961)",,,,,,
226365737,Piazza Parrocchia,residential,False,False,31.368,"LINESTRING (7.5261785 45.0963849, 7.5262865 45.0961133)",,,,,,
195669161,Via Parrocchia,residential,False,False,64.16,"LINESTRING (7.5261785 45.0963849, 7.5262059 45.0965581, 7.5267764 45.0965573)",,,,,,
"[226365737, 189725142]","['Piazza Parrocchia', 'Piazza Antonio Riberi']",residential,False,True,47.093,"LINESTRING (7.5261785 45.0963849, 7.5260956 45.0964215, 7.5260298 45.0964505, 7.5257848 45.0965093, 7.5256234 45.0965362)",,,,,,
226365737,Piazza Parrocchia,residential,False,True,31.368,"LINESTRING (7.5262865 45.0961133, 7.5261785 45.0963849)",,,,,,
226365739,Via Parrocchia,residential,False,True,43.538,"LINESTRING (7.5262865 45.0961133, 7.5268376 45.0961576)",,,,,,
"[226365737, 226365733]","['Piazza Parrocchia', 'Via Antonio Riberi']",residential,False,False,78.664,"LINESTRING (7.5262865 45.0961133, 7.5263071 45.0959535, 7.526427 45.0954131)",,,,,,
226365733,Via Antonio Riberi,residential,False,True,11.941,"LINESTRING (7.5264514 45.0953071, 7.526427 45.0954131)",,,,,,
195669158,Via Riccardo Arnò,residential,True,False,166.324,"LINESTRING (7.5264514 45.0953071, 7.5270979 45.0952987, 7.5280371 45.0951323, 7.5283964 45.0951258, 7.5284776 45.0951194, 7.52854 45.0951142)",,,,,,
58494512,Via L. Murialdo,residential,True,False,107.232,"LINESTRING (7.5294943 45.0950503, 7.5295479 45.0947393, 7.5295685 45.0940884)",,,,,,
122197761,Via Collegno,residential,False,False,67.826,"LINESTRING (7.5294943 45.0950503, 7.5296753 45.0950421, 7.5303566 45.0950113)",,,,,,
122197761,Via Collegno,residential,False,True,75.429,"LINESTRING (7.5294943 45.0950503, 7.5287721 45.095119, 7.52854 45.0951142)",,,,,,
667429621,Via Valle,residential,False,True,25.676,"LINESTRING (7.5297505 45.0933018, 7.5296883 45.0935285)",,,,,,
667429622,Via Valle,residential,False,False,83.544,"LINESTRING (7.5297505 45.0933018, 7.5300658 45.0925842)",,,,,,
195669142,Via Ferna,residential,True,False,68.62100000000001,"LINESTRING (7.5297505 45.0933018, 7.5301258 45.0931832, 7.5305708 45.093093)",,,,,,
128039768,Via Giuseppe Garibaldi,tertiary,False,True,130.978,"LINESTRING (7.5300658 45.0925842, 7.5284008 45.0926606)",,50,2,,,
667429622,Via Valle,residential,False,True,83.544,"LINESTRING (7.5300658 45.0925842, 7.5297505 45.0933018)",,,,,,
58494503,Via Valle,residential,False,True,119.736,"LINESTRING (7.5300658 45.0925842, 7.5304043 45.0921705, 7.5304449 45.0920984, 7.5304574 45.0920333, 7.5304228 45.0917284, 7.5304142 45.0916394, 7.5304296 45.0915797)",,,,,,
43068010,Via Almese,residential,True,False,122.66,"LINESTRING (7.524451 45.0989338, 7.5243614 45.0988728, 7.5237895 45.0988296, 7.5232422 45.0988152, 7.5229805 45.0988141, 7.5229268 45.0988139)",,,,,,
60447346,Via Roma,residential,True,False,121.206,"LINESTRING (7.524451 45.0989338, 7.5240606 45.0992205, 7.5239898 45.0992744, 7.5238192 45.0994041, 7.5233655 45.0996767, 7.5233425 45.0996905)",,,,,,
226365725,Via Luigi Caccia,residential,False,False,83.39,"LINESTRING (7.524451 45.0989338, 7.5251921 45.0988553, 7.5255045 45.0988692)",,,,,,
43068002,Via Almese,residential,True,False,74.148,"LINESTRING (7.5229268 45.0988139, 7.5228591 45.0988105, 7.5225471 45.098795, 7.5220169 45.0986592)",,,1,,,
"[952333218, 47361147, 1053440644]",Via Giuseppe Mazzini,tertiary,False,False,220.328,"LINESTRING (7.5229268 45.0988139, 7.5229382 45.0986641, 7.5229762 45.0982454, 7.5230797 45.0972843, 7.5231178 45.0968371)",SP178,30,2,,yes,yes
809845388,Via Giuseppe Mazzini,tertiary,False,True,79.344,"LINESTRING (7.5229268 45.0988139, 7.5229134 45.0993296, 7.5229017 45.0995272)",SP178,30,2,,,
43202300,Via Pietre,residential,True,False,106.94899999999998,"LINESTRING (7.5266085 45.0921693, 7.526584 45.0919241, 7.526583 45.0919105, 7.5265754 45.0918476, 7.5265422 45.0917463, 7.526438 45.0915022, 7.5263353 45.0912314)",,,,,,
145401686,Via Giuseppe Verdi,residential,False,False,162.625,"LINESTRING (7.5266085 45.0921693, 7.5272986 45.0918881, 7.5273699 45.0918714, 7.5278308 45.0918308, 7.5280641 45.0918102, 7.5282607 45.0917708, 7.5285411 45.0917044)",,,,,,
594672539,Via V. Bellini,residential,False,False,20.408,"LINESTRING (7.5285411 45.0917044, 7.5285123 45.0918868)",,,,,,
145401686,Via Giuseppe Verdi,residential,False,True,162.625,"LINESTRING (7.5285411 45.0917044, 7.5282607 45.0917708, 7.5280641 45.0918102, 7.5278308 45.0918308, 7.5273699 45.0918714, 7.5272986 45.0918881, 7.5266085 45.0921693)",,,,,,
594672539,Via V. Bellini,residential,False,True,20.408,"LINESTRING (7.5285123 45.0918868, 7.5285411 45.0917044)",,,,,,
58494505,Via Antonio Vivaldi,residential,False,False,157.49300000000002,"LINESTRING (7.5285123 45.0918868, 7.5290145 45.0919037, 7.5299455 45.0916392, 7.5302897 45.091573, 7.5303598 45.0915661, 7.5304296 45.0915797)",,,,,,
594672539,Via V. Bellini,residential,False,False,86.48599999999999,"LINESTRING (7.5285123 45.0918868, 7.5284828 45.0920918, 7.5284008 45.0926606)",,,,,,
58494503,Via Valle,residential,False,False,119.736,"LINESTRING (7.5304296 45.0915797, 7.5304142 45.0916394, 7.5304228 45.0917284, 7.5304574 45.0920333, 7.5304449 45.0920984, 7.5304043 45.0921705, 7.5300658 45.0925842)",,,,,,
58494505,Via Antonio Vivaldi,residential,False,True,157.493,"LINESTRING (7.5304296 45.0915797, 7.5303598 45.0915661, 7.5302897 45.091573, 7.5299455 45.0916392, 7.5290145 45.0919037, 7.5285123 45.0918868)",,,,,,
146484542,Via Valle,residential,False,False,60.326,"LINESTRING (7.5304296 45.0915797, 7.5304849 45.0915303, 7.5305632 45.0914871, 7.5306959 45.091439, 7.5310785 45.0912993)",,,,,,
146484542,Via Valle,residential,False,True,60.326,"LINESTRING (7.5310785 45.0912993, 7.5306959 45.091439, 7.5305632 45.0914871, 7.5304849 45.0915303, 7.5304296 45.0915797)",,,,,,
43202300,Via Pietre,residential,True,False,64.629,"LINESTRING (7.5266747 45.0927486, 7.5266175 45.0922835, 7.5266085 45.0921693)",,,,,,
128039768,Via Giuseppe Garibaldi,tertiary,False,False,135.851,"LINESTRING (7.5266747 45.0927486, 7.5273952 45.0927119, 7.5284008 45.0926606)",,50,2,,,
128039768,Via Giuseppe Garibaldi,tertiary,False,True,68.806,"LINESTRING (7.5266747 45.0927486, 7.5266253 45.0927504, 7.5258001 45.0927895)",,50,2,,,
1097338628,Piazza Girolina,secondary,True,False,4.578,"LINESTRING (7.522813 45.0999458, 7.5228509 45.0999145)",SP24,30,1,roundabout,,
1097338613,Via Val della Torre,tertiary,True,False,14.564,"LINESTRING (7.5229347 45.100139, 7.522788 45.1002192)",SP177,,1,,,
1097338627,Piazza Girolina,secondary,True,False,9.152999999999999,"LINESTRING (7.5229347 45.100139, 7.5228799 45.100125, 7.5228342 45.1000994)",SP24,30,1,roundabout,,
1097338629,Piazza Girolina,secondary,True,False,4.581,"LINESTRING (7.5228342 45.1000994, 7.5228023 45.1000649)",SP24,30,1,roundabout,,
1097338626,Piazza Girolina,secondary,True,False,14.573,"LINESTRING (7.5231509 45.1000196, 7.5231371 45.1000622, 7.523104 45.100099, 7.5230552 45.100126)",SP24,30,1,roundabout,,
809845394,Piazza Girolina,secondary,True,False,14.544,"LINESTRING (7.523072 45.0999065, 7.5231164 45.099937, 7.5231448 45.0999826, 7.5231509 45.1000196)",SP24,30,1,roundabout,,
