osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access,junction
882274108,2,Via Flaminia,secondary,50,False,True,124.81700000000001,"LINESTRING (13.4013568 43.628334, 13.4011742 43.6284073, 13.4006177 43.6286306, 13.3999984 43.6288755)",,,
"[31869771, 116537556]",1,Via Flaminia,secondary,"['30', '50']",True,False,111.88799999999999,"LINESTRING (13.3906135 43.6323803, 13.3906884 43.6323096, 13.3911536 43.6320604, 13.3912618 43.6320091, 13.3913804 43.6319758, 13.3915161 43.6319587, 13.3916527 43.6319669, 13.3918023 43.6320014)",yes,,
31869771,1,Via Flaminia,secondary,50,True,False,28.265,"LINESTRING (13.3918023 43.6320014, 13.3919542 43.6320498, 13.3921296 43.6320929)",,,
39342374,,,tertiary,50,True,False,8.298,"LINESTRING (13.3918023 43.6320014, 13.3918177 43.631969, 13.3918227 43.6319288)",,,
116663089,,Via Goffredo Baldelli,secondary,50,True,False,99.748,"LINESTRING (13.3921296 43.6320929, 13.3920025 43.6321259, 13.3917529 43.6321336, 13.391284 43.6321175, 13.3909021 43.6320815)",,,
"[116663100, 882274108]",2,"['Via Flaminia', 'Via Goffredo Baldelli']",secondary,50,False,False,170.79,"LINESTRING (13.3921296 43.6320929, 13.3924218 43.6320839, 13.3926808 43.63206, 13.3927276 43.6320549, 13.392816 43.6320452, 13.3928276 43.6320415, 13.3929465 43.6320033, 13.3933979 43.6318072, 13.3940566 43.6315291)",,,
"[166757001, 997932089]",1,Via Flaminia,secondary,"['50', '30']",True,False,136.003,"LINESTRING (13.3921296 43.6320929, 13.3919612 43.6320951, 13.391872 43.632079, 13.3917763 43.6320479, 13.3916406 43.6320113, 13.3915189 43.632004, 13.3913971 43.6320193, 13.3912903 43.6320493, 13.3912296 43.6320755, 13.3907324 43.6323419, 13.3906135 43.6323803)",yes,,
39163340,,Via Fratelli Cairoli,residential,50,True,False,50.912,"LINESTRING (13.3979408 43.628073, 13.3982382 43.6284771)",,,
37337864,,Via Giacomo Leopardi,residential,50,True,False,88.97399999999999,"LINESTRING (13.3979408 43.628073, 13.3980037 43.6280525, 13.3989488 43.6277445)",,,
154251589,,Via Giacomo Matteotti,residential,,False,True,60.334,"LINESTRING (13.3963339 43.628372, 13.3956261 43.6285507)",,,
586136803,,Via IV Novembre,residential,,False,False,13.093,"LINESTRING (13.3963339 43.628372, 13.3962454 43.6282732)",,no,
154251589,,Via Giacomo Matteotti,residential,,False,False,23.777,"LINESTRING (13.3963339 43.628372, 13.3964456 43.6284068, 13.3965683 43.6284959)",,,
37337864,,Via Giacomo Leopardi,residential,50,True,False,55.35,"LINESTRING (13.4019585 43.6266448, 13.4025517 43.626393)",,,
157459128,,Via Trieste,residential,50,False,False,60.509,"LINESTRING (13.4019585 43.6266448, 13.4015705 43.6262577, 13.4015171 43.6262043)",,,
157459128,,Via Trieste,residential,50,False,True,51.959,"LINESTRING (13.4008599 43.6254421, 13.4012017 43.6258385)",,,
38338907,,Via Galileo Galilei,residential,50,False,False,107.286,"LINESTRING (13.3989216 43.6253583, 13.3987892 43.6254113, 13.3981767 43.6256566, 13.3977553 43.6258254)",,,
108612487,,Via Cristoforo Colombo,residential,,False,False,82.039,"LINESTRING (13.3989216 43.6253583, 13.3990626 43.6254096, 13.3991617 43.6254698, 13.399521 43.6259315)",,,
38338907,,Via Galileo Galilei,residential,50,False,True,22.581,"LINESTRING (13.3975024 43.6259133, 13.3977553 43.6258254)",,,
39162881,,Via Goffredo Mameli,residential,50,False,False,77.081,"LINESTRING (13.3975024 43.6259133, 13.3979777 43.6265151)",,,
38338907,,Via Galileo Galilei,residential,50,False,False,19.726,"LINESTRING (13.3975024 43.6259133, 13.3973633 43.6259731, 13.3972917 43.6260039)",,,
39020391,,Via Giacomo Matteotti,residential,50,False,False,56.271,"LINESTRING (13.396549 43.6263255, 13.3971487 43.6260654)",,,
1163924804,,Via Piero Gobetti,residential,50,False,False,72.267,"LINESTRING (13.396549 43.6263255, 13.3970016 43.6268868)",,,
39020391,,Via Giacomo Matteotti,residential,50,False,True,101.676,"LINESTRING (13.396549 43.6263255, 13.3958733 43.6266076, 13.3956775 43.6267112, 13.3955354 43.6268518)",,,
38338907,,Via Galileo Galilei,residential,50,False,True,13.388,"LINESTRING (13.3971487 43.6260654, 13.3972917 43.6260039)",,,
39020391,,Via Giacomo Matteotti,residential,50,False,True,56.271,"LINESTRING (13.3971487 43.6260654, 13.396549 43.6263255)",,,
292488774,,Via Giacomo Matteotti,residential,50,True,False,48.388,"LINESTRING (13.3971487 43.6260654, 13.3970326 43.6259261, 13.396946 43.6258668, 13.3968294 43.6258376, 13.3966965 43.6258262)",,,
292488776,,Via Giacomo Matteotti,residential,50,True,False,57.92600000000001,"LINESTRING (13.3966965 43.6258262, 13.3968099 43.625797, 13.3969322 43.6257944, 13.3970933 43.6258386, 13.3971877 43.6258976, 13.3972917 43.6260039)",,,
292488777,,Via Giacomo Matteotti,residential,50,False,False,211.327,"LINESTRING (13.3966965 43.6258262, 13.3958457 43.6260414, 13.3954784 43.6260514, 13.3951466 43.626064, 13.3949275 43.6260965, 13.3945834 43.6261949, 13.3942053 43.6263444)",,,
292488777,,Via Giacomo Matteotti,residential,50,False,True,211.327,"LINESTRING (13.3942053 43.6263444, 13.3945834 43.6261949, 13.3949275 43.6260965, 13.3951466 43.626064, 13.3954784 43.6260514, 13.3958457 43.6260414, 13.3966965 43.6258262)",,,
292488780,,Via Giacomo Matteotti,residential,,True,False,23.59,"LINESTRING (13.3942053 43.6263444, 13.3940824 43.6264105, 13.3939513 43.626446)",,,
1078077907,,Via IV Novembre,residential,50,True,False,65.747,"LINESTRING (13.3970451 43.628976, 13.3965683 43.6284959)",,,
1078077906,,Via Marsala,residential,,False,False,44.789,"LINESTRING (13.3960392 43.6295258, 13.3955957 43.6297691)",,,
39163340,,Via Fratelli Cairoli,residential,50,True,False,38.06,"LINESTRING (13.3984495 43.6287642, 13.3986652 43.6290688)",,,
39164669,,Via Luciano Manara,residential,50,True,False,35.98,"LINESTRING (13.3989958 43.6285426, 13.3987756 43.628261)",,,
39343009,,Via Nino Bixio,residential,50,True,False,50.403,"LINESTRING (13.3989958 43.6285426, 13.3984495 43.6287642)",,,
