osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,width,access,junction,bridge
22761559,Piazza Bartolo Longo,tertiary,False,False,36.61,"LINESTRING (14.5003608 40.7487091, 14.5002212 40.7486825, 14.5000193 40.7486441, 14.4999393 40.7486289)",,,,,,
97334232,Piazza Bartolo Longo,tertiary,False,False,76.5,"LINESTRING (14.5003608 40.7487091, 14.5004836 40.7487308, 14.5006521 40.748758, 14.501126 40.7488407, 14.5012463 40.7488617)",2,,,,,
184720394,Viale Giuseppe Mazzini,primary,False,False,140.993,"LINESTRING (14.5038306 40.7469981, 14.5039735 40.7471199, 14.5040955 40.7472665, 14.5045768 40.7481239)",2,SR ex SS18,,,,
1044472160,Viale Giuseppe Mazzini,primary,True,False,55.8,"LINESTRING (14.5038306 40.7469981, 14.503665 40.7469309, 14.5035791 40.746889, 14.5034657 40.7468444, 14.503343 40.7468058, 14.5032368 40.7467795)",,SR ex SS18,,,,
238521878,Viale Unità d'Italia,tertiary,False,False,139.846,"LINESTRING (14.5057789 40.7467627, 14.5053568 40.7475506, 14.5052444 40.7477635, 14.5051571 40.7479288)",,,,,,
22760562,Via Astolelle,residential,False,False,48.366,"LINESTRING (14.5046544 40.7456355, 14.5049321 40.7452548)",,,,,,
22760562,Via Astolelle,residential,False,True,77.624,"LINESTRING (14.5046544 40.7456355, 14.5044147 40.7459031, 14.5043773 40.7459389, 14.5042431 40.7460415, 14.5040768 40.7461764)",,,,,,
251476860,Via Sant'Abbondio,residential,False,True,96.118,"LINESTRING (14.5046544 40.7456355, 14.5039683 40.7455093, 14.5035392 40.7454555)",,,,,,
23707925,Via Carlo Alberto II Traversa,residential,False,True,86.322,"LINESTRING (14.5038804 40.7496177, 14.5039272 40.7488422)",,,,,,
23707925,Via Carlo Alberto II Traversa,residential,False,False,86.322,"LINESTRING (14.5039272 40.7488422, 14.5038804 40.7496177)",,,,,,
22761671,Via Carlo Alberto,tertiary,True,False,87.52299999999998,"LINESTRING (14.5039272 40.7488422, 14.5046566 40.748833, 14.5047101 40.7488247, 14.5047515 40.7488108, 14.5047906 40.7487823, 14.5048142 40.7487552, 14.5048318 40.7487247, 14.504844 40.7486736)",,,,,,
22761671,Via Carlo Alberto,tertiary,True,False,132.619,"LINESTRING (14.5012463 40.7488617, 14.5013779 40.7488748, 14.5028194 40.7488629)",,,,,,
"[97334232, 23159991]","['Piazza Bartolo Longo', 'Via Piave']",tertiary,False,"[False, True]",182.697,"LINESTRING (14.5012463 40.7488617, 14.5011742 40.7491952, 14.5011297 40.7494482, 14.5011533 40.7495308, 14.5011871 40.7496492, 14.5014222 40.7504744)",2,,6.5,,,
97334232,Piazza Bartolo Longo,tertiary,False,True,76.5,"LINESTRING (14.5012463 40.7488617, 14.501126 40.7488407, 14.5006521 40.748758, 14.5004836 40.7487308, 14.5003608 40.7487091)",2,,,,,
268853791,Piazza Bartolo Longo,tertiary,True,False,27.720999999999997,"LINESTRING (14.4996477 40.7485138, 14.4997516 40.7485557, 14.4998052 40.7485803, 14.4998646 40.7486035, 14.4999393 40.7486289)",,,,,,
910043693,Piazza Bartolo Longo,tertiary,True,False,26.352999999999998,"LINESTRING (14.4996477 40.7485138, 14.4996644 40.7485504, 14.4996713 40.7485887, 14.4996663 40.7486396, 14.4996521 40.7486959, 14.499635 40.7487455)",,,,,,
23732991,Via Roma,tertiary,True,False,52.657,"LINESTRING (14.4993665 40.7494371, 14.4992684 40.7494342, 14.4987425 40.7494094)",,,,,,
220174993,Piazzale Giovanni XXIII,residential,False,False,262.66700000000003,"LINESTRING (14.4993665 40.7494371, 14.4993613 40.7495197, 14.4993354 40.7499298, 14.4992962 40.750327, 14.4992777 40.7506427, 14.4992795 40.7507388, 14.4992614 40.7510111, 14.4992697 40.7510458, 14.499295 40.7510719, 14.4993464 40.7510884, 14.4994574 40.7511117, 14.5000216 40.7512023, 14.5002153 40.7512411)",,,,permissive,,
23707932,Via Duca d'Aosta,residential,True,False,121.38900000000001,"LINESTRING (14.5019316 40.7479125, 14.5016507 40.7482206, 14.5013333 40.7486154, 14.5012735 40.7487847, 14.5012463 40.7488617)",,,,,,
153788791,,residential,True,False,167.934,"LINESTRING (14.5019316 40.7479125, 14.5025983 40.7473202, 14.5031814 40.7468767, 14.5032368 40.7467795)",,,,,,
22761603,Via Fratel Adriano Celentano,residential,True,False,108.022,"LINESTRING (14.500744 40.7475461, 14.5019316 40.7479125)",,,,,,
23707934,Via San Giuseppe,tertiary,True,False,195.283,"LINESTRING (14.500744 40.7475461, 14.4985928 40.7468917)",,,,,,
97334217,Via Sacra,tertiary,True,False,133.288,"LINESTRING (14.500744 40.7475461, 14.5004029 40.7485816, 14.5003608 40.7487091)",1,,,,,
22761646,Via Vittorio Emanuele III,tertiary,False,False,88.014,"LINESTRING (14.498049 40.7482165, 14.4983481 40.7474581)",,,,,,
22761646,Via Vittorio Emanuele III,tertiary,False,False,33.951,"LINESTRING (14.4985928 40.7468917, 14.498727 40.7466038)",,,,,,
22761646,Via Vittorio Emanuele III,tertiary,False,True,66.269,"LINESTRING (14.4985928 40.7468917, 14.4983481 40.7474581)",,,,,,
214390704,Via San Giuseppe,residential,False,False,65.522,"LINESTRING (14.4985928 40.7468917, 14.497872 40.7466703)",,,,,,
22760562,Via Astolelle,residential,False,True,89.657,"LINESTRING (14.5040768 40.7461764, 14.5033394 40.7467578)",,,,,,
23707992,Via Astolelle,unclassified,True,False,157.513,"LINESTRING (14.5040768 40.7461764, 14.5057789 40.7467627)",,,,,,
22760562,Via Astolelle,residential,False,False,77.624,"LINESTRING (14.5040768 40.7461764, 14.5042431 40.7460415, 14.5043773 40.7459389, 14.5044147 40.7459031, 14.5046544 40.7456355)",,,,,,
1064529006,Via Anastasio Rossi,residential,False,True,73.725,"LINESTRING (14.5024117 40.7502314, 14.5025342 40.7495749)",,,,,,
22761677,Via Anastasio Rossi,tertiary,True,False,126.628,"LINESTRING (14.5024117 40.7502314, 14.5023373 40.7505727, 14.5023233 40.7506227, 14.5022972 40.7506706, 14.502234 40.7507154, 14.5021631 40.7507473, 14.5020658 40.7507741, 14.501793 40.750831, 14.5017264 40.7508496, 14.5016586 40.7508737, 14.5015886 40.7509046, 14.5014786 40.7509547)",,,,,,
1064529006,Via Anastasio Rossi,residential,False,False,73.725,"LINESTRING (14.5025342 40.7495749, 14.5024117 40.7502314)",,,,,,
"[97317242, 97317243]","['Piazza Vittorio Veneto', 'Via Armando Diaz']",tertiary,True,False,95.443,"LINESTRING (14.5014786 40.7509547, 14.5013983 40.7509895, 14.5013398 40.7510054, 14.5012869 40.7510031, 14.5003993 40.7508048)",1,,,,,
22761679,Via Parroco Federico,residential,True,False,88.29,"LINESTRING (14.5045078 40.7504351, 14.5046407 40.7496475)",,,,,,
102491168,Via Parroco Federico,tertiary,False,False,38.592,"LINESTRING (14.5045078 40.7504351, 14.5040527 40.7503952)",,,,,,
1100934047,Via Lepanto,residential,False,True,40.82,"LINESTRING (14.5046407 40.7496475, 14.5051248 40.7496639)",,,,,,
108347320,,residential,True,False,19.749,"LINESTRING (14.5053586 40.7496771, 14.5051248 40.7496639)",,,,no,,
97317247,Via Parroco Federico,tertiary,True,False,139.77200000000002,"LINESTRING (14.5053586 40.7496771, 14.5053165 40.7496987, 14.5052962 40.7497194, 14.5052856 40.7497403, 14.5052767 40.7497881, 14.5052624 40.7498496, 14.5050586 40.750456, 14.5050381 40.7504795, 14.5049979 40.7504849, 14.504597 40.750448, 14.5045078 40.7504351)",,,,,,
108347305,,primary,True,False,12.813999999999998,"LINESTRING (14.5053586 40.7496771, 14.505332 40.749655, 14.505317 40.7496289, 14.5053137 40.7496006, 14.5053223 40.7495729)",,SR ex SS18,,,roundabout,
"[97334232, 23159991]","['Piazza Bartolo Longo', 'Via Piave']",tertiary,False,"[False, True]",182.697,"LINESTRING (14.5014222 40.7504744, 14.5011871 40.7496492, 14.5011533 40.7495308, 14.5011297 40.7494482, 14.5011742 40.7491952, 14.5012463 40.7488617)",2,,6.5,,,
