osmid,oneway,highway,maxspeed,reversed,length,geometry,name,junction
208565570,True,secondary,50,False,27.851000000000003,"LINESTRING (15.0662768 37.5577244, 15.0661911 37.5575364, 15.0661714 37.5574883)",,
208565574,True,secondary,50,False,36.152,"LINESTRING (15.0660958 37.5569915, 15.066158 37.5571529, 15.0661862 37.5571946, 15.0662385 37.5572502, 15.0662741 37.5572781)",,
204731934,False,secondary,,True,125.041,"LINESTRING (15.0594231 37.5647524, 15.0595537 37.5645922, 15.0596257 37.5645039, 15.059683 37.5644336, 15.0597943 37.5642957, 15.0599041 37.5641574, 15.0601096 37.5638735, 15.0601492 37.5637886)",Via Etnea,
204731934,False,secondary,,False,11.911,"LINESTRING (15.060212 37.5635504, 15.0601812 37.5636547)",Via Etnea,
204731934,False,secondary,,True,50.148,"LINESTRING (15.060212 37.5635504, 15.0603305 37.5631093)",Via Etnea,
243694541,False,residential,,False,52.308,"LINESTRING (15.060212 37.5635504, 15.0606478 37.5636598, 15.0607794 37.563688)",Vico Salvatore Privitera,
204731934,False,secondary,,False,50.148,"LINESTRING (15.0603305 37.5631093, 15.060212 37.5635504)",Via Etnea,
243807357,False,residential,,False,27.869,"LINESTRING (15.0603305 37.5631093, 15.0606301 37.5631894)",Via Giuseppe Verdi,
204731934,False,secondary,,True,43.009,"LINESTRING (15.0603305 37.5631093, 15.0603612 37.5629854, 15.0603712 37.5628863, 15.0603784 37.5627253)",Via Etnea,
204731936,True,secondary,,False,13.965,"LINESTRING (15.0603946 37.5625459, 15.0603821 37.5626711)",Via Etnea,
243807362,False,residential,,False,47.082,"LINESTRING (15.0603946 37.5625459, 15.0605787 37.562549, 15.0606421 37.5625333, 15.0607482 37.5625277, 15.0609247 37.5625406)",Vico Carlo Pisacane,
204731936,True,secondary,,False,3.258,"LINESTRING (15.0604296 37.5619812, 15.0604297 37.5620105)",Via Etnea,
243807367,False,residential,,True,32.179,"LINESTRING (15.0604296 37.5619812, 15.0600648 37.5619701)",Vico Giacinta Pezzana,
243807360,False,residential,,False,17.037,"LINESTRING (15.0606395 37.5614176, 15.0608079 37.5614928)",Vico Aiello,
