osmid,lanes,name,highway,oneway,reversed,length,bridge,maxspeed,width,geometry,access,tunnel
"[118807859, 22930108, 118807862]",2,Ponte alle Grazie,residential,False,True,160.808,yes,50,9,"LINESTRING (11.259038 43.766865, 11.2590065 43.7667925, 11.2584592 43.7656019, 11.2584566 43.7655961, 11.2584021 43.7654938)",,
1021972469,,Lungarno Generale Diaz,residential,True,False,43.037,,,,"LINESTRING (11.259038 43.766865, 11.2589282 43.7669141, 11.2586039 43.7669828, 11.2585359 43.7669751)",no,
596655692,2,Via Antonio Magliabechi,residential,False,True,132.65800000000002,,,,"LINESTRING (11.2611596 43.7671461, 11.261181 43.7671894, 11.261225 43.7672782, 11.2616095 43.768055, 11.2617157 43.7682695)",no,
596655701,,Corso dei Tintori,residential,True,False,151.795,,,,"LINESTRING (11.2611596 43.7671461, 11.2610342 43.7671788, 11.2606179 43.7672874, 11.260216 43.7674124, 11.2601496 43.7674331, 11.2598021 43.7675443, 11.2595492 43.7676248, 11.2595004 43.7676409, 11.2594158 43.7676711)",no,
22930103,,Via dei Benci,residential,True,False,101.043,,,,"LINESTRING (11.2594158 43.7676711, 11.2595418 43.7678155, 11.2597026 43.7679838, 11.2600821 43.7684416)",no,
890032368,2,Via dei Benci,residential,True,False,7.093,,,,"LINESTRING (11.2594158 43.7676711, 11.2593873 43.767625, 11.2593803 43.7676127)",no,
22930109,2,Via dei Benci,residential,True,False,3.709,,,,"LINESTRING (11.2592297 43.7672895, 11.2592145 43.767258)",no,
"[30030570, 22930103]",,"['Piazza di Santa Croce', 'Via dei Benci']",residential,True,False,84.589,,,,"LINESTRING (11.2600821 43.7684416, 11.260496 43.7689331, 11.2605064 43.7689454, 11.260523 43.7689639, 11.2605513 43.7689993, 11.2606261 43.769093)",no,
596655692,2,Via Antonio Magliabechi,residential,False,False,132.658,,,,"LINESTRING (11.2617157 43.7682695, 11.2616095 43.768055, 11.261225 43.7672782, 11.261181 43.7671894, 11.2611596 43.7671461)",no,
"[118807859, 22930108, 118807862]",2,Ponte alle Grazie,residential,False,False,160.80800000000002,yes,50,9,"LINESTRING (11.2584021 43.7654938, 11.2584566 43.7655961, 11.2584592 43.7656019, 11.2590065 43.7667925, 11.259038 43.766865)",,
"[664868489, 22930119]",2,Lungarno Torrigiani,unclassified,False,False,314.46500000000003,,,,"LINESTRING (11.2584021 43.7654938, 11.2582107 43.7655577, 11.2580913 43.7656035, 11.2579825 43.7656435, 11.2552975 43.766654, 11.2550113 43.7667578, 11.2549222 43.7667904)",no,
49137076,2,Lungarno Serristori,unclassified,False,True,91.648,,,,"LINESTRING (11.2584021 43.7654938, 11.2585557 43.7654698, 11.258856 43.765441, 11.2590739 43.76542, 11.2592766 43.7654005, 11.2595312 43.7653759)",,
"[463282021, 23158535]",,Via del Proconsolo,residential,True,False,186.29000000000002,,,,"LINESTRING (11.2578314 43.7725791, 11.2578357 43.7725498, 11.257837 43.7725371, 11.2578574 43.7723463, 11.2578681 43.7722548, 11.2578746 43.7721653, 11.2578892 43.7719761, 11.2579232 43.7715172, 11.2579269 43.7714936, 11.2579277 43.7713906, 11.2579261 43.7712173, 11.257896 43.7709346, 11.2578938 43.7709137, 11.2578931 43.770907)",no,
115004217,,Via dell'Oriuolo,residential,False,False,94.689,,,,"LINESTRING (11.2578314 43.7725791, 11.2578754 43.7725762, 11.257908 43.7725738, 11.2585041 43.7725087, 11.258698 43.7724898, 11.258994 43.7724404)",no,
24550748,,Via Folco Portinari,residential,True,False,89.485,,,,"LINESTRING (11.258994 43.7724404, 11.2590338 43.7724927, 11.2594948 43.773103, 11.2595279 43.7731468)",no,
115004217,,Via dell'Oriuolo,residential,False,True,94.689,,,,"LINESTRING (11.258994 43.7724404, 11.258698 43.7724898, 11.2585041 43.7725087, 11.257908 43.7725738, 11.2578754 43.7725762, 11.2578314 43.7725791)",no,
23158525,,Via dell'Oriuolo,residential,True,False,235.37300000000002,,,,"LINESTRING (11.2617811 43.7717853, 11.2601746 43.7721678, 11.2597809 43.7722648, 11.2594283 43.7723493, 11.2590692 43.7724222, 11.2590245 43.772433, 11.258994 43.7724404)",no,
23158532,,Via Sant'Egidio,residential,True,False,141.244,,,,"LINESTRING (11.2617811 43.7717853, 11.2615849 43.771948, 11.2615693 43.7719583, 11.2609208 43.7723408, 11.2607269 43.772453, 11.2605029 43.7725789, 11.2604479 43.7726096)",no,
23158532,,Via Sant'Egidio,residential,True,False,95.001,,,,"LINESTRING (11.2604479 43.7726096, 11.2603885 43.7726445, 11.2600151 43.7728637, 11.2599383 43.7729099, 11.2596282 43.7730887, 11.2595279 43.7731468)",no,
84668913,,Via Maurizio Bufalini,residential,True,False,170.916,,,,"LINESTRING (11.2595279 43.7731468, 11.2593143 43.7732714, 11.2592896 43.7732851, 11.2591529 43.7733666, 11.2588679 43.7735346, 11.2584492 43.7737813, 11.2583317 43.7738505, 11.2579822 43.7740566, 11.2579213 43.7740925, 11.257878 43.774118)",no,
"[172496053, 596600094]",,"['Via Ghibellina', 'Via del Proconsolo']",residential,True,False,102.179,,10,,"LINESTRING (11.2578931 43.770907, 11.2578905 43.7708909, 11.2578463 43.7706186, 11.2579148 43.7706138, 11.2585114 43.7705722, 11.2586561 43.770562, 11.2587126 43.7705575)",no,
27590692,,Piazza Mentana,residential,True,False,46.85,,,,"LINESTRING (11.2575494 43.7671849, 11.2575717 43.7672365, 11.2577032 43.7675262, 11.2576927 43.7675533, 11.2576722 43.7675842)",no,
"[24881793, 119318570, 27590513, 27003891, 23298876, 119331070]",,"['Lungarno Generale Diaz', 'Via dei Saponai', 'Piazza dei Giudici']",residential,True,False,278.81800000000004,,,,"LINESTRING (11.2575494 43.7671849, 11.2570954 43.7672785, 11.2564409 43.7674134, 11.2563599 43.7674301, 11.2561296 43.7674804, 11.2561498 43.7675359, 11.2561459 43.7675423, 11.2561415 43.7675538, 11.2561313 43.7675855, 11.2561246 43.76763, 11.256124 43.7676662, 11.2561532 43.7677949, 11.2565111 43.7677374, 11.2568207 43.7676875, 11.2574054 43.7675915, 11.2575615 43.7675805, 11.2576722 43.7675842)",no,
25020712,,Via dell'Acqua,residential,True,False,41.428999999999995,,,,"LINESTRING (11.2587126 43.7705575, 11.2586845 43.7701941, 11.2586837 43.7701855)",no,
217018443,,Via Ghibellina,residential,True,False,98.19399999999999,,,,"LINESTRING (11.2587126 43.7705575, 11.2587621 43.7705541, 11.2599285 43.7704632)",no,
217018443,,Via Ghibellina,residential,True,False,26.747,,,,"LINESTRING (11.2599285 43.7704632, 11.2602595 43.7704362)",no,
768490069,,Via delle Seggiole,residential,True,False,46.262,,,,"LINESTRING (11.2599285 43.7704632, 11.2599292 43.7704832, 11.2599371 43.7707705, 11.2599416 43.7708593, 11.2599425 43.7708791)",no,
217018443,,Via Ghibellina,residential,True,False,27.669999999999998,,,,"LINESTRING (11.2602595 43.7704362, 11.2605443 43.7704112, 11.2606016 43.7704063)",no,
217018443,,Via Ghibellina,residential,True,False,77.938,,,,"LINESTRING (11.2606016 43.7704063, 11.2614477 43.7702563, 11.2615446 43.7702403)",no,
25021110,,Via dei Pandolfini,residential,True,False,67.84299999999999,,,,"LINESTRING (11.258735 43.7708769, 11.2587221 43.7708762, 11.2586094 43.7708699, 11.2583636 43.7708711, 11.257959 43.7709008, 11.2579151 43.7709049, 11.2578931 43.770907)",no,
768489274,,Via de' Giraldi,residential,True,False,35.562000000000005,,,,"LINESTRING (11.258735 43.7708769, 11.258726 43.7707572, 11.2587251 43.7707424, 11.2587185 43.7706396, 11.258715 43.770582, 11.2587126 43.7705575)",no,
