osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,tunnel,junction
185810687,Via Cardinal Ferrari,residential,False,False,122.04299999999999,"LINESTRING (9.0374114 45.5328348, 9.037384 45.5327676, 9.0370122 45.5318402, 9.0369879 45.5317781)",,,,
370585564,Corso Europa,secondary,False,False,71.983,"LINESTRING (9.0374114 45.5328348, 9.0372613 45.5328518, 9.0371586 45.5328636, 9.0364993 45.532939)",,,,
370585564,Corso Europa,secondary,False,True,90.634,"LINESTRING (9.0374114 45.5328348, 9.0378224 45.5327884, 9.0382242 45.5327431, 9.0385602 45.5327053)",,,,
192153392,Corso Europa,secondary,False,True,99.159,"LINESTRING (9.0435417 45.5313666, 9.0426252 45.5319855)",,,,
370585566,Corso Europa,secondary,False,False,40.081,"LINESTRING (9.0435417 45.5313666, 9.0436145 45.5313223, 9.0439304 45.5311304)",,,,
370582339,Corso Europa,secondary,False,False,42.046,"LINESTRING (9.0462757 45.5293969, 9.0463631 45.5291632, 9.0464078 45.5290303)",,,,
370582339,Corso Europa,secondary,False,True,132.155,"LINESTRING (9.0462757 45.5293969, 9.046255 45.5294334, 9.0462367 45.5294601, 9.0461776 45.5295464, 9.0459873 45.5297592, 9.0457671 45.5299387, 9.0452126 45.5303082)",,,,
1028947891,Largo Giuseppe Mazzini,residential,True,False,60.106,"LINESTRING (9.0462757 45.5293969, 9.0461179 45.5293789, 9.0459864 45.5293564, 9.0458645 45.5293381, 9.0456975 45.5293211, 9.0455603 45.5293099, 9.0455158 45.5293062)",1,,,
194161163,Corso Europa,secondary,False,False,137.883,"LINESTRING (9.0464078 45.5290303, 9.0464278 45.5289168, 9.0464857 45.5278755, 9.0464903 45.527792)",,,,
370582339,Corso Europa,secondary,False,True,42.046,"LINESTRING (9.0464078 45.5290303, 9.0463631 45.5291632, 9.0462757 45.5293969)",,,,
194161163,Corso Europa,secondary,False,False,178.367,"LINESTRING (9.0464903 45.527792, 9.046582 45.5261892)",,,,
43104774,Via San Michele del Carso,residential,True,False,55.583,"LINESTRING (9.0464903 45.527792, 9.0466039 45.5277965, 9.0472027 45.5278201)",1,,,
194161163,Corso Europa,secondary,False,True,137.883,"LINESTRING (9.0464903 45.527792, 9.0464857 45.5278755, 9.0464278 45.5289168, 9.0464078 45.5290303)",,,,
188692592,Via Milano,unclassified,False,False,71.812,"LINESTRING (9.0466076 45.5259274, 9.0457375 45.5257141)",2,,,
161606031,Corso Europa,secondary,False,False,121.954,"LINESTRING (9.0466076 45.5259274, 9.0471915 45.5250247, 9.0472629 45.5249316)",,50,,
188692590,Via Gaetano Donizetti,unclassified,False,True,29.008000000000003,"LINESTRING (9.0466076 45.5259274, 9.0467636 45.5260204, 9.0468743 45.5261085)",,50,,
194161163,Corso Europa,secondary,False,True,29.188,"LINESTRING (9.0466076 45.5259274, 9.0465925 45.5260355, 9.046582 45.5261892)",,,,
