osmid,oneway,lanes,name,highway,maxspeed,width,reversed,length,geometry,bridge,junction,access
377471988,True,1,Via Alessandro Manzoni,tertiary,30,3,False,143.868,"LINESTRING (9.3305817 45.5275156, 9.3304126 45.5275195, 9.3290738 45.5274256, 9.328932 45.5274157, 9.3287433 45.5274024)",,,
377472004,True,1,Via Alessandro Manzoni,tertiary,30,,False,130.94599999999997,"LINESTRING (9.3305817 45.5275156, 9.3307228 45.5275079, 9.3312396 45.5275475, 9.3316162 45.5275717, 9.3320734 45.5276116, 9.3321138 45.5276073, 9.3321416 45.5276026, 9.3321597 45.5275986, 9.3321948 45.5275881, 9.3322435 45.5275717)",,,
31547594,False,2,Via Guglielmo Oberdan,tertiary,,,False,63.556,"LINESTRING (9.3263657 45.526221, 9.3264048 45.5260691, 9.3265771 45.5257239, 9.3265994 45.5256748)",,,
31547594,False,2,Via Guglielmo Oberdan,tertiary,,,True,104.734,"LINESTRING (9.3263657 45.526221, 9.326349 45.5263663, 9.3262667 45.5270819, 9.3262554 45.5271597)",,,
39952561,False,,Via Francesco Baracca,unclassified,,,False,64.741,"LINESTRING (9.3263657 45.526221, 9.3263057 45.5262154, 9.325538 45.5261691)",,,
31711921,True,1,Via Monza,unclassified,,3,False,117.63399999999999,"LINESTRING (9.3259885 45.5253403, 9.3256773 45.5252026, 9.325358 45.5250628, 9.3253017 45.5250389, 9.3252454 45.525016, 9.3251669 45.5249895, 9.3250885 45.524964, 9.3249316 45.5249146, 9.3248979 45.5249046, 9.3248681 45.5248965, 9.3248388 45.5248902, 9.3247925 45.5248819, 9.3247587 45.5248765, 9.3247269 45.5248721, 9.3246893 45.5248674, 9.3246531 45.5248636)",,,
31548016,True,,Via Nazario Sauro,unclassified,,,False,98.615,"LINESTRING (9.325538 45.5261691, 9.3259885 45.5253403)",,,
39952561,False,,Via Francesco Baracca,unclassified,,,True,64.741,"LINESTRING (9.325538 45.5261691, 9.3263057 45.5262154, 9.3263657 45.526221)",,,
52181432,False,,Via Massimo D'Azeglio,residential,,,True,3.926,"LINESTRING (9.3254154 45.5271348, 9.32541 45.5271699)",,,
182994649,True,,Via Nazario Sauro,unclassified,,,False,55.316,"LINESTRING (9.3254154 45.5271348, 9.325423 45.5271083, 9.3254822 45.5266397)",,,
373378823,True,2,Via Cristoforo Colombo,tertiary,30,,False,60.479000000000006,"LINESTRING (9.3254154 45.5271348, 9.3260546 45.5271765, 9.3261163 45.5271806, 9.3261398 45.527181, 9.326166 45.5271789, 9.3261873 45.5271737)",,,
"[373729474, 31548366]",False,,Viale Assunta,unclassified,,,False,165.67399999999998,"LINESTRING (9.3304119 45.5220195, 9.3304365 45.5215308, 9.3304486 45.5212898, 9.3304595 45.5210734, 9.3304603 45.5210568, 9.330463 45.5210045, 9.3304693 45.5208781, 9.330483 45.5206055, 9.3304868 45.5205305)",,,
