osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width,access
5036121,True,2,Lungarno Galileo Galilei,tertiary,50,False,116.90599999999999,"LINESTRING (10.4077837 43.7130669, 10.407721 43.7130932, 10.4075892 43.7131356, 10.4068157 43.7133991, 10.4066358 43.7134599, 10.4064703 43.7135182)",,,,
"[1177623881, 355431133]",True,2,Lungarno Galileo Galilei,tertiary,50,False,40.43,"LINESTRING (10.4021415 43.7153998, 10.401812 43.715512, 10.4016837 43.7155503)",,,,
"[777657433, 5036049, 777657434]",False,2,Ponte di Mezzo,tertiary,50,False,89.521,"LINESTRING (10.4016837 43.7155503, 10.4017161 43.7156003, 10.4021059 43.7162114, 10.4021489 43.7162818)",yes,,,
5036178,True,,Lungarno Gambacorti,tertiary,50,False,109.31800000000001,"LINESTRING (10.4016837 43.7155503, 10.401551 43.7155867, 10.4014654 43.7156122, 10.4012916 43.7156571, 10.401108 43.7156966, 10.4009157 43.715728, 10.400667 43.715764, 10.4004115 43.7157966, 10.4003727 43.7158011)",,,,
32602931,False,,Via Canto del Nicchio,residential,30,False,25.092,"LINESTRING (10.4021804 43.7196742, 10.4019561 43.7196873, 10.4018689 43.7196868)",,,,
18083608,True,,Via San Lorenzo,residential,30,False,69.274,"LINESTRING (10.4040869 43.7197041, 10.4036388 43.7197051, 10.4032249 43.7197048)",,,,
"[18500684, 23041063]",False,2,"['Via Filippo Buonarroti', 'Largo Bruno Pontecorvo']",tertiary,"['40', '50']",True,132.036,"LINESTRING (10.4073611 43.7197345, 10.4073675 43.719648, 10.4073934 43.7194857, 10.4074008 43.7191486, 10.4073876 43.7186072, 10.407387 43.7185484)",,,,
"[18083608, 185425620]",True,,"['Via San Lorenzo', 'Largo Bruno Pontecorvo']",residential,30,False,30.964,"LINESTRING (10.4073611 43.7197345, 10.4071001 43.7197305, 10.4069759 43.7197285)",,,,
"[18763216, 542718569]",True,,Via Giovanni Di Simone,tertiary,50,False,118.899,"LINESTRING (10.407387 43.7185484, 10.4073848 43.7184764, 10.4073529 43.7179968, 10.40734 43.7175415, 10.4073381 43.7174798)",,,,
"[18500684, 23041063]",False,2,"['Via Filippo Buonarroti', 'Largo Bruno Pontecorvo']",tertiary,"['40', '50']",False,132.036,"LINESTRING (10.407387 43.7185484, 10.4073876 43.7186072, 10.4074008 43.7191486, 10.4073934 43.7194857, 10.4073675 43.719648, 10.4073611 43.7197345)",,,,
196651374,False,,Via San Giuseppe Benedetto Cottolengo,residential,30,False,72.762,"LINESTRING (10.3985708 43.7124032, 10.3994308 43.7121988)",,,,
153988296,True,2,Via Francesco Crispi,tertiary,50,False,127.11800000000001,"LINESTRING (10.3966641 43.7127374, 10.3966284 43.7128133, 10.3961874 43.7137628, 10.3961585 43.7138206)",,,,
22754021,True,,Via Curtatone e Montanara,residential,30,False,50.86,"LINESTRING (10.3998939 43.7166398, 10.3998931 43.7167069, 10.399893 43.71675, 10.3998771 43.717097)",,,,
55804764,True,2,Lungarno Antonio Pacinotti,tertiary,50,False,28.535000000000004,"LINESTRING (10.3998939 43.7166398, 10.3999418 43.7166374, 10.4001141 43.7166296, 10.4002481 43.7166222)",,,,
