osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,junction,width
9328765,False,2,SR58,Via Nazionale,primary,False,11.79,,"LINESTRING (13.7855771 45.6852959, 13.7856858 45.6853699)",,
8164261,False,,,Via Carsia,unclassified,False,110.93299999999999,30,"LINESTRING (13.7855771 45.6852959, 13.7855197 45.6853254, 13.7854838 45.6853438, 13.7854296 45.6853686, 13.7853292 45.6854123, 13.7849562 45.6855639, 13.7843511 45.6858065)",,
9328765,False,2,SR58,Via Nazionale,primary,True,254.121,,"LINESTRING (13.7855771 45.6852959, 13.7853762 45.6851546, 13.7851854 45.6850148, 13.7850913 45.6849432, 13.7849938 45.6848641, 13.7848198 45.6847176, 13.7846129 45.6845228, 13.7844242 45.6843373, 13.7843134 45.684217, 13.7842056 45.6840924, 13.7838418 45.6836484, 13.7836833 45.683446)",,
141506945,False,2,SR58,Via Nazionale,primary,False,5.397,,"LINESTRING (13.7873599 45.6865112, 13.7874092 45.6865454)",,
24512723,True,,,Piazzale Monte Re / Nanoški trg,unclassified,False,20.459,,"LINESTRING (13.7873599 45.6865112, 13.7874193 45.6864729, 13.7875537 45.6863866)",,
"[985520770, 9328765]",False,2,SR58,Via Nazionale,primary,True,181.706,,"LINESTRING (13.7873599 45.6865112, 13.7873035 45.686473, 13.7865801 45.6859808, 13.7861013 45.6856559, 13.7856858 45.6853699)",,
141506945,False,2,SR58,Via Nazionale,primary,True,13.168,,"LINESTRING (13.7875294 45.6866289, 13.7874092 45.6865454)",,
141506942,False,,,Piazzale Monte Re / Nanoški trg,unclassified,True,17.672,,"LINESTRING (13.7875294 45.6866289, 13.7876033 45.686594, 13.7877167 45.6865387)",,
141506946,False,2,SR58,Via Nazionale,primary,False,132.607,,"LINESTRING (13.7875294 45.6866289, 13.7876489 45.6867042, 13.7877417 45.6867783, 13.7878288 45.6868562, 13.7879948 45.6870164, 13.7881648 45.6871974, 13.7884624 45.6875619, 13.7884972 45.6876044)",,
1067661418,False,2,SR58;SP1,Strada per Vienna,primary,True,1.178,,"LINESTRING (13.7889669 45.6879214, 13.7889546 45.6879152)",,
47045803,True,,,Via del Ricreatorio,residential,False,98.665,,"LINESTRING (13.7889669 45.6879214, 13.7889944 45.6878589, 13.7890348 45.6877853, 13.7890912 45.6876765, 13.7891456 45.6875993, 13.789179 45.6875455, 13.7892263 45.6874723, 13.7892893 45.6874037, 13.7893433 45.6873219, 13.7893784 45.6872591, 13.7893981 45.6872031, 13.7893946 45.6870974)",,
"[819452096, 1067661418]",False,2,SR58;SP1,Strada per Vienna,primary,False,71.589,50,"LINESTRING (13.7889669 45.6879214, 13.7890127 45.6879395, 13.7892664 45.6880271, 13.7894195 45.6880627, 13.7895799 45.6880976, 13.7897099 45.6881225, 13.7898274 45.688145)",,
107690266,True,,,Via Vladimir Bartol,residential,False,37.475,,"LINESTRING (13.7898274 45.688145, 13.7898035 45.6882289, 13.789787 45.6883008, 13.7896624 45.6883498, 13.7895593 45.6883817)",,
819452096,False,2,SR58;SP1,Strada per Vienna,primary,False,69.978,50,"LINESTRING (13.7898274 45.688145, 13.7902562 45.6882302, 13.7906937 45.6883177)",,
"[819452096, 1067661418]",False,2,SR58;SP1,Strada per Vienna,primary,True,71.589,50,"LINESTRING (13.7898274 45.688145, 13.7897099 45.6881225, 13.7895799 45.6880976, 13.7894195 45.6880627, 13.7892664 45.6880271, 13.7890127 45.6879395, 13.7889669 45.6879214)",,
819452096,False,2,SR58;SP1,Strada per Vienna,primary,False,28.684,50,"LINESTRING (13.7906937 45.6883177, 13.7910488 45.6883885)",,
