osmid,bridge,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,tunnel,junction
28140221,yes,True,2,SS1,Strada statale 1 Via Aurelia,primary,50,False,87.8,"LINESTRING (7.6039387 43.792214, 7.6040595 43.7922712, 7.6048094 43.7926264, 7.6048382 43.7926385, 7.6048539 43.7926464)",,,
699261476,,False,2,SS20,,primary,70,False,68.873,"LINESTRING (7.6045426 43.7936538, 7.605001 43.7931302)",,,
"[348052970, 38957722]",yes,True,1,,,primary_link,50,False,117.45,"LINESTRING (7.6045426 43.7936538, 7.6045836 43.7935052, 7.6046115 43.7934601, 7.6046804 43.7933771, 7.6047431 43.7933006, 7.6047638 43.7932489, 7.6047715 43.7931955, 7.6047528 43.7931469, 7.604724 43.793103, 7.6046545 43.7930376, 7.6043672 43.7929005, 7.6042715 43.7928544, 7.6042313 43.7928148)",,,
141382142,,True,2,SS1,Via Aurelia,primary,50,False,11.468,"LINESTRING (7.6035122 43.7922922, 7.6035887 43.7922051)",,,
22813724,,True,2,,Via Bligny,residential,50,False,55.311,"LINESTRING (7.6063173 43.7924416, 7.6062856 43.7924175, 7.6062667 43.7924032, 7.6062545 43.7923934, 7.6058967 43.7921049, 7.605856 43.7920721)",,,
"[241790891, 241791079]",,True,2,,"['Via Goffredo Mameli', 'Via Lodovico Aprosio']",primary,"['50', '30']",False,166.11399999999998,"LINESTRING (7.6063173 43.7924416, 7.6063844 43.7924099, 7.6069617 43.7921274, 7.6069867 43.7921153, 7.6072355 43.7919747, 7.6072909 43.7919448, 7.6075126 43.7919639, 7.6077018 43.7919686, 7.6079644 43.7919527, 7.6081395 43.791933, 7.6081626 43.7919307)",,,
"[854265541, 854265542, 256729319, 10056691, 141382138]",,False,2,,"['Via G. Biancheri', 'Piazza Costituente', 'Corso Verdi']",secondary,50,False,430.798,"LINESTRING (7.6024318 43.7900736, 7.6025331 43.7899945, 7.6026123 43.7899479, 7.6026939 43.7899217, 7.6029249 43.7898629, 7.603891 43.7896805, 7.6040669 43.789655, 7.6041981 43.7896559, 7.604292 43.7896734, 7.6043991 43.7897153, 7.6044713 43.7897593, 7.6045383 43.7898135, 7.6045839 43.789889, 7.6046081 43.78998, 7.6045866 43.7900478, 7.6045503 43.7901144, 7.6045252 43.790152, 7.6040451 43.7908032, 7.6038506 43.7910475, 7.6037556 43.7911619, 7.6036405 43.791303, 7.6034862 43.7914561, 7.6033786 43.7915805, 7.6033519 43.7916505, 7.6033422 43.7916887, 7.6033396 43.7917368, 7.6033544 43.7917728)",,,
10056691,,False,2,,Corso Verdi,secondary,50,True,211.95000000000005,"LINESTRING (7.6024318 43.7900736, 7.6020944 43.7903821, 7.6020129 43.7904429, 7.6019108 43.7905053, 7.6017893 43.7905775, 7.6016319 43.7906586, 7.6015306 43.7907108, 7.6012048 43.7908786, 7.6009658 43.7909904, 7.6005584 43.7911772, 7.6004858 43.7912105, 7.6003877 43.7912554)",,,
123770630,,True,,,Va Colla,unclassified,20,False,91.13100000000001,"LINESTRING (7.6024318 43.7900736, 7.6024442 43.7901518, 7.6023494 43.7902502, 7.602126 43.7904564, 7.6019494 43.790588, 7.6018793 43.790651, 7.6018793 43.7906716, 7.6018793 43.7907036, 7.6018967 43.7907443)",,,
"[1241472624, 76700530, 172577540]",,True,,,Galleria degli Scoglietti,residential,40,False,260.269,"LINESTRING (7.6033544 43.7917728, 7.6032343 43.7917113, 7.603158 43.7916592, 7.6019912 43.7906984, 7.6019451 43.7906604, 7.6013281 43.7901557, 7.601192 43.790033)",yes,yes,
"[141382138, 932859781]",,False,2,,Piazza Costituente,secondary,50,False,16.219,"LINESTRING (7.6033544 43.7917728, 7.6033799 43.7917947, 7.6034057 43.7918065, 7.6034354 43.7918288, 7.6035126 43.7918608)",,,
"[854265541, 854265542, 256729319, 10056691, 141382138]",,False,2,,"['Via G. Biancheri', 'Piazza Costituente', 'Corso Verdi']",secondary,50,True,430.798,"LINESTRING (7.6033544 43.7917728, 7.6033396 43.7917368, 7.6033422 43.7916887, 7.6033519 43.7916505, 7.6033786 43.7915805, 7.6034862 43.7914561, 7.6036405 43.791303, 7.6037556 43.7911619, 7.6038506 43.7910475, 7.6040451 43.7908032, 7.6045252 43.790152, 7.6045503 43.7901144, 7.6045866 43.7900478, 7.6046081 43.78998, 7.6045839 43.789889, 7.6045383 43.7898135, 7.6044713 43.7897593, 7.6043991 43.7897153, 7.604292 43.7896734, 7.6041981 43.7896559, 7.6040669 43.789655, 7.603891 43.7896805, 7.6029249 43.7898629, 7.6026939 43.7899217, 7.6026123 43.7899479, 7.6025331 43.7899945, 7.6024318 43.7900736)",,,
143308760,,True,1,,,secondary,50,False,42.181999999999995,"LINESTRING (7.6036137 43.7919195, 7.6036295 43.7919381, 7.6036742 43.7919915, 7.6037179 43.7920463, 7.6037453 43.7920704, 7.6037904 43.7920961, 7.6039387 43.792214)",,,
932859784,,True,,,Piazza Costituente,secondary,,False,3.907,"LINESTRING (7.6036137 43.7919195, 7.6035927 43.7919267, 7.6035674 43.7919285)",,,
246140014,,True,1,,Lungo Roia Gerolamo Rossi,residential,50,False,31.711,"LINESTRING (7.6055005 43.7922415, 7.6055458 43.7921786, 7.6056888 43.7920492, 7.6057323 43.7920119)",,,
257682644,,False,2,,Lungo Roia Gerolamo Rossi,residential,50,True,52.062,"LINESTRING (7.6055005 43.7922415, 7.605251 43.7925074, 7.6051908 43.7925772, 7.6051395 43.7926304)",,,
713054318,,True,2,SS1,Largo Torino,primary,50,False,4.217,"LINESTRING (7.6051888 43.7927836, 7.6052411 43.79278)",,,roundabout
699261476,,False,2,SS20,,primary,70,True,68.873,"LINESTRING (7.605001 43.7931302, 7.6045426 43.7936538)",,,
312070332,,True,2,SS1,Largo Torino,primary,50,False,6.455,"LINESTRING (7.605001 43.7931302, 7.6049683 43.7931065, 7.6049536 43.7930843)",,,roundabout
256465168,,False,,,Via della Stazione,residential,40,True,45.793,"LINESTRING (7.6090875 43.7916348, 7.6091622 43.7917108, 7.6093615 43.7919527, 7.6093855 43.7919856)",,,
