osmid,lanes,name,highway,oneway,reversed,length,geometry,access,ref,maxspeed,junction
4617361,2,Via Triestina,tertiary,False,False,110.37499999999999,"LINESTRING (12.2826007 45.5045972, 12.2830295 45.504671, 12.2834809 45.5047573, 12.2835403 45.5047687, 12.2839699 45.5048508)",,,,
4945000,,Via Gobbi,residential,True,False,184.62399999999997,"LINESTRING (12.2826007 45.5045972, 12.2826112 45.5045813, 12.2828237 45.5042164, 12.2829112 45.5040662, 12.2829411 45.5039796, 12.2831649 45.5036134, 12.2832513 45.5034678, 12.2834562 45.5031223, 12.2835108 45.5030671)",,,,
444782674,2,Piazza Angelo Pastrello,tertiary,False,False,10.017,"LINESTRING (12.2826007 45.5045972, 12.2825353 45.5045842, 12.2824771 45.5045725)",,,,
4710605,,,residential,False,False,123.37599999999999,"LINESTRING (12.2851297 45.5050167, 12.2851343 45.5050053, 12.285171 45.5049059, 12.2851858 45.5048649, 12.2851949 45.5048396, 12.285243 45.504706, 12.2852957 45.5045598, 12.285348 45.5044146, 12.2853799 45.5043259, 12.2854178 45.5042624, 12.2854271 45.5042511, 12.2854623 45.5042081, 12.2855182 45.5041649, 12.285582 45.5041227, 12.2856124 45.5040989, 12.2856452 45.5040685, 12.2856981 45.5040027)",,,,
131005172,1,Via Triestina,tertiary,True,False,209.379,"LINESTRING (12.2851297 45.5050167, 12.2851907 45.5050254, 12.2852494 45.5050359, 12.2853851 45.5050631, 12.2855065 45.5050891, 12.2856746 45.505127, 12.285834 45.5051584, 12.2858906 45.5051681, 12.2863715 45.5052453, 12.2864703 45.5052593, 12.2865346 45.5052674, 12.2865902 45.5052726, 12.2866357 45.5052753, 12.2867155 45.5052783, 12.286835 45.5052828, 12.2870786 45.5052906, 12.2871545 45.5052926, 12.2872263 45.5052945, 12.2872733 45.5052955, 12.2873216 45.5052956, 12.2874478 45.5052949, 12.2874949 45.5052938, 12.2875144 45.5052931, 12.2875839 45.5052906, 12.287664 45.5052848, 12.2877327 45.5052795, 12.2877679 45.5052761)",,,,
430622516,1,Via Triestina,tertiary,True,False,29.557000000000002,"LINESTRING (12.2851297 45.5050167, 12.2851279 45.5050186, 12.2851221 45.5050244, 12.2851145 45.5050305, 12.2851027 45.505036, 12.2850823 45.5050423, 12.2850679 45.5050454, 12.2850507 45.5050478, 12.2850362 45.5050484, 12.2850202 45.5050478, 12.2849796 45.5050431, 12.2847676 45.5050249)",,,,
4710516,,Via Passo Mauria,residential,False,False,66.886,"LINESTRING (12.2780264 45.5060033, 12.2779827 45.5058868, 12.2772964 45.5058955)",destination,,,
116792909,,Via Passo San Boldo,residential,False,False,206.79700000000003,"LINESTRING (12.2780264 45.5060033, 12.278223 45.5065813, 12.2782453 45.5066294, 12.278272 45.5066678, 12.2783066 45.5067018, 12.278347 45.5067353, 12.2784063 45.5067804, 12.2784696 45.5068141, 12.2785311 45.5068507, 12.2785855 45.5068926, 12.2786271 45.5069439, 12.2786458 45.5069864, 12.2786522 45.5070197, 12.2785896 45.5070229, 12.2784313 45.5070311, 12.2785057 45.5075928)",destination,,,
4710522,,Via Marmolada,residential,False,False,40.404,"LINESTRING (12.2772964 45.5058955, 12.277287 45.5055322)",,,,
4710522,,Via Marmolada,residential,False,True,40.048,"LINESTRING (12.2772964 45.5058955, 12.2773058 45.5062556)",,,,
427840212,,Via Passo Mauria,residential,False,False,95.931,"LINESTRING (12.2772964 45.5058955, 12.2760656 45.5059111)",,,,
4710516,,Via Passo Mauria,residential,False,True,66.886,"LINESTRING (12.2772964 45.5058955, 12.2779827 45.5058868, 12.2780264 45.5060033)",destination,,,
4710518,,Via Passo Bernina,residential,False,False,40.27,"LINESTRING (12.2760656 45.5059111, 12.2760562 45.505549)",,,,
4710518,,Via Passo Bernina,residential,False,True,40.259,"LINESTRING (12.2760656 45.5059111, 12.276075 45.5062731)",,,,
427840212,,Via Passo Mauria,residential,False,True,95.931,"LINESTRING (12.2760656 45.5059111, 12.2772964 45.5058955)",,,,
4710518,,Via Passo Bernina,residential,False,False,23.133,"LINESTRING (12.2759895 45.5042571, 12.2759785 45.5040492)",,,,
4710518,,Via Passo Bernina,residential,False,True,117.78599999999999,"LINESTRING (12.2759895 45.5042571, 12.2759924 45.5043439, 12.2760229 45.5052519, 12.276039 45.5053151)",,,,
4710518,,Via Passo Bernina,residential,False,False,117.78599999999999,"LINESTRING (12.276039 45.5053151, 12.2760229 45.5052519, 12.2759924 45.5043439, 12.2759895 45.5042571)",,,,
4710518,,Via Passo Bernina,residential,False,True,26.098,"LINESTRING (12.276039 45.5053151, 12.2760515 45.5053643, 12.2760562 45.505549)",,,,
4710522,,Via Marmolada,residential,False,False,40.048,"LINESTRING (12.2773058 45.5062556, 12.2772964 45.5058955)",,,,
4710522,,Via Marmolada,residential,False,True,40.845,"LINESTRING (12.2773058 45.5062556, 12.2773126 45.5066229)",,,,
427840205,,Via Gosaldo,residential,False,True,39.83,"LINESTRING (12.2773058 45.5062556, 12.2767948 45.5062628)",,,,
427840205,,Via Gosaldo,residential,False,False,60.342,"LINESTRING (12.2773058 45.5062556, 12.2778316 45.5062481, 12.2778398 45.5064221)",,,,
4710518,,Via Passo Bernina,residential,False,False,40.259,"LINESTRING (12.276075 45.5062731, 12.2760656 45.5059111)",,,,
4710518,,Via Passo Bernina,residential,False,True,37.779,"LINESTRING (12.276075 45.5062731, 12.2760837 45.5066128)",,,,
