osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,junction,maxspeed,tunnel,ref
"[127875058, 662128517, 662128518]",Corso Cristoforo Colombo,residential,False,False,243.282,yes,"LINESTRING (16.0415365 39.3631516, 16.041774 39.3631002, 16.0420218 39.3631362, 16.042286 39.3632053, 16.0424119 39.3632649, 16.0425294 39.36331, 16.0425873 39.3633007, 16.0426716 39.363253, 16.0431337 39.3629818, 16.0432347 39.3628997, 16.0433282 39.362753, 16.0433561 39.3625831, 16.0433909 39.3623274, 16.043402 39.362237)",,,,,
222912647,Via Nazionale,tertiary,False,False,113.964,,"LINESTRING (16.0415365 39.3631516, 16.0414638 39.3631395, 16.041332 39.363164, 16.041206 39.3633407, 16.040897 39.3638384, 16.0408402 39.3639379)",2,,,,
42142183,Viale della Libertà,tertiary,False,False,43.558,,"LINESTRING (16.0410834 39.3600795, 16.0405789 39.3601155)",,,,,
120839746,,tertiary,False,False,92.972,,"LINESTRING (16.0410834 39.3600795, 16.0410775 39.3592434)",,,,,
"[937285500, 937285501]",Via Nazionale,tertiary,False,True,174.80900000000003,yes,"LINESTRING (16.0410834 39.3600795, 16.0410181 39.3602876, 16.0409955 39.3603957, 16.0409244 39.3605247, 16.0403728 39.3610549, 16.0401014 39.3614277)",2,,,,
42142183,Viale della Libertà,tertiary,False,False,40.455,,"LINESTRING (16.0395863 39.3600921, 16.0395316 39.3600644, 16.0393406 39.3598488, 16.039302 39.3598063)",,,,,
42142183,Viale della Libertà,tertiary,False,True,87.65899999999999,,"LINESTRING (16.0395863 39.3600921, 16.0396679 39.3601328, 16.039772 39.360163, 16.0399121 39.3601706, 16.0400432 39.3601538, 16.0405789 39.3601155)",,,,,
222912676,Via Francesco Cilea,tertiary,False,False,251.168,,"LINESTRING (16.0395863 39.3600921, 16.0395086 39.3601266, 16.0394236 39.3601564, 16.0387943 39.3602781, 16.0386389 39.3603508, 16.0385532 39.3604119, 16.0385015 39.3604928, 16.0384366 39.3606366, 16.0382064 39.3613302, 16.0381316 39.3614483, 16.0379757 39.3617177)",,,,,
42199005,Via dei Pignatori,tertiary,True,False,123.046,,"LINESTRING (16.0344099 39.3584309, 16.0344304 39.3584377, 16.034479 39.3584666, 16.034701 39.3585776, 16.034923 39.358672, 16.0351545 39.3587787, 16.0353285 39.3588667, 16.0353833 39.358904, 16.035619 39.35902)",,,,,
937297466,,tertiary,True,False,13.058,,"LINESTRING (16.0344099 39.3584309, 16.0344178 39.3584507, 16.0344153 39.3584677, 16.0344023 39.3584847, 16.0343868 39.3584986, 16.0343681 39.3585068, 16.034336 39.358505)",,roundabout,,,
386558637,Via dei Pignatori,tertiary,False,False,14.027,,"LINESTRING (16.035619 39.35902, 16.035523 39.359122)",,,,,
127875052,Via San rocco,tertiary,False,False,23.438,,"LINESTRING (16.0405821 39.3567854, 16.0408079 39.3569035)",,,,,
127875052,Via San rocco,tertiary,False,True,48.753,,"LINESTRING (16.0405821 39.3567854, 16.0401073 39.3565457)",,,,,
59850894,Via Antonio Gramsci,residential,False,True,33.469,,"LINESTRING (16.0396541 39.3563426, 16.0395136 39.3566233)",,,,,
127875052,Via San rocco,tertiary,False,False,45.037,,"LINESTRING (16.0396541 39.3563426, 16.0401073 39.3565457)",,,,,
127875052,Via San rocco,tertiary,False,True,40.054,,"LINESTRING (16.0396541 39.3563426, 16.0392511 39.3561619)",,,,,
59850887,Via del Ferroviere,residential,False,False,43.119,,"LINESTRING (16.0392336 39.3571272, 16.0396941 39.3572808)",,,,,
59850887,Via del Ferroviere,residential,False,True,40.532,,"LINESTRING (16.0392336 39.3571272, 16.0388033 39.3569783)",,,,,
59850894,Via Antonio Gramsci,residential,False,False,60.984,,"LINESTRING (16.0392336 39.3571272, 16.0395136 39.3566233)",,,,,
59850894,Via Antonio Gramsci,residential,False,True,60.417,,"LINESTRING (16.0392336 39.3571272, 16.038947 39.3576233)",,,,,
59850893,Via della Cremagliera,residential,False,False,42.512,,"LINESTRING (16.0395136 39.3566233, 16.0399649 39.3567795)",,,,,
59850893,Via della Cremagliera,residential,False,True,41.328,,"LINESTRING (16.0395136 39.3566233, 16.0390749 39.3564714)",,,,,
59850894,Via Antonio Gramsci,residential,False,False,33.469,,"LINESTRING (16.0395136 39.3566233, 16.0396541 39.3563426)",,,,,
59850894,Via Antonio Gramsci,residential,False,True,60.984,,"LINESTRING (16.0395136 39.3566233, 16.0392336 39.3571272)",,,,,
