osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,junction,access
316149263,False,Via Botte',residential,True,58.108999999999995,"LINESTRING (9.2844786 45.6987495, 9.2844734 45.6987954, 9.2844305 45.6988973, 9.2843954 45.6989212, 9.2843681 45.6989269, 9.2842996 45.6989378, 9.284199 45.6989435, 9.2839186 45.6989612)",,,,
316149266,False,Via John e Robert Kennedy,secondary,False,193.958,"LINESTRING (9.2844786 45.6987495, 9.28489 45.6988204, 9.2850476 45.6988393, 9.2852084 45.69885, 9.2854406 45.6988738, 9.2864213 45.6989223, 9.286952 45.6989664)",2,SP6,,
138404622,False,Via delle Rose,residential,True,214.96499999999997,"LINESTRING (9.2944952 45.6990257, 9.2945515 45.6991337, 9.294594 45.6992113, 9.2946262 45.6993237, 9.2946168 45.6993651, 9.2945585 45.6993959, 9.2943902 45.6994795, 9.2941434 45.6995709, 9.2938859 45.6996831, 9.2937022 45.6997782, 9.2936094 45.6998527, 9.2935319 45.6999216, 9.2933066 45.7001254, 9.2932416 45.7001979, 9.2931886 45.7002753, 9.293084 45.700463)",,,,
512588367,False,Via Giacomo Puccini,tertiary,True,218.45299999999995,"LINESTRING (9.2944952 45.6990257, 9.2943475 45.6991393, 9.2940851 45.6992674, 9.2938225 45.6993883, 9.2934864 45.6995401, 9.2932528 45.6996804, 9.2929454 45.6998748, 9.2926232 45.7001125, 9.2924072 45.7002258, 9.2923442 45.7002549, 9.2923258 45.7002622)",,,,
512588367,False,Via Giacomo Puccini,tertiary,False,218.45299999999997,"LINESTRING (9.2923258 45.7002622, 9.2923442 45.7002549, 9.2924072 45.7002258, 9.2926232 45.7001125, 9.2929454 45.6998748, 9.2932528 45.6996804, 9.2934864 45.6995401, 9.2938225 45.6993883, 9.2940851 45.6992674, 9.2943475 45.6991393, 9.2944952 45.6990257)",,,,
1147665378,True,,secondary,False,8.458,"LINESTRING (9.2923258 45.7002622, 9.2923325 45.7002741, 9.2923418 45.7003051, 9.2923382 45.7003366)",,SP6,roundabout,
138404622,False,Via delle Rose,residential,False,214.965,"LINESTRING (9.293084 45.700463, 9.2931886 45.7002753, 9.2932416 45.7001979, 9.2933066 45.7001254, 9.2935319 45.6999216, 9.2936094 45.6998527, 9.2937022 45.6997782, 9.2938859 45.6996831, 9.2941434 45.6995709, 9.2943902 45.6994795, 9.2945585 45.6993959, 9.2946168 45.6993651, 9.2946262 45.6993237, 9.294594 45.6992113, 9.2945515 45.6991337, 9.2944952 45.6990257)",,,,
255300800,False,Via Monte Grappa,secondary,False,59.601000000000006,"LINESTRING (9.293084 45.700463, 9.2923577 45.7003405, 9.2923382 45.7003366)",2,SP6,,
"[167980825, 174738675, 110272422]",False,Via Tagliamento,residential,True,222.95699999999997,"LINESTRING (9.2921694 45.7056174, 9.2922565 45.7056403, 9.2924283 45.7056818, 9.2926036 45.7057267, 9.2927665 45.7057701, 9.2928706 45.7057966, 9.2930013 45.7058281, 9.2931403 45.7058669, 9.293244 45.7059068, 9.2933372 45.7059485, 9.2934492 45.7060191, 9.2935673 45.706101, 9.293849 45.7062793, 9.2940071 45.7063732, 9.2941589 45.7064772, 9.2943207 45.7065668, 9.2944365 45.7066205, 9.2945021 45.7066477, 9.2945604 45.7066721)",,,,
"[606133858, 255300795]",False,"['Via Giuseppe Garibaldi', 'Via Garibaldi']",unclassified,True,102.13699999999999,"LINESTRING (9.2921694 45.7056174, 9.2921017 45.7055489, 9.2920023 45.7054879, 9.2918295 45.7054146, 9.2916931 45.7053445, 9.2915335 45.7052289, 9.2914004 45.7051131, 9.291288 45.7049574)",,,,
"[167980825, 174738675, 110272422]",False,Via Tagliamento,residential,False,222.95700000000002,"LINESTRING (9.2945604 45.7066721, 9.2945021 45.7066477, 9.2944365 45.7066205, 9.2943207 45.7065668, 9.2941589 45.7064772, 9.2940071 45.7063732, 9.293849 45.7062793, 9.2935673 45.706101, 9.2934492 45.7060191, 9.2933372 45.7059485, 9.293244 45.7059068, 9.2931403 45.7058669, 9.2930013 45.7058281, 9.2928706 45.7057966, 9.2927665 45.7057701, 9.2926036 45.7057267, 9.2924283 45.7056818, 9.2922565 45.7056403, 9.2921694 45.7056174)",,,,
29182557,False,Via Giuseppe Garibaldi,unclassified,False,14.901,"LINESTRING (9.2911458 45.7041544, 9.2911382 45.7042883)",,,,
29182557,False,Via Giuseppe Garibaldi,unclassified,True,59.769999999999996,"LINESTRING (9.2911458 45.7041544, 9.2911656 45.704013, 9.291202 45.7038118, 9.2912547 45.7036227)",,,,
254814058,True,,residential,False,25.524,"LINESTRING (9.2911458 45.7041544, 9.2913385 45.7042141, 9.2914535 45.7042322)",,,,
