osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction
139230565,2,SS126,Via Felice Porcella,primary,30,False,False,35.382,"LINESTRING (8.6373329 39.7216075, 8.6373171 39.7218868, 8.6373149 39.7219254)",,
183499810,1,,Via Felice Porcella,primary,30,True,False,18.701,"LINESTRING (8.6373329 39.7216075, 8.6372861 39.7215227, 8.6372445 39.7214537)",,
193688538,2,SS126,Via Felice Porcella,primary,30,False,False,14.655,"LINESTRING (8.6337593 39.7185737, 8.6339001 39.7186488)",,
"[194977813, 193688543]",2,SS126,"['Via Gesuino Manca', 'Via G. Manca']",primary,30,False,True,29.989,"LINESTRING (8.6337593 39.7185737, 8.6338049 39.7184523, 8.6338557 39.7183144)",,
"[120065603, 668681980]",2,,Via Neapolis,tertiary,"['20', '30']",False,False,98.848,"LINESTRING (8.6337593 39.7185737, 8.6336543 39.7185176, 8.6336308 39.7185051, 8.6332825 39.7183192, 8.6328997 39.7180988, 8.6328219 39.718054)",,
193688538,2,SS126,Via Felice Porcella,primary,30,False,True,14.655,"LINESTRING (8.6339001 39.7186488, 8.6337593 39.7185737)",,
1021739109,2,SS126,Via Felice Porcella,primary,30,False,False,70.293,"LINESTRING (8.6339001 39.7186488, 8.6345772 39.7190071)",,
1021739109,2,SS126,Via Felice Porcella,primary,30,False,True,70.293,"LINESTRING (8.6345772 39.7190071, 8.6339001 39.7186488)",,
194201259,,,Via Casu,residential,30,False,False,77.47100000000002,"LINESTRING (8.6345772 39.7190071, 8.6346667 39.7189246, 8.6347792 39.7188382, 8.6349267 39.7187598, 8.6350824 39.7186998, 8.6352085 39.7186152, 8.6352782 39.718576)",destination,
1021739109,2,SS126,Via Felice Porcella,primary,30,False,False,74.92699999999999,"LINESTRING (8.6345772 39.7190071, 8.6349694 39.7192192, 8.6353162 39.7193672)",,
139230565,2,SS126,Via Felice Porcella,primary,30,False,True,35.382,"LINESTRING (8.6373149 39.7219254, 8.6373171 39.7218868, 8.6373329 39.7216075)",,
193688539,1,,Via Felice Porcella,primary,,True,False,17.915,"LINESTRING (8.6373149 39.7219254, 8.6373583 39.722006, 8.6373952 39.7220742)",,
193671263,2,,Via Piave,residential,30,False,False,79.57,"LINESTRING (8.6380928 39.7240583, 8.6379772 39.7239834, 8.6373811 39.7235974)",,
196494891,2,SS126,Via Felice Porcella,primary,30,False,True,130.214,"LINESTRING (8.6380928 39.7240583, 8.6380783 39.7230891, 8.6380734 39.7230571, 8.6380599 39.7229686, 8.6380537 39.722928, 8.6380477 39.7228887)",,
865658301,2,SS126,Via Felice Porcella,primary,30,False,False,48.256,"LINESTRING (8.637774 39.7225092, 8.6380477 39.7228887)",,
193650255,1,,Via Felice Porcella,primary,,True,False,49.498000000000005,"LINESTRING (8.637774 39.7225092, 8.6376733 39.7224623, 8.6375603 39.7223552, 8.6374745 39.7222739, 8.6374231 39.7222574, 8.63734 39.7222311)",,
