osmid,oneway,name,highway,reversed,length,ref,geometry,maxspeed,lanes
150976792,False,Viale Medaglie d'Oro,tertiary,True,23.78,,"LINESTRING (10.8979034 44.8920741, 10.8981842 44.8919956)",,
499316194,False,Via Provinciale Modena,primary,False,23.664,SP413R,"LINESTRING (10.8979034 44.8920741, 10.8978155 44.8918706)",,
499316194,False,Via Provinciale Modena,primary,True,28.462,SP413R,"LINESTRING (10.8979034 44.8920741, 10.898029 44.8923141)",,
60342643,False,Via Casoni,residential,True,74.699,,"LINESTRING (10.8979034 44.8920741, 10.8977088 44.8921352, 10.8970366 44.8923465)",,
60342658,False,Via due Giugno,residential,True,100.014,,"LINESTRING (10.8998487 44.8894515, 10.900221 44.8903114)",,
143474025,False,Viale Martiri della Libertà,unclassified,False,100.744,,"LINESTRING (10.9004735 44.8923493, 10.9000339 44.8914985)",,
143474025,False,Viale Martiri della Libertà,unclassified,True,76.184,,"LINESTRING (10.9004735 44.8923493, 10.9008135 44.8929907)",,
148684307,False,Via Demos Malavasi,unclassified,False,12.842,Demos Malavasi,"LINESTRING (10.9004735 44.8923493, 10.9006275 44.8923114)",,
148684307,False,Via Demos Malavasi,unclassified,True,13.684,Demos Malavasi,"LINESTRING (10.9004735 44.8923493, 10.9003116 44.8923939)",,
151521179,False,Via fratelli Rosselli,tertiary,False,19.808,,"LINESTRING (10.9013181 44.8919357, 10.9014176 44.8920993)",50,
148683066,True,Via fratelli Rosselli,unclassified,False,87.66999999999999,,"LINESTRING (10.9013181 44.8919357, 10.9009514 44.8912324, 10.9009325 44.8911961)",,1
60343026,False,Via Francesco Maxia,unclassified,False,94.494,,"LINESTRING (10.9038325 44.8917206, 10.9042589 44.8925149)",,
148684310,False,Via Zoldi,residential,False,113.739,,"LINESTRING (10.9002727 44.8936344, 10.9008304 44.8945779)",,
148684310,False,Via Zoldi,residential,True,9.667,,"LINESTRING (10.9002727 44.8936344, 10.9002285 44.8935533)",,
200449604,False,Viale Vittorio Veneto,residential,True,115.01,,"LINESTRING (10.9002727 44.8936344, 10.8989011 44.8939889)",,
147355800,False,Piazza Primo Maggio,residential,False,65.011,,"LINESTRING (10.9002727 44.8936344, 10.9003135 44.8936263, 10.9010407 44.8934208)",,
60343039,False,,residential,True,79.726,,"LINESTRING (10.9001249 44.8942734, 10.8991881 44.8945448)",,
148819005,False,Via Mahatma Gandhi,residential,True,60.774,,"LINESTRING (10.9065755 44.890686, 10.9058611 44.8908923)",,
"[490713850, 60343023]",False,"['Via Achille Grandi', 'Via del Gesù']","['residential', 'tertiary']",False,200.365,,"LINESTRING (10.9065755 44.890686, 10.906123 44.8896151, 10.9061041 44.8895704, 10.9052756 44.8898189)",,
60343023,False,Via del Gesù,residential,True,133.969,,"LINESTRING (10.9065755 44.890686, 10.9067684 44.8911443, 10.9068063 44.8913373, 10.9068304 44.8918279, 10.9068324 44.8918687)",,
143475387,False,Via Silvio Rossi,unclassified,False,91.677,,"LINESTRING (10.9045706 44.8915625, 10.9050014 44.8923284)",,
60343023,False,Via del Gesù,residential,True,69.094,,"LINESTRING (10.9068324 44.8918687, 10.9068668 44.8924896)",,
