osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,junction,access,ref
"[1092998348, 31767094]",True,"['1', '2']",Via Francesco Petrarca,tertiary,50,False,218.086,"LINESTRING (11.7887621 45.3299545, 11.7886977 45.3298551, 11.7886675 45.3298031, 11.7884904 45.3295197, 11.7883264 45.3292586, 11.7883148 45.3292401, 11.7882763 45.3291536, 11.7882634 45.3291046, 11.788257 45.328924, 11.7882742 45.3280645)",,,,
32075407,False,2,Viale Stazione,tertiary,,False,138.13,"LINESTRING (11.7887621 45.3299545, 11.788636 45.3300077, 11.7885666 45.3300361, 11.7881753 45.3301962, 11.787536 45.3305028, 11.7872785 45.3306279)",,,,
134414336,False,2,Viale Stazione,tertiary,,True,94.998,"LINESTRING (11.7887621 45.3299545, 11.7893134 45.3297615, 11.7897041 45.3296232, 11.78985 45.3295738)",,,,
40694277,True,,Via Giosuè Carducci,tertiary,,False,144.31799999999998,"LINESTRING (11.7882742 45.3280645, 11.7883569 45.328066, 11.788828 45.3279879, 11.7892534 45.3279143, 11.7900741 45.3277844)",,,,
40694276,True,,Via San Mauro,tertiary,,False,138.439,"LINESTRING (11.7900741 45.3277844, 11.7906925 45.3276744, 11.7911681 45.3275811, 11.7917853 45.3274642)",,,,
52733079,False,,Piazzale della Stazione,tertiary,,False,4.406,"LINESTRING (11.7956464 45.3276131, 11.7956286 45.3275755)",,,,
"[620466424, 110251540]",True,1,Viale Stazione,tertiary,,False,340.626,"LINESTRING (11.7956464 45.3276131, 11.7955541 45.3276468, 11.7943577 45.3280399, 11.7937318 45.3282548, 11.7917225 45.3289446)",,,,
165581285,False,2,Via Marza,residential,,False,51.5,"LINESTRING (11.7963982 45.3285947, 11.7966463 45.3288109, 11.7968438 45.3289337)",,,,
165581285,False,2,Via Marza,residential,,True,85.884,"LINESTRING (11.7963982 45.3285947, 11.7960837 45.3282153, 11.7958744 45.3279163)",,,,
392067653,False,,,residential,,False,87.868,"LINESTRING (11.7963982 45.3285947, 11.7963695 45.3286087, 11.7962367 45.3286961, 11.7958924 45.3290098, 11.7957058 45.3292126)",4,,,
37301039,True,,Via Marza,tertiary,,False,27.070999999999998,"LINESTRING (11.7967219 45.33265, 11.7966503 45.3326618, 11.7965551 45.3327077, 11.7964275 45.3327724)",,,,
123085400,True,,Via Marza,tertiary,,False,15.141,"LINESTRING (11.7967219 45.33265, 11.7966769 45.3326375, 11.7966392 45.3326161, 11.7966124 45.3325878, 11.7965987 45.3325551)",,roundabout,,
37301246,False,,Via Giulio Cesare,residential,,False,15.857,"LINESTRING (11.7951286 45.3343544, 11.7952769 45.3344517)",,,,
37301246,False,,Via Giulio Cesare,residential,,True,142.17800000000003,"LINESTRING (11.7951286 45.3343544, 11.7950914 45.3343262, 11.7939333 45.3334859, 11.7938672 45.3334333)",,,,
109987583,False,2,Via Marza,tertiary,,False,181.83499999999998,"LINESTRING (11.7951286 45.3343544, 11.7949353 45.3345989, 11.794746 45.3348162, 11.7946746 45.3348845, 11.7941389 45.3353965, 11.7938056 45.3356962)",,,,
109987583,False,2,Via Marza,tertiary,,True,203.199,"LINESTRING (11.7951286 45.3343544, 11.7956677 45.3336904, 11.796012 45.3332377, 11.7962937 45.3329112, 11.7964275 45.3327724)",,,,
109987583,False,2,Via Marza,tertiary,,True,181.83499999999998,"LINESTRING (11.7938056 45.3356962, 11.7941389 45.3353965, 11.7946746 45.3348845, 11.794746 45.3348162, 11.7949353 45.3345989, 11.7951286 45.3343544)",,,,
"[165581284, 37835836]",False,2,Via Aureliana,residential,,True,178.087,"LINESTRING (11.7938056 45.3356962, 11.7937605 45.3356582, 11.7937471 45.3356464, 11.792508 45.3345546, 11.792411 45.3344651, 11.7923848 45.3344443)",7,,,
"[37301136, 1092981186]",False,1,Via Pesare,residential,,True,127.17,"LINESTRING (11.7938056 45.3356962, 11.7938705 45.33574, 11.7945416 45.3361792, 11.7946703 45.3361551, 11.7949879 45.3358957)",3.5,,,
165581282,True,,Largo Traiano,residential,,False,8.777000000000001,"LINESTRING (11.7921366 45.3343774, 11.7921377 45.3343541, 11.7921468 45.334327, 11.7921657 45.3343026)",,roundabout,,
"[165581284, 37835836]",False,2,Via Aureliana,residential,,False,178.087,"LINESTRING (11.7923848 45.3344443, 11.792411 45.3344651, 11.792508 45.3345546, 11.7937471 45.3356464, 11.7937605 45.3356582, 11.7938056 45.3356962)",7,,,
