osmid,ref,name,highway,oneway,reversed,length,geometry,bridge
"[121260258, 389281165]",,,residential,False,False,266.379,"LINESTRING (-70.7944593 19.473049, -70.7942355 19.4733392, -70.7942254 19.4733644, -70.7942224 19.4733892, -70.7942288 19.4734125, -70.794243 19.4734322, -70.7960124 19.4744167)",
121260148,,,residential,False,False,186.288,"LINESTRING (-70.7962567 19.4734747, -70.7946871 19.4726893)",
121260225,,,residential,False,False,56.502,"LINESTRING (-70.7962567 19.4734747, -70.7964241 19.4729917)",
121260225,,,residential,False,True,50.535,"LINESTRING (-70.7962567 19.4734747, -70.7961324 19.4739138)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,40.659,"LINESTRING (-70.7927753 19.4766602, -70.7923999 19.4767521)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,133.362,"LINESTRING (-70.7927753 19.4766602, -70.7940126 19.4763814)",
121260198,,,residential,False,False,80.16300000000001,"LINESTRING (-70.7927753 19.4766602, -70.7928084 19.476541, -70.7929754 19.4759644)",
121260183,,,residential,False,False,48.286,"LINESTRING (-70.7960193 19.4728079, -70.7956054 19.4726174)",
121260183,,,residential,False,True,47.102,"LINESTRING (-70.7960193 19.4728079, -70.7964241 19.4729917)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,133.362,"LINESTRING (-70.7940126 19.4763814, -70.7927753 19.4766602)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,49.356,"LINESTRING (-70.7940126 19.4763814, -70.7944696 19.4762747)",
127927413,,,residential,False,True,17.961,"LINESTRING (-70.7940126 19.4763814, -70.7940362 19.4764281, -70.7941057 19.4765162)",
31546791,,Calle 1,residential,False,False,45.869,"LINESTRING (-70.7976206 19.4756749, -70.7980579 19.4756887)",
127927394,,,residential,False,False,14.184,"LINESTRING (-70.7976206 19.4756749, -70.7976343 19.475548)",
31546791,,Calle 1,residential,False,True,134.011,"LINESTRING (-70.7976206 19.4756749, -70.7973106 19.4757286, -70.7966371 19.4758996, -70.7963795 19.4759608)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,23.51,"LINESTRING (-70.7976343 19.475548, -70.7978583 19.4755378)",
127927394,,,residential,False,True,14.184,"LINESTRING (-70.7976343 19.475548, -70.7976206 19.4756749)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,139.696,"LINESTRING (-70.7976343 19.475548, -70.7973191 19.4756034, -70.7963375 19.4758352)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,30.393,"LINESTRING (-70.7981474 19.4755583, -70.7978583 19.4755378)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,66.407,"LINESTRING (-70.7981474 19.4755583, -70.7987794 19.4755987)",
127927441,,,residential,False,True,17.271,"LINESTRING (-70.7981474 19.4755583, -70.7980579 19.4756887)",
121260183,,,residential,False,False,7.268,"LINESTRING (-70.7968374 19.4731594, -70.7967757 19.4731296)",
121260183,,,residential,False,True,23.239,"LINESTRING (-70.7968374 19.4731594, -70.7970349 19.4732543)",
389275795,,,residential,False,True,229.795,"LINESTRING (-70.7968374 19.4731594, -70.7963314 19.4748685, -70.7962753 19.4749272, -70.7961988 19.47495, -70.7960559 19.4749775)",
121260225,,,residential,False,False,62.525,"LINESTRING (-70.7960559 19.4749775, -70.7960124 19.4744167)",
"[121260225, 121260162]",,,residential,False,True,39.888000000000005,"LINESTRING (-70.7960559 19.4749775, -70.7960573 19.4751912, -70.7960595 19.4753362)",yes
389275795,,,residential,False,False,229.795,"LINESTRING (-70.7960559 19.4749775, -70.7961988 19.47495, -70.7962753 19.4749272, -70.7963314 19.4748685, -70.7968374 19.4731594)",
389275790,,,residential,False,True,133.882,"LINESTRING (-70.7955329 19.475442, -70.7943025 19.4757646)",
31288891,,Calle 5,residential,False,False,16.574,"LINESTRING (-70.7956674 19.4761437, -70.7956174 19.4760023)",
31288891,,Calle 5,residential,False,True,54.777,"LINESTRING (-70.7956674 19.4761437, -70.7958078 19.4766182)",
31546791,,Calle 1,residential,False,False,77.372,"LINESTRING (-70.7956674 19.4761437, -70.7963795 19.4759608)",
31546791,,Calle 1,residential,False,True,44.816,"LINESTRING (-70.7956674 19.4761437, -70.7954087 19.4761655, -70.7952477 19.47621)",
389275791,,,residential,False,True,66.883,"LINESTRING (-70.7978787 19.4764468, -70.7981518 19.4759032)",
127927518,,Calle 3,residential,False,False,25.935,"LINESTRING (-70.7961966 19.4772534, -70.795957 19.4773115)",
389275789,,,residential,False,True,41.774,"LINESTRING (-70.7961966 19.4772534, -70.7960551 19.4776046)",
"[31288890, 127927518]",,"['Calle 4', 'Calle 3']",residential,False,True,122.214,"LINESTRING (-70.7961966 19.4772534, -70.7965895 19.4771581, -70.7966465 19.4770954, -70.7966522 19.4770015, -70.7965064 19.4764793)",
127927518,,Calle 3,residential,False,False,79.08,"LINESTRING (-70.7954366 19.4774002, -70.7946984 19.4775466)",
127927518,,Calle 3,residential,False,True,55.439,"LINESTRING (-70.7954366 19.4774002, -70.795957 19.4773115)",
389275792,,,residential,False,True,64.631,"LINESTRING (-70.7954366 19.4774002, -70.7951428 19.4779112)",
389275789,,,residential,False,False,41.774,"LINESTRING (-70.7960551 19.4776046, -70.7961966 19.4772534)",
389275792,,,residential,False,False,64.631,"LINESTRING (-70.7951428 19.4779112, -70.7954366 19.4774002)",
389275793,,,residential,False,True,72.612,"LINESTRING (-70.7946132 19.4781912, -70.7946588 19.4780639, -70.7946984 19.4775466)",
121260183,,,residential,False,False,39.922,"LINESTRING (-70.7967757 19.4731296, -70.7964241 19.4729917)",
121260183,,,residential,False,True,7.268,"LINESTRING (-70.7967757 19.4731296, -70.7968374 19.4731594)",
121260183,,,residential,False,False,23.239,"LINESTRING (-70.7970349 19.4732543, -70.7968374 19.4731594)",
121260183,,,residential,False,True,48.679,"LINESTRING (-70.7970349 19.4732543, -70.7974486 19.4734531)",
121260183,,,residential,False,False,48.679,"LINESTRING (-70.7974486 19.4734531, -70.7970349 19.4732543)",
121260183,,,residential,False,True,48.465,"LINESTRING (-70.7974486 19.4734531, -70.7978605 19.473651)",
121260183,,,residential,False,False,48.465,"LINESTRING (-70.7978605 19.473651, -70.7974486 19.4734531)",
121260183,,,residential,False,True,6.802,"LINESTRING (-70.7978605 19.473651, -70.7979183 19.4736788)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,9.435,"LINESTRING (-70.7961265 19.4758869, -70.7960385 19.4759047)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,22.855,"LINESTRING (-70.7961265 19.4758869, -70.7963375 19.4758352)",
389281166,,,residential,True,False,61.799,"LINESTRING (-70.7961265 19.4758869, -70.7960883 19.4754359, -70.7960595 19.4753362)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,45.459,"LINESTRING (-70.7960385 19.4759047, -70.7956174 19.4760023)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,9.435,"LINESTRING (-70.7960385 19.4759047, -70.7961265 19.4758869)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,False,66.407,"LINESTRING (-70.7987794 19.4755987, -70.7981474 19.4755583)",
"[1036781833, 31546791]",,Calle 1,residential,False,"[False, True]",148.78,"LINESTRING (-70.7987794 19.4755987, -70.7987218 19.4762194, -70.7987127 19.4762624, -70.7986953 19.4762763, -70.7986745 19.4762788, -70.7986497 19.4762649, -70.7985172 19.4761034, -70.7981518 19.4759032)",
1190302123,,,residential,False,True,108.44,"LINESTRING (-70.7926744 19.4758259, -70.79249 19.4761941, -70.7924816 19.4762145, -70.7924746 19.4762384, -70.7924102 19.4765627, -70.7923921 19.4766736, -70.7923909 19.4766856, -70.7923908 19.476698, -70.7923999 19.4767521)",
119416916,RD-18,Carretera Cibao Noroeste,secondary,False,True,40.659,"LINESTRING (-70.7923999 19.4767521, -70.7927753 19.4766602)",
1190302123,,,residential,False,False,108.44,"LINESTRING (-70.7923999 19.4767521, -70.7923908 19.476698, -70.7923909 19.4766856, -70.7923921 19.4766736, -70.7924102 19.4765627, -70.7924746 19.4762384, -70.7924816 19.4762145, -70.79249 19.4761941, -70.7926744 19.4758259)",
