osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,lanes,maxspeed
233473452,residential,False,False,21.924,"LINESTRING (25.8447831 52.5167495, 25.8449332 52.5167207, 25.8450921 52.5166902)",,,,,
550874713,tertiary,False,False,53.542,"LINESTRING (25.8447831 52.5167495, 25.8450703 52.5168752, 25.8452106 52.5169625, 25.8453761 52.5170656)",Н698,вуліца Леніна,,,
550874713,tertiary,False,True,60.778,"LINESTRING (25.8447831 52.5167495, 25.8442552 52.5165347, 25.8440364 52.5164457)",Н698,вуліца Леніна,,,
550874713,tertiary,False,True,24.415,"LINESTRING (25.8455818 52.517246, 25.8453761 52.5170656)",Н698,вуліца Леніна,,,
233473443,residential,False,True,328.621,"LINESTRING (25.8455818 52.517246, 25.8453447 52.5173877, 25.8425714 52.5183579, 25.8416015 52.5186819, 25.8414933 52.5187067, 25.84139 52.518709)",,вуліца Верабʼёва,,,
233473460,residential,False,False,195.40800000000002,"LINESTRING (25.8455818 52.517246, 25.8457701 52.5171293, 25.8461526 52.516976, 25.8467709 52.5170124, 25.8482686 52.5167945)",,,,,
550874713,tertiary,False,False,118.263,"LINESTRING (25.8455818 52.517246, 25.8460311 52.5176127, 25.8465904 52.5181143)",Н698,вуліца Леніна,,,
233473441,residential,False,False,199.103,"LINESTRING (25.8473699 52.5194087, 25.8470977 52.5194687, 25.8459029 52.5198508, 25.8447377 52.5202062)",,Кааператыўная вуліца,,,
550874713,tertiary,False,False,215.936,"LINESTRING (25.8473699 52.5194087, 25.8473856 52.5194676, 25.8474198 52.5196259, 25.8474736 52.5198753, 25.8476074 52.5204952, 25.8476905 52.5206862, 25.8478077 52.5208696, 25.8481559 52.5212683)",Н698,вуліца Леніна,,,
550874713,tertiary,False,True,153.891,"LINESTRING (25.8473699 52.5194087, 25.8472247 52.5190609, 25.8471945 52.5190018, 25.8470557 52.5187303, 25.8470061 52.5186545, 25.846847 52.5184113, 25.8465904 52.5181143)",Н698,вуліца Леніна,,,
