osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,bridge,junction
25268288,True,Р57,primary,60,False,36.995,"LINESTRING (27.8845313 52.9476445, 27.884592 52.9478083, 27.8846517 52.9479692)",,,,
560662726,False,Р57,primary,,False,179.37,"LINESTRING (27.8845313 52.9476445, 27.8844283 52.9474138, 27.8840894 52.9467434, 27.8837378 52.9461042)",2,вуліца Куйбышава,,
560662726,False,Р57,primary,,True,86.953,"LINESTRING (27.8826172 52.9434919, 27.8826278 52.943702, 27.882648 52.9439121, 27.8826859 52.9440386, 27.8827758 52.944265)",2,вуліца Куйбышава,,
692789923,True,Р57,primary,60,False,32.896,"LINESTRING (27.8834916 52.9482745, 27.8837465 52.9481888, 27.8839204 52.9481304)",2,,,
1018794816,False,Р57,primary,40,True,55.897999999999996,"LINESTRING (27.8834916 52.9482745, 27.8831005 52.9483212, 27.882671 52.948365)",2,,,
156137097,False,,residential,,False,168.08499999999998,"LINESTRING (27.8827758 52.944265, 27.8829537 52.9442348, 27.8851902 52.9438548)",,Сацыялістычная вуліца,,
560662726,False,Р57,primary,,False,86.953,"LINESTRING (27.8827758 52.944265, 27.8826859 52.9440386, 27.882648 52.9439121, 27.8826278 52.943702, 27.8826172 52.9434919)",2,вуліца Куйбышава,,
560662726,False,Р57,primary,,True,214.43099999999998,"LINESTRING (27.8827758 52.944265, 27.8830039 52.9447188, 27.8832415 52.9451668, 27.8837378 52.9461042)",2,вуліца Куйбышава,,
560313856,False,Н8915,tertiary,60,False,78.621,"LINESTRING (27.8848824 52.9483813, 27.8851872 52.9484489, 27.8854896 52.9485454, 27.885689 52.9486417, 27.8858741 52.9487438)",2,,,
692789925,True,Н8915,tertiary,,False,18.430999999999997,"LINESTRING (27.8848824 52.9483813, 27.8847436 52.9483563, 27.8846188 52.9483339)",1,,,
156137094,False,,residential,,False,69.113,"LINESTRING (27.8858741 52.9487438, 27.8860394 52.948669, 27.8867841 52.9484553)",,Заводскі завулак,,
