osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,bridge
970451855,5,вуліца Янкі Купалы,secondary,60,False,True,11.956,"LINESTRING (27.5664899 53.9042112, 27.566379 53.9042966)",,,
"[1021937922, 485208243]",4,вуліца Янкі Купалы,secondary,50,False,False,173.04,"LINESTRING (27.5664899 53.9042112, 27.5666321 53.9040996, 27.5675807 53.903464, 27.5676261 53.9034308, 27.567832 53.9032801, 27.567972 53.9031784, 27.5681466 53.9030031)",,,
970451855,5,вуліца Янкі Купалы,secondary,60,False,False,11.956,"LINESTRING (27.566379 53.9042966, 27.5664899 53.9042112)",,,
"[33337315, 691600811, 1149737479]",4,праспект Незалежнасці,primary,60,True,False,469.343,"LINESTRING (27.566379 53.9042966, 27.5662105 53.9042058, 27.5654953 53.9038506, 27.5647598 53.9034854, 27.5646849 53.9034461, 27.5632361 53.9027297, 27.5629109 53.9025684, 27.5628005 53.9025136, 27.5616188 53.9019276, 27.5609072 53.9015722)",М2,,
"[1050730776, 387474467, 29396462]",5,вуліца Янкі Купалы,secondary,60,False,True,254.73199999999997,"LINESTRING (27.566379 53.9042966, 27.5662509 53.9044004, 27.5656633 53.9048363, 27.5653578 53.9050759, 27.5649828 53.9053655, 27.5646042 53.9056584, 27.5641115 53.9060344, 27.5641034 53.9060405, 27.5640087 53.9061125)",Р58,,
25228907,2,вуліца Карла Маркса,unclassified,,False,False,216.98899999999998,"LINESTRING (27.5681466 53.9030031, 27.5679782 53.9029233, 27.5672085 53.9025505, 27.5671574 53.9025257, 27.5670185 53.9024581, 27.5663717 53.9021345, 27.5656057 53.9017514)",,,
"[1021937922, 485208243]",4,вуліца Янкі Купалы,secondary,50,False,True,173.04,"LINESTRING (27.5681466 53.9030031, 27.567972 53.9031784, 27.567832 53.9032801, 27.5676261 53.9034308, 27.5675807 53.903464, 27.5666321 53.9040996, 27.5664899 53.9042112)",,,
37700609,,вуліца Кірава,residential,,False,True,196.85100000000003,"LINESTRING (27.5666164 53.9002114, 27.5665146 53.9001634, 27.5664632 53.9001393, 27.5658582 53.8998551, 27.56506 53.89948, 27.5649903 53.8994469, 27.5644081 53.8991805, 27.5642635 53.8991105)",,,
"[1050730776, 387474467, 29396462]",5,вуліца Янкі Купалы,secondary,60,False,False,254.73200000000003,"LINESTRING (27.5640087 53.9061125, 27.5641034 53.9060405, 27.5641115 53.9060344, 27.5646042 53.9056584, 27.5649828 53.9053655, 27.5653578 53.9050759, 27.5656633 53.9048363, 27.5662509 53.9044004, 27.566379 53.9042966)",Р58,,
25228895,,вуліца Кірылы і Мяфодзія,residential,,False,False,31.633000000000003,"LINESTRING (27.5571565 53.9060504, 27.5571637 53.9061759, 27.5571737 53.9063347)",,,
25228895,,вуліца Кірылы і Мяфодзія,residential,,False,True,168.29500000000002,"LINESTRING (27.5571565 53.9060504, 27.5571442 53.9060121, 27.5571287 53.9059604, 27.556941 53.9055557, 27.5568562 53.905373, 27.5567801 53.9052274, 27.556565 53.9048114, 27.556557 53.9047904, 27.5565401 53.9047565, 27.5564674 53.904593)",,,
303592930,,Зыбіцкая вуліца,residential,,False,False,62.416000000000004,"LINESTRING (27.5571565 53.9060504, 27.5579604 53.9060258, 27.558108 53.9060208)",,,
303592930,,Зыбіцкая вуліца,residential,,False,True,70.413,"LINESTRING (27.5571565 53.9060504, 27.5567714 53.9060592, 27.5560824 53.9060749)",,,
38664567,1,Інтэрнацыянальная вуліца,secondary,,True,False,194.60199999999998,"LINESTRING (27.5616683 53.9050348, 27.5617713 53.9050808, 27.5618573 53.9051165, 27.5627203 53.9055207, 27.5629273 53.9056158, 27.5629692 53.905635, 27.5637799 53.9060079, 27.5637961 53.9060153, 27.5640087 53.9061125)",,,
303592930,,Зыбіцкая вуліца,residential,,False,True,239.041,"LINESTRING (27.5616683 53.9050348, 27.5615608 53.9050665, 27.5615267 53.9050765, 27.5607107 53.9053213, 27.5604457 53.9054029, 27.5601886 53.905484, 27.5583862 53.9059731)",,,
25228897,,вуліца Герцэна,residential,,True,False,35.538,"LINESTRING (27.558108 53.9060208, 27.5581048 53.9059924, 27.5580993 53.9059438, 27.5580532 53.9057029)",,,
303592930,,Зыбіцкая вуліца,residential,,False,False,19.049,"LINESTRING (27.558108 53.9060208, 27.5581848 53.906012, 27.5582416 53.9060055, 27.5583862 53.9059731)",,,
303592930,,Зыбіцкая вуліца,residential,,False,True,62.416000000000004,"LINESTRING (27.558108 53.9060208, 27.5579604 53.9060258, 27.5571565 53.9060504)",,,
