osmid,oneway,name,highway,reversed,length,junction,geometry,lanes,maxspeed,bridge
401449780,True,вуліца 17 Верасня,tertiary,False,38.8,,"LINESTRING (26.8338061 55.1141006, 26.8332566 55.1142522)",,,
848123024,True,Ціхая вуліца,residential,False,21.707,,"LINESTRING (26.8338061 55.1141006, 26.8334654 55.1140888)",,,
25276262,True,Камсамольская плошча,tertiary,False,20.778,roundabout,"LINESTRING (26.8338061 55.1141006, 26.8336466 55.1140547, 26.8335773 55.1139798)",,,
691907245,True,плошча Леніна,secondary,False,109.122,,"LINESTRING (26.8388506 55.1139995, 26.8388781 55.1139492, 26.8390646 55.1136116, 26.8393201 55.1131523, 26.8393695 55.1130641)",2,60,
30419465,False,Набярэжная вуліца,residential,True,84.15299999999999,,"LINESTRING (26.8440845 55.1132558, 26.8440737 55.1133173, 26.8439882 55.1136981, 26.8439389 55.1138962, 26.8439133 55.1140062)",2,60,
"[102794880, 133125031, 102794871]",False,Чырвонаармейская вуліца,secondary,False,224.75400000000002,,"LINESTRING (26.8440845 55.1132558, 26.8439541 55.1132469, 26.8437388 55.1132322, 26.8426288 55.1131153, 26.8424103 55.1130901, 26.8416507 55.1130069, 26.8406304 55.1128952, 26.8406088 55.1128928)",2,40,yes
1087837339,False,вуліца Гагарына,tertiary,False,213.63,,"LINESTRING (26.8440845 55.1132558, 26.8441183 55.1131613, 26.8443768 55.1123054, 26.8445059 55.1117413, 26.8446027 55.111358)",2,,
25895286,True,Ленінская вуліца,secondary,False,31.115,,"LINESTRING (26.8398966 55.1141654, 26.8398337 55.1144429)",,60,
691907244,True,плошча Леніна,secondary_link,False,28.200000000000003,,"LINESTRING (26.8398966 55.1141654, 26.8398393 55.1142246, 26.8397993 55.1142566, 26.8397532 55.1142815, 26.8396748 55.114312, 26.839579 55.1143241)",2,60,
25276262,True,Камсамольская плошча,tertiary,False,16.704,roundabout,"LINESTRING (26.8343042 55.113993, 26.8342657 55.1140538, 26.834139 55.1140993)",,,
49073620,False,вуліца 17 Верасня,tertiary,False,71.21,,"LINESTRING (26.8343042 55.113993, 26.8345132 55.1139935, 26.8354157 55.1140632)",2,,
207970488,True,плошча Леніна,secondary,False,6.398,,"LINESTRING (26.8399085 55.112868, 26.8400078 55.1128772)",2,,
133125032,True,Чырвонаармейская вуліца,secondary_link,False,38.301,,"LINESTRING (26.8400078 55.1128772, 26.8402304 55.1128904, 26.8403913 55.112892, 26.8406088 55.1128928)",,,
207970489,True,плошча Леніна,secondary_link,False,31.61,,"LINESTRING (26.8400078 55.1128772, 26.8401097 55.1128996, 26.8401777 55.1129237, 26.8402348 55.1129579, 26.8402734 55.1129921, 26.8403463 55.1130697)",2,,
25895289,True,Чырвонаармейская вуліца,secondary_link,False,28.307,,"LINESTRING (26.8406088 55.1128928, 26.8405303 55.1129052, 26.840466 55.1129236, 26.8404124 55.1129516, 26.8403862 55.112975, 26.8403694 55.1130042, 26.8403463 55.1130697)",,,
