osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,junction
195272884,True,1,tertiary_link,False,66.92,"LINESTRING (56.3317534 25.1248727, 56.3317551 25.1249701, 56.3317832 25.1250429, 56.3318275 25.1251054, 56.3318818 25.1251601, 56.3319291 25.1251845, 56.3319441 25.1251922, 56.3321699 25.1252574)",,,,
584176699,True,3,tertiary,False,35.979,"LINESTRING (56.3317534 25.1248727, 56.3316734 25.1249701, 56.3316648 25.1249836, 56.3316332 25.1250332, 56.3315637 25.1251462)",F40,طريق اﻹتحاد,60,
195259746,True,2,secondary,False,58.53,"LINESTRING (56.3351468 25.1288938, 56.3348925 25.1286693, 56.3347342 25.128523)",F10,طريق السلام,60,
664474906,False,2,tertiary,False,48.388000000000005,"LINESTRING (56.3377584 25.1219036, 56.337754 25.1216293, 56.3377577 25.1214685)",,شارع تونس,40,
986520144,True,,trunk_link,False,49.91,"LINESTRING (56.3377584 25.1219036, 56.3379925 25.1219296, 56.3382493 25.1219658)",,,,
195201046,True,,tertiary_link,False,23.819000000000003,"LINESTRING (56.338414 25.124739, 56.338466 25.1247288, 56.3385129 25.1247272, 56.3385341 25.1247384, 56.338548 25.124756, 56.3385499 25.1247913, 56.3385439 25.1248353)",,,,
502758831,True,2,tertiary,False,90.113,"LINESTRING (56.338414 25.124739, 56.3385474 25.1246125, 56.3385759 25.1245855, 56.3387149 25.1244538, 56.3390383 25.1241583)",,شارع فهيم,60,
195201035,True,2,tertiary,False,62.106,"LINESTRING (56.3379014 25.1254236, 56.3374781 25.1258299)",,شارع فهيم,60,
502758829,True,2,tertiary,False,84.532,"LINESTRING (56.3384924 25.1248836, 56.3384008 25.1249693, 56.3379014 25.1254236)",,شارع فهيم,60,
503458421,True,2,tertiary,False,88.1,"LINESTRING (56.3384924 25.1248836, 56.3384219 25.1249721, 56.3383573 25.1251, 56.3383493 25.1251595, 56.33836 25.125219, 56.3383828 25.1252566, 56.3384512 25.1253076, 56.3385411 25.1253453, 56.3387613 25.1254097)",,طريق المنتزه,60,
502758829,True,2,tertiary,False,7.465,"LINESTRING (56.3385439 25.1248353, 56.3384924 25.1248836)",,شارع فهيم,60,
