osmid,oneway,ref,highway,reversed,length,geometry,bridge,name
533446976,False,N2,trunk,False,62.158,"LINESTRING (28.3018045 -32.1009614, 28.302349 -32.1006456)",,
95998144,False,,residential,True,308.402,"LINESTRING (28.3018045 -32.1009614, 28.3017209 -32.1008487, 28.3000624 -32.0986131)",,
107024801,False,,residential,True,254.33100000000002,"LINESTRING (28.3018045 -32.1009614, 28.3021739 -32.1014539, 28.3038938 -32.1005707)",,
809089229,False,R408,secondary,True,76.397,"LINESTRING (28.3053108 -32.0989151, 28.3059164 -32.0993721)",,
193701735,False,R408,secondary,True,123.39699999999999,"LINESTRING (28.3053108 -32.0989151, 28.3049543 -32.0986676, 28.3043467 -32.0981652)",,
533446976,False,N2,trunk,False,130.081,"LINESTRING (28.3053108 -32.0989151, 28.3059726 -32.0982302, 28.3061752 -32.098003)",,
533446976,False,N2,trunk,True,136.082,"LINESTRING (28.3053108 -32.0989151, 28.3051667 -32.0990357, 28.3050151 -32.0991221, 28.304138 -32.0996254)",,
95998137,False,,residential,False,74.346,"LINESTRING (28.3084872 -32.0944913, 28.3083022 -32.0945867, 28.3081359 -32.0947048, 28.3078756 -32.0949101)",,
1216008088,False,N2,trunk,True,240.991,"LINESTRING (28.3084872 -32.0944913, 28.3086254 -32.0948991, 28.3086844 -32.0950877, 28.3087045 -32.0952956, 28.3086911 -32.0954695, 28.3086415 -32.0956092, 28.308502 -32.0958069, 28.3083767 -32.0959222, 28.3082995 -32.0959932, 28.30787 -32.0963862)",,
"[227976336, 227976329, 1216008090]",False,N2,trunk,False,166.576,"LINESTRING (28.3084872 -32.0944913, 28.3084108 -32.0940243, 28.3083948 -32.0937496, 28.3083636 -32.0929985)",yes,
510131381,False,,tertiary,True,130.804,"LINESTRING (28.3080997 -32.1011148, 28.3090642 -32.1002685)",,
809089229,False,R408,secondary,False,282.592,"LINESTRING (28.3080997 -32.1011148, 28.3076288 -32.1007263, 28.3074345 -32.100566, 28.3071533 -32.1003437, 28.3070807 -32.1002851, 28.30643 -32.099781, 28.3059164 -32.0993721)",,
95998153,False,R408,secondary,True,8.335,"LINESTRING (28.3000624 -32.0986131, 28.2999741 -32.098618)",,
95998144,False,,residential,False,308.402,"LINESTRING (28.3000624 -32.0986131, 28.3017209 -32.1008487, 28.3018045 -32.1009614)",,
95998153,False,R408,secondary,False,90.253,"LINESTRING (28.3000624 -32.0986131, 28.3004835 -32.0985836, 28.3010186 -32.0985642)",,
95998125,False,,residential,True,166.605,"LINESTRING (28.3043467 -32.0981652, 28.3030611 -32.0971362)",,
95998137,False,,residential,True,130.979,"LINESTRING (28.3043467 -32.0981652, 28.30529 -32.0972998)",,
95998153,False,R408,secondary,True,107.83,"LINESTRING (28.3043467 -32.0981652, 28.3040576 -32.098387, 28.3039141 -32.0984518, 28.3037223 -32.0984734, 28.303324 -32.0984859)",,
193701735,False,R408,secondary,False,123.39699999999999,"LINESTRING (28.3043467 -32.0981652, 28.3049543 -32.0986676, 28.3053108 -32.0989151)",,
95998153,False,R408,secondary,False,92.265,"LINESTRING (28.301838 -32.0985211, 28.302817 -32.0984949)",,
95998153,False,R408,secondary,True,77.334,"LINESTRING (28.301838 -32.0985211, 28.3010186 -32.0985642)",,
107024808,False,,residential,False,244.347,"LINESTRING (28.301838 -32.0985211, 28.3018729 -32.0993107, 28.3019158 -32.0996788, 28.3019748 -32.0998969, 28.3020607 -32.1000968, 28.3021894 -32.1003627, 28.302349 -32.1006456)",,
95998137,False,,residential,False,119.21,"LINESTRING (28.3078756 -32.0949101, 28.3070201 -32.0957001)",,
107024831,False,,residential,True,164.874,"LINESTRING (28.3078756 -32.0949101, 28.3065815 -32.0939118)",,
95998137,False,,residential,True,74.346,"LINESTRING (28.3078756 -32.0949101, 28.3081359 -32.0947048, 28.3083022 -32.0945867, 28.3084872 -32.0944913)",,
