osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,lanes
31613699,Vista Close,residential,60,False,False,38.947,,"LINESTRING (18.7024839 -34.0008032, 18.702893 -34.0007157)",
"[31613352, 31613699]",Vista Close,residential,60,False,False,287.842,4.1,"LINESTRING (18.7024839 -34.0008032, 18.7027454 -34.0016581, 18.7027449 -34.001676, 18.7027405 -34.00169, 18.7027326 -34.0017029, 18.7027147 -34.0017193, 18.7026915 -34.0017302, 18.7022892 -34.0018179, 18.7022661 -34.0018223, 18.7022425 -34.0018206, 18.7022207 -34.001813, 18.7022025 -34.0018, 18.7021902 -34.0017829, 18.7021469 -34.001624, 18.7021371 -34.00157, 18.702132 -34.0015163, 18.702126 -34.0013298, 18.7021302 -34.0012018, 18.7021389 -34.0010779, 18.7021539 -34.0009518, 18.7021596 -34.0009258, 18.7021727 -34.0009017, 18.7021924 -34.0008809, 18.702219 -34.000864, 18.7022498 -34.0008533, 18.7024839 -34.0008032)",
"[31613352, 31613699]",Vista Close,residential,60,False,True,287.84200000000004,4.1,"LINESTRING (18.7024839 -34.0008032, 18.7022498 -34.0008533, 18.702219 -34.000864, 18.7021924 -34.0008809, 18.7021727 -34.0009017, 18.7021596 -34.0009258, 18.7021539 -34.0009518, 18.7021389 -34.0010779, 18.7021302 -34.0012018, 18.702126 -34.0013298, 18.702132 -34.0015163, 18.7021371 -34.00157, 18.7021469 -34.001624, 18.7021902 -34.0017829, 18.7022025 -34.0018, 18.7022207 -34.001813, 18.7022425 -34.0018206, 18.7022661 -34.0018223, 18.7022892 -34.0018179, 18.7026915 -34.0017302, 18.7027147 -34.0017193, 18.7027326 -34.0017029, 18.7027405 -34.00169, 18.7027449 -34.001676, 18.7027454 -34.0016581, 18.7024839 -34.0008032)",
31613073,Valerie Close,residential,60,False,True,27.511,,"LINESTRING (18.6997371 -34.0006573, 18.6994606 -34.0005642)",
31613465,Valerie Close,residential,60,False,True,10.723,,"LINESTRING (18.6997371 -34.0006573, 18.699689 -34.0007451)",
31613465,Valerie Close,residential,60,False,False,189.405,,"LINESTRING (18.6997371 -34.0006573, 18.7000439 -33.9999797, 18.6994174 -33.9997595, 18.6993903 -33.9997573, 18.6993687 -33.9997615, 18.6993487 -33.9997698, 18.6993346 -33.9997827, 18.6991878 -34.0000986)",
31612997,Vernon Road,residential,60,False,False,42.422,5.1,"LINESTRING (18.7027752 -34.0003469, 18.702893 -34.0007157)",2
31613292,Viking Road,residential,60,False,True,27.63,,"LINESTRING (18.7027752 -34.0003469, 18.7024844 -34.0004071)",
"[31613292, 31613149]","['Virtue Close', 'Viking Road']",residential,60,False,"[False, True]",448.04600000000005,5.7,"LINESTRING (18.7027752 -34.0003469, 18.7039222 -34.0001023, 18.7039352 -34.0000995, 18.7039835 -34.0000892, 18.7044157 -33.9999927, 18.7044509 -33.9999709, 18.7044644 -33.9999499, 18.7044746 -33.999917, 18.704467 -33.9998685, 18.7043811 -33.9995788, 18.7043414 -33.9995405, 18.7042655 -33.9995382, 18.702457 -33.9999272, 18.7024219 -33.9999407, 18.7023929 -33.9999685, 18.7023776 -34.0000105, 18.7023813 -34.0000717, 18.7024844 -34.0004071)",
31613501,Velvet Crescent,residential,60,False,False,22.589,4.1,"LINESTRING (18.699506 -33.9983542, 18.6997362 -33.9984238)",
