osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry
617230614,True,2,R42,Barrage Road,primary,80,False,48.224,,"LINESTRING (27.8358418 -26.7063886, 27.835359 -26.7063431)"
792858182,True,3,,Frikkie Meyer Boulevard,secondary,60,False,19.618,yes,"LINESTRING (27.8358418 -26.7063886, 27.8358297 -26.7062125)"
89581746,False,2,,Leyds Street,residential,,False,40.913,,"LINESTRING (27.8367242 -26.7090003, 27.8363125 -26.7090113)"
89581746,False,2,,Leyds Street,residential,,True,88.363,,"LINESTRING (27.8367242 -26.7090003, 27.837612 -26.70895)"
89581735,False,2,,Fitzpatrick Street,residential,,False,265.45300000000003,,"LINESTRING (27.8367242 -26.7090003, 27.8367564 -26.7094723, 27.8368637 -26.7113843)"
"[89581736, 89581735]",False,2,,"['Fitzpatrick Street', 'President Boshoff Street']",residential,,True,220.53500000000003,,"LINESTRING (27.8367242 -26.7090003, 27.8367014 -26.7083594, 27.8367041 -26.7083114, 27.8367189 -26.7082767, 27.836747 -26.7082444, 27.8367846 -26.7082108, 27.8368221 -26.7081916, 27.8368664 -26.7081809, 27.8369254 -26.7081785, 27.8371735 -26.7081725, 27.8380841 -26.7081329)"
89581737,False,2,,Jan Brand Street,residential,,False,87.573,,"LINESTRING (27.8406925 -26.7104295, 27.8398114 -26.7104571)"
298786654,False,2,,Adam Tas Street,residential,,False,88.053,,"LINESTRING (27.8406925 -26.7104295, 27.8407408 -26.7112202)"
298786654,False,2,,Adam Tas Street,residential,,True,137.969,,"LINESTRING (27.8406925 -26.7104295, 27.8406402 -26.7091896)"
89581735,False,2,,Fitzpatrick Street,residential,,True,265.45300000000003,,"LINESTRING (27.8368637 -26.7113843, 27.8367564 -26.7094723, 27.8367242 -26.7090003)"
89581749,False,2,,Meurant Street,residential,,False,308.83799999999997,,"LINESTRING (27.8368637 -26.7113843, 27.8380224 -26.711334, 27.8394131 -26.7112669, 27.8399689 -26.7112428)"
89581749,False,2,,Meurant Street,residential,,True,76.713,,"LINESTRING (27.8407408 -26.7112202, 27.8399689 -26.7112428)"
298786654,False,2,,Adam Tas Street,residential,,True,88.053,,"LINESTRING (27.8407408 -26.7112202, 27.8406925 -26.7104295)"
298786654,False,2,,Adam Tas Street,residential,,False,89.682,,"LINESTRING (27.8406939 -26.7083845, 27.8406402 -26.7091896)"
298786654,False,2,,Adam Tas Street,residential,,True,87.885,,"LINESTRING (27.8406939 -26.7083845, 27.8407878 -26.7075986)"
89581736,False,2,,President Boshoff Street,residential,,False,260.767,,"LINESTRING (27.8406939 -26.7083845, 27.8399053 -26.7083078, 27.8383926 -26.7081521, 27.8380841 -26.7081329)"
"[89581736, 89581735]",False,2,,"['Fitzpatrick Street', 'President Boshoff Street']",residential,,False,220.53500000000003,,"LINESTRING (27.8380841 -26.7081329, 27.8371735 -26.7081725, 27.8369254 -26.7081785, 27.8368664 -26.7081809, 27.8368221 -26.7081916, 27.8367846 -26.7082108, 27.836747 -26.7082444, 27.8367189 -26.7082767, 27.8367041 -26.7083114, 27.8367014 -26.7083594, 27.8367242 -26.7090003)"
89581736,False,2,,President Boshoff Street,residential,,True,260.767,,"LINESTRING (27.8380841 -26.7081329, 27.8383926 -26.7081521, 27.8399053 -26.7083078, 27.8406939 -26.7083845)"
"[89581753, 89581750]",False,2,,"['Salt Street', 'Fitzpatrick Street']",residential,,False,344.001,,"LINESTRING (27.8380841 -26.7081329, 27.8381458 -26.7075219, 27.8381646 -26.7074501, 27.838182 -26.7074129, 27.8382088 -26.7073866, 27.8382343 -26.7073686, 27.8382625 -26.7073566, 27.8383014 -26.7073446, 27.8383563 -26.7073398, 27.8384422 -26.7073458, 27.8392415 -26.7074333, 27.840482 -26.7075603, 27.8407878 -26.7075986)"
89581737,False,2,,Jan Brand Street,residential,,True,83.428,,"LINESTRING (27.837612 -26.70895, 27.8376389 -26.7096999)"
89581746,False,2,,Leyds Street,residential,,False,88.363,,"LINESTRING (27.837612 -26.70895, 27.8367242 -26.7090003)"
89581746,False,2,,Leyds Street,residential,,True,302.452,,"LINESTRING (27.837612 -26.70895, 27.8380841 -26.7089356, 27.8382182 -26.7089404, 27.8383711 -26.7089476, 27.8391167 -26.7090267, 27.8406402 -26.7091896)"
298786654,False,2,,Adam Tas Street,residential,,False,137.969,,"LINESTRING (27.8406402 -26.7091896, 27.8406925 -26.7104295)"
298786654,False,2,,Adam Tas Street,residential,,True,89.682,,"LINESTRING (27.8406402 -26.7091896, 27.8406939 -26.7083845)"
89581746,False,2,,Leyds Street,residential,,False,302.452,,"LINESTRING (27.8406402 -26.7091896, 27.8391167 -26.7090267, 27.8383711 -26.7089476, 27.8382182 -26.7089404, 27.8380841 -26.7089356, 27.837612 -26.70895)"
89581749,False,2,,Meurant Street,residential,,False,76.713,,"LINESTRING (27.8399689 -26.7112428, 27.8407408 -26.7112202)"
89581749,False,2,,Meurant Street,residential,,True,308.83799999999997,,"LINESTRING (27.8399689 -26.7112428, 27.8394131 -26.7112669, 27.8380224 -26.711334, 27.8368637 -26.7113843)"
89581746,False,2,,Leyds Street,residential,,True,15.804,,"LINESTRING (27.8359383 -26.7090314, 27.8360966 -26.7090171)"
"[148016921, 616808707]",True,"['2', '3']",,Frikkie Meyer Boulevard,secondary,60,False,241.909,yes,"LINESTRING (27.8359383 -26.7090314, 27.8359088 -26.7083953, 27.8358793 -26.7076921, 27.8358793 -26.707595, 27.8358659 -26.706857)"
89585175,False,2,,Conradie Street,residential,,True,30.919,,"LINESTRING (27.8353107 -26.7102941, 27.8356218 -26.7102846)"
156002035,False,2,,Jannie De Waal Street,residential,,False,83.638,,"LINESTRING (27.8353107 -26.7102941, 27.8353536 -26.7110453)"
156002035,False,2,,Jannie De Waal Street,residential,,True,90.196,,"LINESTRING (27.8353107 -26.7102941, 27.8352584 -26.7094843)"
89585175,False,2,,Conradie Street,residential,,False,251.04200000000003,,"LINESTRING (27.8353107 -26.7102941, 27.8347957 -26.7103181, 27.8343827 -26.7103684, 27.8340179 -26.7104595, 27.8337577 -26.7105505, 27.8335217 -26.7106559, 27.8332615 -26.7108021, 27.8329718 -26.711001)"
