osmid,highway,oneway,reversed,length,ref,geometry,junction,name
22761296,unclassified,False,True,32.375,,"LINESTRING (31.1284066 -25.0428969, 31.1280903 -25.0429484)",,
159418779,secondary,False,False,42.419,R536,"LINESTRING (31.1284066 -25.0428969, 31.1288179 -25.0428152)",,
1215369440,primary,False,True,38.791,R40,"LINESTRING (31.1284066 -25.0428969, 31.1284719 -25.0432407)",,
159418774,primary,False,False,44.782,R40;R536,"LINESTRING (31.1284066 -25.0428969, 31.1283494 -25.0425936, 31.1283347 -25.0424995)",,
204553471,secondary,True,False,33.647,R536,"LINESTRING (31.1318486 -25.0422547, 31.1315453 -25.0423814)",,
159418779,secondary,False,False,25.717,R536,"LINESTRING (31.1288179 -25.0428152, 31.1290674 -25.0427663)",,
159418779,secondary,False,True,42.419,R536,"LINESTRING (31.1288179 -25.0428152, 31.1284066 -25.0428969)",,
555311744,primary_link,True,False,61.068000000000005,,"LINESTRING (31.1288179 -25.0428152, 31.1286582 -25.0429189, 31.128591 -25.042975, 31.1285485 -25.0430359, 31.1285202 -25.0431017, 31.1284719 -25.0432407)",,
188015538,unclassified,False,False,21.886,,"LINESTRING (31.1290459 -25.0461045, 31.1288374 -25.0461598)",,
188015538,unclassified,False,True,27.221,,"LINESTRING (31.1290459 -25.0461045, 31.1293021 -25.0460267)",,
967720779,primary,False,False,21.32,R40,"LINESTRING (31.1290459 -25.0461045, 31.1290137 -25.045915)",,
967720779,primary,False,True,31.899,R40,"LINESTRING (31.1290459 -25.0461045, 31.1290929 -25.0463882)",,
188015538,unclassified,False,True,9.322,,"LINESTRING (31.1286865 -25.0462066, 31.1287744 -25.0461804)",,
95024902,unclassified,False,True,359.841,,"LINESTRING (31.1286865 -25.0462066, 31.1286946 -25.0458858, 31.1286892 -25.0456902, 31.1286785 -25.0455978, 31.128661 -25.0455164, 31.1286128 -25.0453145, 31.1285846 -25.0452054, 31.1285524 -25.0450438, 31.1284786 -25.0447255, 31.1284558 -25.0446653, 31.128429 -25.0446082, 31.1284031 -25.0445631, 31.1283781 -25.0445323, 31.1282909 -25.0444375, 31.1280026 -25.044169, 31.1276886 -25.0439048, 31.1271754 -25.0434728)",,
