osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,ref,junction,bridge
32351353,Dikiza Road,residential,60,4.6,False,False,40.682,,"LINESTRING (18.669731 -34.0437566, 18.6698608 -34.0441063)",,,
32351370,Khanya Road,residential,60,4.6,False,False,90.515,2,"LINESTRING (18.669731 -34.0437566, 18.6706702 -34.0435179)",,,
"[32351388, 712388885]","['Dikiza Road', 'Mapolo Road']",residential,60,4.6,False,True,125.588,2,"LINESTRING (18.669731 -34.0437566, 18.6696309 -34.0434836, 18.6696469 -34.0434318, 18.6696753 -34.0434116, 18.6705508 -34.0431863)",,,
32351494,Sagoloda Street,residential,60,4.6,False,True,50.428,,"LINESTRING (18.6643925 -34.0444453, 18.6638922 -34.0442614)",,,
32351378,Golomi Street,residential,60,4.6,False,False,196.501,2,"LINESTRING (18.6643925 -34.0444453, 18.6644302 -34.0443395, 18.6644648 -34.0442945, 18.6646153 -34.0441946, 18.6646545 -34.0441804, 18.6646837 -34.0441724, 18.6647131 -34.044169, 18.6650354 -34.0442645, 18.6656523 -34.044478, 18.6658022 -34.0445731, 18.6658403 -34.0445755, 18.6662086 -34.0444435)",,,
32351494,Sagoloda Street,residential,60,4.6,False,False,137.388,,"LINESTRING (18.6643925 -34.0444453, 18.6645533 -34.0445043, 18.6654101 -34.0447921, 18.6654683 -34.0448362, 18.6655032 -34.0448679, 18.6655341 -34.0449095, 18.6656161 -34.0450617)",,,
32351358,Ntengu Street,residential,60,4.1,False,False,181.584,2,"LINESTRING (18.666769 -34.0420335, 18.6668706 -34.0422659, 18.6668893 -34.0422897, 18.6669188 -34.0423013, 18.6669569 -34.042306, 18.6671171 -34.0422981, 18.6678812 -34.0423858, 18.6683778 -34.0427139)",,,
32351539,Sicukujeje Crescent,residential,60,4.6,False,False,115.287,,"LINESTRING (18.666769 -34.0420335, 18.6664861 -34.0420924, 18.6664461 -34.0421085, 18.6664217 -34.0421283, 18.6664025 -34.0421591, 18.666396 -34.0421947, 18.6663973 -34.0422263, 18.6666517 -34.0428175)",,,
32351539,Sicukujeje Crescent,residential,60,4.6,False,True,115.41,,"LINESTRING (18.666769 -34.0420335, 18.6672675 -34.0419424, 18.6680057 -34.0420052)",,,
32351380,Bambi Road,residential,60,4.6,False,False,40.044,2,"LINESTRING (18.6707957 -34.0438676, 18.6709195 -34.0442128)",,,
32351380,Bambi Road,residential,60,4.6,False,True,40.568,2,"LINESTRING (18.6707957 -34.0438676, 18.6706702 -34.0435179)",,,
32351447,Manyano Road,residential,60,4.6,False,True,90.136,2,"LINESTRING (18.6707957 -34.0438676, 18.6698608 -34.0441063)",,,
32351436,Nkulumo Road,residential,60,4.6,False,False,42.267,2,"LINESTRING (18.6704156 -34.0428253, 18.670855 -34.0427161)",,,
32351465,Fato Road,residential,60,4.6,False,True,38.416,,"LINESTRING (18.6704156 -34.0428253, 18.6702986 -34.0424937)",,,
"[987308144, 32351436]","['Nkulumo Road', 'Lindelwa Street']",residential,60,4.6,False,True,127.351,2,"LINESTRING (18.6704156 -34.0428253, 18.669574 -34.0430487, 18.669538 -34.0430531, 18.6694975 -34.0430478, 18.6694642 -34.0430287, 18.6694457 -34.0430021, 18.6693473 -34.0427294)",,,
32351455,Hobohobo Street,residential,60,4.6,False,True,220.11499999999998,,"LINESTRING (18.6621264 -34.044696, 18.6623293 -34.0446247, 18.6623799 -34.0446194, 18.6624334 -34.0446241, 18.6624797 -34.0446356, 18.6638471 -34.0450952, 18.6639332 -34.0451056, 18.6639943 -34.045055, 18.6641253 -34.0447714)",,,
32351515,Mfula Close,residential,60,4.9,False,False,33.82,2,"LINESTRING (18.667899 -34.0443692, 18.6682553 -34.0444423)",,,
32287446,Walter Sisulu Road,tertiary,60,,False,False,279.507,4,"LINESTRING (18.671986 -34.0413323, 18.6720124 -34.0414131, 18.6723799 -34.0425221, 18.6726549 -34.0433522, 18.672792 -34.0437556)",M45,,
"[744446084, 744446085, 32287446]",Walter Sisulu Road,tertiary,60,,False,True,117.105,"['4', '3']","LINESTRING (18.671986 -34.0413323, 18.6719634 -34.0412599, 18.6718662 -34.0409698, 18.6718208 -34.0408342, 18.6717516 -34.0406201, 18.6716568 -34.0403406, 18.6716498 -34.0403167)",M45,,
32351384,Mavu Road,residential,60,5.8,False,True,112.531,,"LINESTRING (18.671986 -34.0413323, 18.6718856 -34.0413553, 18.6716713 -34.0414044, 18.6708098 -34.0416048)",,,
382532849,Inxanxadi Street,residential,60,6,False,False,52.229,2,"LINESTRING (18.671986 -34.0413323, 18.6720857 -34.0413078, 18.6725329 -34.0412089)",,,
32351380,Bambi Road,residential,60,4.6,False,True,40.044,2,"LINESTRING (18.6709195 -34.0442128, 18.6707957 -34.0438676)",,,
32351491,Tokozi Road,residential,60,4.6,False,False,40.573,,"LINESTRING (18.6709195 -34.0442128, 18.6713413 -34.044108)",,,
"[32351491, 712388884]","['Dikiza Road', 'Tokozi Road']",residential,60,4.6,False,True,125.98500000000001,,"LINESTRING (18.6709195 -34.0442128, 18.6700397 -34.0444268, 18.6699927 -34.04442, 18.6699665 -34.0443883, 18.6698608 -34.0441063)",,,
32351384,Mavu Road,residential,60,5.8,False,False,20.249,,"LINESTRING (18.6714073 -34.0442817, 18.6713413 -34.044108)",,,
32351353,Dikiza Road,residential,60,4.6,False,True,40.682,,"LINESTRING (18.6698608 -34.0441063, 18.669731 -34.0437566)",,,
32351447,Manyano Road,residential,60,4.6,False,False,90.136,2,"LINESTRING (18.6698608 -34.0441063, 18.6707957 -34.0438676)",,,
"[32351491, 712388884]","['Dikiza Road', 'Tokozi Road']",residential,60,4.6,False,False,125.985,,"LINESTRING (18.6698608 -34.0441063, 18.6699665 -34.0443883, 18.6699927 -34.04442, 18.6700397 -34.0444268, 18.6709195 -34.0442128)",,,
32351505,Sicukujeje Crescent,residential,60,4.6,False,True,24.805,2,"LINESTRING (18.6680057 -34.0420052, 18.6680725 -34.0417891)",,,
