osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref
55874519,Molen street,secondary,60,False,True,112.733,"LINESTRING (30.2510094 -25.6664431, 30.2498996 -25.6666082)",
100354044,Potgieter Street,secondary,60,False,False,110.554,"LINESTRING (30.2510094 -25.6664431, 30.2508652 -25.6654574)",
361601832,Molen street,residential,,False,False,117.902,"LINESTRING (30.2510094 -25.6664431, 30.2521774 -25.6663167)",
"[100354042, 100354043]","['Potgieter Street', 'Plein Street']",residential,,False,False,319.019,"LINESTRING (30.2510094 -25.6664431, 30.2512434 -25.6679662, 30.2512789 -25.6682055, 30.2512649 -25.6682865, 30.2512179 -25.6683376, 30.2511073 -25.6683702, 30.2501879 -25.6684859)",
55874519,Molen street,secondary,60,False,False,116.257,"LINESTRING (30.2452942 -25.6672046, 30.2464423 -25.6670553)",
37663174,Quitzow Street,primary,60,False,False,211.62099999999998,"LINESTRING (30.2452942 -25.6672046, 30.2453916 -25.6677928, 30.2456059 -25.6690869)",R36
91841186,Janson Street,residential,,False,True,154.163,"LINESTRING (30.2482487 -25.6635251, 30.2484606 -25.6648983)",
91841187,President Kruger Street,residential,,False,False,115.933,"LINESTRING (30.2482487 -25.6635251, 30.2493934 -25.6633752)",
1127942002,President Kruger Street,residential,,False,True,73.823,"LINESTRING (30.2482487 -25.6635251, 30.2475178 -25.6636073)",
91841189,Wolmarans Street,residential,,False,False,113.151,"LINESTRING (30.249616 -25.6647475, 30.2507325 -25.6645967)",
91841189,Wolmarans Street,residential,,False,True,117.008,"LINESTRING (30.249616 -25.6647475, 30.2484606 -25.6648983)",
91841192,Taute Street,residential,,False,False,154.215,"LINESTRING (30.249616 -25.6647475, 30.2493934 -25.6633752)",
91841192,Taute Street,residential,,False,True,208.847,"LINESTRING (30.249616 -25.6647475, 30.2498788 -25.6664509, 30.2498996 -25.6666082)",
91841191,Wolmarans Street,residential,,False,True,93.276,"LINESTRING (30.2475386 -25.6650125, 30.2484606 -25.6648983)",
55874519,Molen street,secondary,60,False,False,117.667,"LINESTRING (30.2487369 -25.666755, 30.2498996 -25.6666082)",
55874519,Molen street,secondary,60,False,True,115.907,"LINESTRING (30.2487369 -25.666755, 30.2475929 -25.6669078)",
91841186,Janson Street,residential,,False,True,211.765,"LINESTRING (30.2487369 -25.666755, 30.2490373 -25.6686401)",
91841186,Janson Street,residential,,False,False,208.306,"LINESTRING (30.2487369 -25.666755, 30.2486859 -25.6663972, 30.2484606 -25.6648983)",
91841187,President Kruger Street,residential,,False,False,115.698,"LINESTRING (30.2505206 -25.663235, 30.2516598 -25.6630669)",
91841187,President Kruger Street,residential,,False,True,114.046,"LINESTRING (30.2505206 -25.663235, 30.2493934 -25.6633752)",
100354044,Potgieter Street,secondary,60,False,True,152.897,"LINESTRING (30.2505206 -25.663235, 30.2507325 -25.6645967)",
91841189,Wolmarans Street,residential,,False,True,113.151,"LINESTRING (30.2507325 -25.6645967, 30.249616 -25.6647475)",
100354044,Potgieter Street,secondary,60,False,False,152.897,"LINESTRING (30.2507325 -25.6645967, 30.2505206 -25.663235)",
100354044,Potgieter Street,secondary,60,False,True,96.625,"LINESTRING (30.2507325 -25.6645967, 30.2508652 -25.6654574)",
55874519,Molen street,secondary,60,False,False,112.733,"LINESTRING (30.2498996 -25.6666082, 30.2510094 -25.6664431)",
55874519,Molen street,secondary,60,False,True,117.667,"LINESTRING (30.2498996 -25.6666082, 30.2487369 -25.666755)",
91841192,Taute Street,residential,,False,True,210.781,"LINESTRING (30.2498996 -25.6666082, 30.2501879 -25.6684859)",
91841192,Taute Street,residential,,False,False,208.847,"LINESTRING (30.2498996 -25.6666082, 30.2498788 -25.6664509, 30.249616 -25.6647475)",
55874519,Molen street,secondary,60,False,False,115.907,"LINESTRING (30.2475929 -25.6669078, 30.2487369 -25.666755)",
55874519,Molen street,secondary,60,False,True,116.477,"LINESTRING (30.2475929 -25.6669078, 30.2464423 -25.6670553)",
100353376,Van der Poll Street,residential,,False,False,211.788,"LINESTRING (30.2475929 -25.6669078, 30.2479128 -25.6687905)",
91841187,President Kruger Street,residential,,False,False,114.046,"LINESTRING (30.2493934 -25.6633752, 30.2505206 -25.663235)",
