osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,junction,width
123968430,False,Lokystos g.,residential,50,False,86.593,"LINESTRING (22.1804631 55.4906165, 22.1800306 55.490788, 22.1794676 55.4910204, 22.1793517 55.4910744)",,,,
290402527,False,Dariaus ir Girėno g.,primary,50,False,48.527,"LINESTRING (22.1804631 55.4906165, 22.1805082 55.4906526, 22.1809201 55.4909678)",165,,,
123968445,False,Vykinto g.,residential,,False,82.418,"LINESTRING (22.1799215 55.4930372, 22.1794496 55.4929307, 22.1792732 55.4928949, 22.178696 55.4927779)",,,,
123968445,False,Vykinto g.,residential,,True,80.563,"LINESTRING (22.1799215 55.4930372, 22.1806784 55.4932868, 22.1808364 55.4933244, 22.181047 55.4933792)",,,,
123968445,False,Vykinto g.,residential,,True,82.418,"LINESTRING (22.178696 55.4927779, 22.1792732 55.4928949, 22.1794496 55.4929307, 22.1799215 55.4930372)",,,,
84724114,False,Vingininkų g.,residential,,True,141.031,"LINESTRING (22.1936802 55.48659, 22.1935508 55.4878562)",,,,
212769741,False,S. Biržiškio g.,residential,,False,121.18900000000002,"LINESTRING (22.1936802 55.48659, 22.1930042 55.486648, 22.1926015 55.4866872, 22.1924191 55.4867157, 22.1922241 55.4867906, 22.1920542 55.4868618, 22.191913 55.4869381)",,,,
123968472,False,Šolių g.,residential,50,True,25.317,"LINESTRING (22.1799444 55.4860211, 22.1796392 55.4861692)",,,,
123968419,False,Kovo 11-osios g.,residential,50,False,246.423,"LINESTRING (22.1913553 55.4865998, 22.1909438 55.4864594, 22.1905857 55.486385, 22.1905229 55.4863719, 22.1901871 55.4863552, 22.1900256 55.4863472, 22.1897486 55.486354, 22.189452 55.4863613, 22.1887323 55.4864199, 22.1884539 55.4864524, 22.1875745 55.4865552)",,,,
123968419,False,Kovo 11-osios g.,residential,50,True,51.474,"LINESTRING (22.1913553 55.4865998, 22.1914329 55.4866468, 22.191913 55.4869381)",,,,
123968419,False,Kovo 11-osios g.,residential,50,True,77.622,"LINESTRING (22.1796407 55.4883273, 22.1797375 55.4882927, 22.1806827 55.4879548)",,,,
289868504,False,V. Kudirkos g.,residential,50,True,235.121,"LINESTRING (22.1796407 55.4883273, 22.1797037 55.4883785, 22.1812782 55.4896586, 22.1817167 55.4900151, 22.1817745 55.4900621)",,,,
123968435,False,Maironio g.,residential,,False,394.99600000000004,"LINESTRING (22.1817745 55.4900621, 22.1818826 55.49003, 22.1850977 55.4890755, 22.1858889 55.4888437, 22.1859694 55.4888297, 22.1860711 55.4888241, 22.1861432 55.4888317, 22.1862106 55.488856, 22.1863271 55.4889368, 22.186427 55.4890115, 22.18655 55.4891, 22.1870016 55.4894317)",,,,
289868504,False,V. Kudirkos g.,residential,50,False,235.12099999999998,"LINESTRING (22.1817745 55.4900621, 22.1817167 55.4900151, 22.1812782 55.4896586, 22.1797037 55.4883785, 22.1796407 55.4883273)",,,,
289868504,False,V. Kudirkos g.,residential,50,True,52.315999999999995,"LINESTRING (22.1817745 55.4900621, 22.1818393 55.4901159, 22.1822178 55.4904599)",,,,
42263001,False,J. Basanavičiaus g.,primary,50,False,212.02800000000002,"LINESTRING (22.1828863 55.4909646, 22.1834939 55.490784, 22.1836179 55.4907472, 22.1840631 55.4906148, 22.1845167 55.4904799, 22.1852649 55.4902575, 22.1854306 55.4902082, 22.1855437 55.4901814, 22.1858871 55.4901037)",165,,,
141442549,False,Vasario 16-osios g.,residential,50,False,54.616,"LINESTRING (22.1828863 55.4909646, 22.1829521 55.4910461, 22.183 55.4911054, 22.1831059 55.491234, 22.183251 55.4914102)",,,,
996223583,False,J. Basanavičiaus g.,primary,50,True,46.553,"LINESTRING (22.1828863 55.4909646, 22.1827769 55.4909982, 22.1822366 55.4911641)",165,3,,
141442532,False,Ašučio g.,residential,,True,139.94599999999997,"LINESTRING (22.1786172 55.4913287, 22.1787556 55.4914949, 22.1792179 55.4917475, 22.1795687 55.4921048, 22.1796972 55.4922, 22.1797602 55.4922159, 22.1797952 55.4922159, 22.1798926 55.4922036, 22.1799837 55.4921612)",,,,
123968443,True,S. Gaudėšiaus g.,residential,,False,99.90599999999999,"LINESTRING (22.1822178 55.4904599, 22.182194 55.4904861, 22.1821074 55.4905336, 22.180998 55.4909354, 22.1809201 55.4909678)",,,,
289868504,False,V. Kudirkos g.,residential,50,False,52.315999999999995,"LINESTRING (22.1822178 55.4904599, 22.1818393 55.4901159, 22.1817745 55.4900621)",,,,
294760205,False,Vasario 16-osios g.,residential,,True,104.57700000000001,"LINESTRING (22.1886963 55.4909603, 22.1886461 55.4910034, 22.188103 55.4915845, 22.1879687 55.4917282, 22.1879132 55.4917893)",,,,
