osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,tunnel,junction
1152379418,220,Pulko g.,primary,50,False,False,9.057,,"LINESTRING (24.0460232 54.3960041, 24.0460394 54.396085)",,
"[1268387089, 27071724, 1152379420, 915587910]",130;220,Pulko g.,primary,50,False,False,251.603,3,"LINESTRING (24.0460232 54.3960041, 24.0459953 54.3958651, 24.045981 54.3957948, 24.0459392 54.3956542, 24.0458117 54.3952969, 24.0457967 54.3952605, 24.0457231 54.395082, 24.0456455 54.3948735, 24.0454484 54.3943432, 24.0454111 54.3942429, 24.0452421 54.3937886)",,
40857123,,Ligoninės g.,residential,,False,True,40.785000000000004,2,"LINESTRING (24.0464386 54.3976808, 24.0462219 54.3977035, 24.045863 54.3977303, 24.0458152 54.397733)",,
153019556,220,Vilniaus g.,primary,50,False,False,63.605999999999995,,"LINESTRING (24.0464386 54.3976808, 24.0464965 54.397816, 24.0465223 54.3978608, 24.0465853 54.3979578, 24.0466903 54.398078, 24.0468308 54.3982)",,
"[924442488, 1152379417, 1152379419, 1268387061]",220,Pulko g.,primary,50,False,True,179.469,3,"LINESTRING (24.0464386 54.3976808, 24.0463541 54.3974808, 24.0463051 54.3973225, 24.046266 54.3971514, 24.0462084 54.3968665, 24.0461856 54.3967391, 24.0460741 54.3962503, 24.0460616 54.3961954, 24.0460394 54.396085)",,
377997069,220,Vilniaus g.,primary,50,True,False,38.82,1,"LINESTRING (24.0490553 54.399959, 24.0492378 54.4000498, 24.0493132 54.4000918, 24.0494146 54.4001448, 24.0495287 54.4001645)",,
429131210,220,Vilniaus g.,primary,50,False,True,32.455999999999996,2,"LINESTRING (24.0490553 54.399959, 24.0490186 54.3999274, 24.0488721 54.3997926, 24.0487852 54.3997131)",,
1268387083,,Rūtų g.,residential,50,False,True,10.207,3,"LINESTRING (24.0386115 54.3942058, 24.0385951 54.3942971)",,
"[1152379424, 1268387082]",,Rūtų g.,residential,50,False,False,69.242,3,"LINESTRING (24.0386115 54.3942058, 24.0386286 54.3941114, 24.0386355 54.3940849, 24.0387648 54.3935896)",,
97869404,,Alyvų tak.,residential,,False,False,104.50299999999999,,"LINESTRING (24.0498164 54.3992695, 24.0499744 54.3993593, 24.0502073 54.399493, 24.050318 54.3995385, 24.0504255 54.3995461, 24.0505525 54.3995139, 24.0510461 54.3992381)",,
"[229969432, 566385097, 566385095]",,Bažnyčios g.,residential,,False,True,82.997,,"LINESTRING (24.0498164 54.3992695, 24.0495757 54.3993731, 24.0489767 54.3996308, 24.0489355 54.3996485, 24.0487852 54.3997131)",,
1218719937,,Alyvų tak.,residential,,False,True,132.30499999999998,,"LINESTRING (24.0498164 54.3992695, 24.0493974 54.3990207, 24.0485636 54.398536, 24.0484882 54.3985045, 24.0484104 54.3984865, 24.0483205 54.3984802)",,
1152379427,,Rūtų g.,residential,50,False,False,11.478,2,"LINESTRING (24.0388451 54.3957914, 24.0388629 54.3956887)",,
