osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,maxspeed,bridge
5218505,Sodo g.,residential,False,False,75.558,,,"LINESTRING (25.5985322 55.4969739, 25.5982986 55.4963074)",,
647389581,Kauno g.,primary,False,True,49.34,2,111,"LINESTRING (25.5985322 55.4969739, 25.5977583 55.4970426)",,
647389581,Kauno g.,primary,False,False,86.053,2,111,"LINESTRING (25.5985322 55.4969739, 25.5988115 55.4969403, 25.5998592 55.4967902)",,
5218505,Sodo g.,residential,False,True,52.423,,,"LINESTRING (25.5981354 55.4958451, 25.5982986 55.4963074)",,
23812675,P. Eimučio g.,residential,False,False,60.732,,,"LINESTRING (25.5981354 55.4958451, 25.5972067 55.4959919)",,
23812675,P. Eimučio g.,residential,False,True,86.946,,,"LINESTRING (25.5981354 55.4958451, 25.5985114 55.4957795, 25.5994516 55.4956095)",,
1152450263,J. Basanavičiaus g.,primary,False,True,11.475,3,A6,"LINESTRING (25.5961534 55.497355, 25.5959817 55.4973205)",50,
8161895,K. Donelaičio g.,residential,True,False,90.299,2,,"LINESTRING (25.5961534 55.497355, 25.5960864 55.4974517, 25.5960083 55.4975473, 25.5958288 55.4977863, 25.5955227 55.4980824)",,
1152450268,J. Basanavičiaus g.,primary,False,False,34.867,4,A6,"LINESTRING (25.5961534 55.497355, 25.5963902 55.4973998, 25.5966777 55.4974556)",50,
1152450273,Kauno g.,primary,False,False,18.176,,111,"LINESTRING (25.596485 55.4971317, 25.5967722 55.4971158)",,
8161877,Kauno g.,primary,True,False,34.012,2,111,"LINESTRING (25.596485 55.4971317, 25.5963041 55.497191, 25.5962318 55.497238, 25.5961534 55.497355)",,
23812733,Rinkos a.,residential,False,False,92.51400000000001,,,"LINESTRING (25.6006631 55.4966017, 25.6004106 55.4961094, 25.6002648 55.4958637, 25.6002305 55.4958068)",,
647389581,Kauno g.,primary,False,False,62.411,2,111,"LINESTRING (25.6006631 55.4966017, 25.6014286 55.4963854, 25.6015496 55.496351)",,
647389581,Kauno g.,primary,False,True,54.842,2,111,"LINESTRING (25.6006631 55.4966017, 25.6003374 55.4966881, 25.5998592 55.4967902)",,
23838948,Utenio a.,residential,True,False,44.31,,,"LINESTRING (25.6009381 55.4946913, 25.6010185 55.4946655, 25.6012009 55.4946374, 25.6014396 55.494604, 25.6015496 55.4946002, 25.6016107 55.4946142)",,
23812675,P. Eimučio g.,residential,False,True,60.732,,,"LINESTRING (25.5972067 55.4959919, 25.5981354 55.4958451)",,
23812611,Birutės g.,residential,False,False,120.83800000000001,,,"LINESTRING (25.5972067 55.4959919, 25.5970381 55.4958702, 25.5967307 55.4955947, 25.5961509 55.4950853)",,
23812611,Birutės g.,residential,False,True,121.924,,,"LINESTRING (25.5972067 55.4959919, 25.5977462 55.4970023, 25.5977583 55.4970426)",,
647389581,Kauno g.,primary,False,False,49.34,2,111,"LINESTRING (25.5977583 55.4970426, 25.5985322 55.4969739)",,
23812611,Birutės g.,residential,False,False,121.924,,,"LINESTRING (25.5977583 55.4970426, 25.5977462 55.4970023, 25.5972067 55.4959919)",,
"[1152450272, 647389580]",Kauno g.,primary,False,True,62.653999999999996,"['2', '4']",111,"LINESTRING (25.5977583 55.4970426, 25.5975597 55.4970618, 25.5967722 55.4971158)",,
"[1152450281, 221306025]",J. Basanavičiaus g.,primary,False,True,132.933,"['2', '3']",A6,"LINESTRING (25.6032885 55.4987622, 25.6028598 55.4986768, 25.6022779 55.4985628, 25.6021218 55.4985299, 25.6015231 55.4984107, 25.6012974 55.4983657)",50,
"[1152450282, 67740597]",Aušros g.,unclassified,False,True,143.197,"['2', '3']",,"LINESTRING (25.6032885 55.4987622, 25.6034399 55.4985436, 25.6035315 55.4984427, 25.6035867 55.4984016, 25.603741 55.4983097, 25.6042653 55.497983, 25.6043699 55.4979268, 25.6044759 55.4978835, 25.6046234 55.4978455, 25.6047445 55.4978234)",,
"[1152450290, 1152450284, 1152450287]",Aušros g.,tertiary,False,False,191.30100000000002,3,,"LINESTRING (25.6032885 55.4987622, 25.6029794 55.4992844, 25.6027944 55.4996104, 25.6027107 55.4997866, 25.6026816 55.4998584, 25.602608 55.5000401, 25.6025447 55.5002565, 25.602494 55.5004193)",50,
"[1152450291, 1152450292]",J. Basanavičiaus g.,primary,False,False,82.967,3,A6,"LINESTRING (25.6032885 55.4987622, 25.6039674 55.4989062, 25.6043845 55.4989947, 25.6045221 55.4990239)",50,
7810818,Kęstučio g.,residential,False,True,117.24600000000001,,,"LINESTRING (25.6052489 55.495486, 25.605093 55.4950333, 25.6048694 55.4944538)",,
"[176376531, 8163380, 176376533]",K. Ladygos g.,primary,False,False,90.651,,111,"LINESTRING (25.6052489 55.495486, 25.6061877 55.4953453, 25.6064229 55.4952912, 25.6066183 55.4952415)",50,yes
8163380,K. Ladygos g.,primary,False,True,144.164,,111,"LINESTRING (25.6052489 55.495486, 25.6042166 55.4956398, 25.6039019 55.4957044, 25.6030976 55.4959157)",50,
5846238,S. Dariaus ir S. Girėno g.,residential,True,False,174.24099999999999,,,"LINESTRING (25.6066183 55.4952415, 25.6064726 55.4960406, 25.606454 55.4961568, 25.6064538 55.4962589, 25.6064972 55.4968032)",50,
176376531,K. Ladygos g.,primary,False,False,176.134,,111,"LINESTRING (25.6066183 55.4952415, 25.6068579 55.495157, 25.6071075 55.4950453, 25.6074047 55.4948831, 25.6075775 55.4947722, 25.6076854 55.494703, 25.6078338 55.4945932, 25.6080027 55.4944396, 25.6081109 55.4942461, 25.6081603 55.494)",50,
"[176376531, 8163380, 176376533]",K. Ladygos g.,primary,False,True,90.651,,111,"LINESTRING (25.6066183 55.4952415, 25.6064229 55.4952912, 25.6061877 55.4953453, 25.6052489 55.495486)",50,yes
67740587,Tauragnų g.,unclassified,False,False,48.771,,,"LINESTRING (25.6070531 55.4979757, 25.6062803 55.4979482)",50,
67740587,Tauragnų g.,unclassified,False,True,18.026,,,"LINESTRING (25.6070531 55.4979757, 25.6073386 55.497987)",50,
176376534,S. Dariaus ir S. Girėno g.,residential,True,False,29.863,1,,"LINESTRING (25.6070531 55.4979757, 25.6072329 55.4982242)",50,
176376536,S. Dariaus ir S. Girėno g.,residential,False,False,18.707,,,"LINESTRING (25.6064972 55.4968032, 25.6065024 55.4968396, 25.6065209 55.4969709)",50,yes
"[1152450300, 1152450294]",J. Basanavičiaus g.,primary,False,True,112.04,"['2', '3']",A6,"LINESTRING (25.609366 55.4999943, 25.6089889 55.4999201, 25.6081044 55.4997422, 25.607687 55.4996614)",50,
"[1152450304, 1152450301]",Užpalių g.,unclassified,False,False,145.075,3,,"LINESTRING (25.609366 55.4999943, 25.6093794 55.50043, 25.6094055 55.5007583, 25.6094573 55.5012978)",50,
1152450302,J. Basanavičiaus g.,primary,False,False,55.094,2,A6,"LINESTRING (25.609366 55.4999943, 25.6096485 55.5000516, 25.610187 55.5001653)",50,
7810816,Bažnyčios g.,residential,False,True,102.44,,,"LINESTRING (25.6048694 55.4944538, 25.6032476 55.4945221)",,
7810818,Kęstučio g.,residential,False,False,117.24600000000001,,,"LINESTRING (25.6048694 55.4944538, 25.605093 55.4950333, 25.6052489 55.495486)",,
23926940,Vytauto a.,residential,False,False,126.69900000000001,,,"LINESTRING (25.6048694 55.4944538, 25.6049172 55.4941022, 25.6055722 55.4940755, 25.6063025 55.4940458)",,
"[221306026, 221306027, 7811708]",Maironio g.,residential,True,False,206.184,,,"LINESTRING (25.6012974 55.4983657, 25.6014305 55.498142, 25.601469 55.4979959, 25.6014388 55.4978555, 25.6013478 55.4976886, 25.601303 55.4976103, 25.6010913 55.4972404, 25.6006631 55.4966017)",,yes
23892826,Maironio g.,residential,False,True,187.824,,,"LINESTRING (25.6012974 55.4983657, 25.6011406 55.4985245, 25.6011239 55.498553, 25.6010093 55.4987489, 25.600822 55.4990597, 25.6007595 55.4991633, 25.600729 55.4992203, 25.600629 55.499402, 25.6005939 55.4994796, 25.6005295 55.4996749, 25.6004833 55.4998947, 25.600466 55.499977)",,
"[221306025, 1152450281]",J. Basanavičiaus g.,primary,False,False,132.933,"['2', '3']",A6,"LINESTRING (25.6012974 55.4983657, 25.6015231 55.4984107, 25.6021218 55.4985299, 25.6022779 55.4985628, 25.6028598 55.4986768, 25.6032885 55.4987622)",50,
"[221306024, 221306025, 489894262, 418946200, 1152450266, 1152450270]",J. Basanavičiaus g.,primary,False,True,308.08799999999997,"['2', '4']",A6,"LINESTRING (25.6012974 55.4983657, 25.6010215 55.4983109, 25.6007679 55.4982606, 25.6006174 55.4982307, 25.6001682 55.4981415, 25.600015 55.4981111, 25.5981679 55.4977381, 25.5974294 55.4975963, 25.5972275 55.4975623, 25.5966777 55.4974556)",50,yes
23812733,Rinkos a.,residential,False,False,36.6,,,"LINESTRING (25.6002305 55.4958068, 25.6000357 55.4954967)",,
