osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,tunnel,width
440060629,False,4,Avenida Eliodoro Camacho,primary,True,162.586,"LINESTRING (-68.1333441 -16.4992934, -68.1319705 -16.4999285)",,,
440060631,False,4,Avenida Eliodoro Camacho,primary,False,93.688,"LINESTRING (-68.1333441 -16.4992934, -68.1341239 -16.498905)",,,
440060632,True,,Calle Roman de Loayza,secondary,False,100.046,"LINESTRING (-68.1333441 -16.4992934, -68.1328802 -16.4985113)",,,
440060631,False,4,Avenida Eliodoro Camacho,primary,True,93.688,"LINESTRING (-68.1341239 -16.498905, -68.1333441 -16.4992934)",,,
440060633,False,4,Avenida Eliodoro Camacho,primary,False,91.702,"LINESTRING (-68.1341239 -16.498905, -68.1348918 -16.4985335)",,,
440060634,True,,Calle Colón,secondary,False,82.13,"LINESTRING (-68.1341239 -16.498905, -68.1345304 -16.4995324)",,,
741741933,True,2,Avenida Mariscal Santa Cruz,primary,False,20.887999999999998,"LINESTRING (-68.1355435 -16.4982099, -68.1356316 -16.498122, -68.1356728 -16.4980692)",,,
356788583,True,2,Calle Mercado,tertiary,False,90.434,"LINESTRING (-68.1350541 -16.4972028, -68.1357795 -16.4967813)",,,
229743359,True,,Calle Socabaya,residential,False,116.76499999999999,"LINESTRING (-68.1350541 -16.4972028, -68.135589 -16.4979586, -68.1356728 -16.4980692)",,,
229743359,True,,Calle Socabaya,residential,False,89.07,"LINESTRING (-68.1346025 -16.4965289, -68.1350541 -16.4972028)",,,
679061186,True,,Calle Potosí,tertiary,False,89.232,"LINESTRING (-68.1346025 -16.4965289, -68.1338728 -16.4969219)",,,
42910470,True,,Calle Ballivián,tertiary,False,94.985,"LINESTRING (-68.1321901 -16.4960164, -68.1328615 -16.4956257, -68.1329046 -16.4956008, -68.1329575 -16.4955857)",,,
44557403,True,2,Calle Colón,secondary,False,88.93700000000001,"LINESTRING (-68.1321901 -16.4960164, -68.1322402 -16.4960969, -68.1326642 -16.4966742)",,,
440060637,True,,Calle Colón,secondary,False,17.977,"LINESTRING (-68.1345304 -16.4995324, -68.1346112 -16.4996743)",,,
741699219,True,2,Avenida Mariscal Santa Cruz,primary,False,105.23,"LINESTRING (-68.1345304 -16.4995324, -68.1345804 -16.4994697, -68.1350351 -16.4988715, -68.1351144 -16.4987695)",,,
