osmid,lanes,highway,width,oneway,reversed,length,name,maxspeed,geometry,bridge
67421370,2,residential,4,False,False,132.137,,,"LINESTRING (-65.1832145 -18.1999166, -65.1835252 -18.2010677)",
1176483044,,residential,,True,False,107.455,Avenida Hans Grether,40,"LINESTRING (-65.1832145 -18.1999166, -65.1822247 -18.2001396)",
1176483045,2,primary,4,False,True,11.36,,,"LINESTRING (-65.1832145 -18.1999166, -65.1831888 -18.1998174)",
67421400,,residential,4,False,False,9.604,Calle Luis Ponce de Lozada,,"LINESTRING (-65.1842397 -18.1996876, -65.1842118 -18.1996054)",
67421400,,residential,4,False,True,126.128,Calle Luis Ponce de Lozada,,"LINESTRING (-65.1842397 -18.1996876, -65.1844929 -18.2007961)",
67421439,,primary,,True,False,111.248,Avenida Hans Grether,40,"LINESTRING (-65.1842397 -18.1996876, -65.1832145 -18.1999166)",
67421387,,residential,4,False,False,63.088,Calle Ayacucho,,"LINESTRING (-65.1806192 -18.1989004, -65.1801077 -18.1986075)",
67967760,,residential,3,False,True,133.546,Calle Apodaca,,"LINESTRING (-65.1806192 -18.1989004, -65.1817795 -18.1984235)",
998147963,,residential,3,False,True,39.107,Calle Zenteno,,"LINESTRING (-65.1806192 -18.1989004, -65.1807329 -18.1992351)",
67421406,,residential,4,False,False,40.243,Calle Santa Cruz,,"LINESTRING (-65.1767001 -18.1980319, -65.1763207 -18.1980647)",
67421406,,residential,4,False,True,65.724,Calle Santa Cruz,,"LINESTRING (-65.1767001 -18.1980319, -65.177321 -18.1980699)",
67967762,,residential,5,False,False,107.16499999999999,Calle Aroma,,"LINESTRING (-65.1767001 -18.1980319, -65.1768555 -18.1985739, -65.1769325 -18.1989692)",
"[67421401, 67967762, 67967787]",,residential,5,False,True,232.40800000000002,"['Calle Benito Jaldín', 'Calle Aroma']",,"LINESTRING (-65.1767001 -18.1980319, -65.1764877 -18.1975244, -65.1763363 -18.1969618, -65.1762821 -18.1967987, -65.1760431 -18.1960397)",yes
67421367,,residential,6,False,False,120.303,Calle Loa,,"LINESTRING (-65.1777183 -18.2003157, -65.1776525 -18.2013958)",
67421426,,residential,6,False,False,59.305,Calle Arévalo,,"LINESTRING (-65.1777183 -18.2003157, -65.1771585 -18.2003563)",
67421426,,residential,6,False,True,25.37,Calle Arévalo,,"LINESTRING (-65.1777183 -18.2003157, -65.1779568 -18.2002888)",
67421357,,residential,10,False,False,111.158,Calle Baptista,,"LINESTRING (-65.1849167 -18.1981563, -65.1838644 -18.198158)",
67421445,,residential,,False,False,139.118,,,"LINESTRING (-65.1849167 -18.1981563, -65.1852317 -18.1993711)",
67421412,2,residential,6,False,False,80.76,Avenida Terán,,"LINESTRING (-65.1767805 -18.2028395, -65.1775173 -18.2026456)",
"[67421425, 67421412]",2,residential,6,False,True,125.086,Avenida Terán,,"LINESTRING (-65.1767805 -18.2028395, -65.176229 -18.2029918, -65.1762747 -18.2035695)",
67967762,,residential,5,False,True,172.96999999999997,Calle Aroma,,"LINESTRING (-65.1767805 -18.2028395, -65.1769153 -18.2016186, -65.1769976 -18.2013001)",
67421366,,residential,5,False,False,58.81,Calle Pando,,"LINESTRING (-65.180193 -18.1979845, -65.1801123 -18.1985078)",
67421357,,residential,10,False,True,111.158,Calle Baptista,,"LINESTRING (-65.1838644 -18.198158, -65.1849167 -18.1981563)",
67421400,,residential,4,False,False,77.353,Calle Luis Ponce de Lozada,,"LINESTRING (-65.1838644 -18.198158, -65.1836611 -18.1974897)",
67421400,,residential,4,False,True,165.074,Calle Luis Ponce de Lozada,,"LINESTRING (-65.1838644 -18.198158, -65.1842118 -18.1996054)",
