osmid,highway,oneway,reversed,length,lanes,maxspeed,bridge,name,width,geometry
280459190,residential,False,True,137.63,,,,,,"LINESTRING (-63.8813466 -17.4028612, -63.8813565 -17.4040989)"
411176396,primary,False,False,45.796,2,80,,,,"LINESTRING (-63.8813466 -17.4028612, -63.8809159 -17.4028879)"
439959857,primary,False,True,51.142,2,80,,,,"LINESTRING (-63.8813466 -17.4028612, -63.8818277 -17.4028332)"
280442642,residential,False,True,115.043,,,,,,"LINESTRING (-63.8788648 -17.4030095, -63.8788615 -17.4019749)"
411176396,primary,False,True,95.186,2,80,,,,"LINESTRING (-63.8788648 -17.4030095, -63.8797596 -17.4029484)"
"[425636264, 425636268, 411176396]",primary,False,False,168.49699999999999,2,80,yes,Puente Comando,7.3,"LINESTRING (-63.8788648 -17.4030095, -63.8785384 -17.4030362, -63.8781442 -17.403066, -63.8772813 -17.4031233)"
439959857,primary,False,False,16.323,2,80,,,,"LINESTRING (-63.8828579 -17.4028104, -63.8827041 -17.4028138)"
439959857,primary,False,True,111.702,2,80,,,,"LINESTRING (-63.8828579 -17.4028104, -63.8839102 -17.4027812)"
280459197,residential,False,False,87.095,,,,,,"LINESTRING (-63.8828579 -17.4028104, -63.8828821 -17.4031068, -63.8829216 -17.4035913)"
185101758,residential,False,True,123.473,,,,Calle Beni,,"LINESTRING (-63.8817069 -17.3986534, -63.8828687 -17.3985906)"
280442641,residential,False,False,36.706,,,,Calle Salamanca,,"LINESTRING (-63.8817069 -17.3986534, -63.8817083 -17.3989835)"
280442641,residential,False,True,60.391,,,,Calle Salamanca,,"LINESTRING (-63.8817069 -17.3986534, -63.8816722 -17.3981113)"
185101751,residential,False,True,92.693,,,,,,"LINESTRING (-63.8766706 -17.4050038, -63.8767355 -17.4058351)"
280459216,residential,False,True,99.28,,,,,,"LINESTRING (-63.8766706 -17.4050038, -63.8776035 -17.404935)"
185101753,residential,False,True,168.108,,,,Calle Calama,,"LINESTRING (-63.8797732 -17.4041543, -63.8813565 -17.4040989)"
307915415,residential,False,False,134.098,,,,Calle Avaroa,,"LINESTRING (-63.8797732 -17.4041543, -63.8797596 -17.4029484)"
"[949574469, 949574470, 307915415]",residential,False,"[False, True]",74.521,,,yes,Calle Avaroa,,"LINESTRING (-63.8797732 -17.4041543, -63.8797557 -17.4044012, -63.8797487 -17.4046159, -63.8797466 -17.4048238)"
185101752,residential,False,True,206.132,,,,Calle La Paz,,"LINESTRING (-63.8811139 -17.4064152, -63.8791757 -17.406542)"
280459216,residential,False,False,91.619,,,,,,"LINESTRING (-63.8811139 -17.4064152, -63.881122 -17.4057995, -63.8810461 -17.4056043)"
307915415,residential,False,True,134.098,,,,Calle Avaroa,,"LINESTRING (-63.8797596 -17.4029484, -63.8797732 -17.4041543)"
411176396,primary,False,False,95.186,2,80,,,,"LINESTRING (-63.8797596 -17.4029484, -63.8788648 -17.4030095)"
411176396,primary,False,True,122.874,2,80,,,,"LINESTRING (-63.8797596 -17.4029484, -63.8809159 -17.4028879)"
