osmid,oneway,highway,reversed,length,geometry,bridge,name,lanes,ref,maxspeed
32379412,True,unclassified,False,281.08500000000004,"LINESTRING (69.5829134 41.4716785, 69.5828187 41.4715807, 69.5827147 41.471473, 69.5825655 41.4712494, 69.582471 41.4710008, 69.582423 41.4708922, 69.5823334 41.4707326, 69.5821447 41.4704586, 69.5819617 41.4702261, 69.5817957 41.4699954, 69.5817335 41.4698992, 69.5816962 41.4698046, 69.5817051 41.4697433, 69.5817403 41.4697051, 69.5820899 41.4695143)",,,,,
"[96807128, 977375033, 96807132]",False,unclassified,False,95.631,"LINESTRING (69.5829134 41.4716785, 69.5827561 41.4717626, 69.5821722 41.4720977, 69.5819915 41.4721905)",yes,"['Горосполком', 'Amir Temur ko‘chasi']",,,
1149537818,True,primary,False,269.357,"LINESTRING (69.582795 41.4691412, 69.5834777 41.4698985, 69.5840215 41.4704869, 69.5846297 41.4711356)",,Alisher Navoiy shoh koʻchasi,2,4Р6,
96807132,False,unclassified,False,172.86,"LINESTRING (69.5822258 41.4741403, 69.5805315 41.4750376)",,Amir Temur ko‘chasi,,,
32380176,False,living_street,False,523.335,"LINESTRING (69.5822258 41.4741403, 69.5818441 41.4737378, 69.5812754 41.473138, 69.5809829 41.4728377, 69.580965 41.4728194, 69.5808608 41.4727124, 69.5805539 41.4723973, 69.5800311 41.4718589, 69.5796069 41.4714221, 69.5783854 41.4704244)",,Madaniyat ko‘chasi,,,
96807132,False,unclassified,True,298.09200000000004,"LINESTRING (69.5822258 41.4741403, 69.5825367 41.4739709, 69.5832315 41.473582, 69.5832569 41.4735611, 69.5832745 41.4735033, 69.5832782 41.4734557, 69.5832692 41.473395, 69.5832449 41.4733399, 69.5831962 41.473276, 69.582669 41.4727421, 69.582444 41.4725727, 69.5822768 41.4724465, 69.5821816 41.4723747, 69.5820469 41.4722413, 69.5819915 41.4721905)",,Amir Temur ko‘chasi,,,
147057906,False,unclassified,False,183.816,"LINESTRING (69.5853373 41.4737409, 69.5866418 41.4750741)",,Shestak ko'chasi,,,
147057905,True,unclassified,False,307.125,"LINESTRING (69.5853373 41.4737409, 69.5851824 41.4736864, 69.5848149 41.4732933, 69.584401 41.4729223, 69.583622 41.4722885, 69.5830727 41.4718174, 69.5829134 41.4716785)",,Shestak ko'chasi,,,
96807132,False,unclassified,False,298.092,"LINESTRING (69.5819915 41.4721905, 69.5820469 41.4722413, 69.5821816 41.4723747, 69.5822768 41.4724465, 69.582444 41.4725727, 69.582669 41.4727421, 69.5831962 41.473276, 69.5832449 41.4733399, 69.5832692 41.473395, 69.5832782 41.4734557, 69.5832745 41.4735033, 69.5832569 41.4735611, 69.5832315 41.473582, 69.5825367 41.4739709, 69.5822258 41.4741403)",,Amir Temur ko‘chasi,,,
"[96807128, 977375033, 96807132]",False,unclassified,True,95.631,"LINESTRING (69.5819915 41.4721905, 69.5821722 41.4720977, 69.5827561 41.4717626, 69.5829134 41.4716785)",yes,"['Горосполком', 'Amir Temur ko‘chasi']",,,
