osmid,ref,highway,oneway,reversed,length,geometry,name,junction
185988957,4P156D,primary,False,True,85.191,"LINESTRING (61.3154584 41.2143937, 61.3144883 41.214627)",,
1257703209,,secondary,False,False,38.58,"LINESTRING (61.3154584 41.2143937, 61.3153172 41.2140634)",,
185988934,,secondary,False,True,331.785,"LINESTRING (61.3154584 41.2143937, 61.3156431 41.2147559, 61.3168636 41.217184)",,
185988935,,residential,False,True,134.611,"LINESTRING (61.3085038 41.216066, 61.3089905 41.2172199)",Mustaqillik ko'chasi,
185988957,4P156D,primary,False,False,525.527,"LINESTRING (61.3085038 41.216066, 61.3144883 41.214627)",,
185988934,,secondary,False,False,331.785,"LINESTRING (61.3168636 41.217184, 61.3156431 41.2147559, 61.3154584 41.2143937)",,
185988951,,secondary,True,False,62.645,"LINESTRING (61.3168636 41.217184, 61.3169642 41.2172715, 61.3170796 41.2173548, 61.3171496 41.2173914, 61.3172344 41.2174183, 61.3173628 41.2174289, 61.3174912 41.2174214)",,
185988922,,secondary,True,False,162.95299999999997,"LINESTRING (61.3174912 41.2174214, 61.3179127 41.2173686, 61.3180224 41.217375, 61.3181264 41.2174032, 61.3182303 41.2174413, 61.3183342 41.2174989, 61.3186373 41.2178097, 61.3189412 41.2181484)",,roundabout
185988922,,secondary,True,False,58.900000000000006,"LINESTRING (61.3169551 41.217749, 61.3170365 41.2176624, 61.3171216 41.2175869, 61.3172028 41.2175385, 61.3172952 41.2174957, 61.3174912 41.2174214)",,roundabout
185988951,,secondary,True,False,64.866,"LINESTRING (61.3169551 41.217749, 61.3169936 41.2175949, 61.3169967 41.2175136, 61.3169773 41.2174323, 61.3168636 41.217184)",,
185988922,,secondary,True,False,67.00200000000001,"LINESTRING (61.3189412 41.2181484, 61.3189891 41.2183052, 61.3190061 41.218381, 61.3190001 41.218454, 61.3189755 41.21851, 61.318919 41.2185766, 61.3188514 41.2186314, 61.3187616 41.2186722)",,roundabout
185988952,,secondary,True,False,95.284,"LINESTRING (61.3189412 41.2181484, 61.3192302 41.2184403, 61.3192896 41.2184818, 61.3193641 41.2185266, 61.3194307 41.2185562, 61.3194996 41.2185777, 61.3198075 41.2186604)",,
185988952,,secondary,True,False,87.49,"LINESTRING (61.3198075 41.2186604, 61.3187616 41.2186722)",,
