osmid,ref,highway,oneway,reversed,length,bridge,geometry,name
1144558177,4K74,secondary,False,True,101.614,,"LINESTRING (72.8840951 40.7322818, 72.8838613 40.7331783)",
"[175904785, 175904773]",4K74,secondary,False,False,255.327,yes,"LINESTRING (72.8840951 40.7322818, 72.8842159 40.7319436, 72.8843076 40.7316023, 72.8845617 40.7307333, 72.8847053 40.7304197, 72.8849171 40.7300802)",
441786981,,residential,False,True,384.5179999999999,,"LINESTRING (72.8840951 40.7322818, 72.8839582 40.7322699, 72.8837278 40.732279, 72.8836532 40.7322575, 72.883586 40.7324867, 72.8832499 40.7326686, 72.8829955 40.7326977, 72.8827986 40.7327596, 72.881944 40.7331598, 72.8816991 40.7333126, 72.8814014 40.7335855, 72.8811614 40.7339238, 72.8810557 40.7343276, 72.8810266 40.7343862)",
474485436,,residential,False,True,332.209,,"LINESTRING (72.8840951 40.7322818, 72.8844811 40.7322692, 72.8849289 40.7322309, 72.8853082 40.7322064, 72.8856621 40.7321984, 72.8860266 40.7321421, 72.8863593 40.732075, 72.8868371 40.7320321, 72.8873113 40.7320321, 72.8880086 40.7320723)",
27079683,4P136,primary,False,False,104.942,,"LINESTRING (72.8851739 40.7298111, 72.8863514 40.7301185)",Qorasuv ko'chasi
182141509,4P136,primary,False,False,118.609,,"LINESTRING (72.8851739 40.7298111, 72.8854181 40.7287606)",Boburshox ko'chasi
617748852,4K74,secondary,False,True,36.927,,"LINESTRING (72.8851739 40.7298111, 72.8849171 40.7300802)",
617748852,4K74,secondary,False,False,36.927,,"LINESTRING (72.8849171 40.7300802, 72.8851739 40.7298111)",
"[175904785, 175904773]",4K74,secondary,False,True,255.327,yes,"LINESTRING (72.8849171 40.7300802, 72.8847053 40.7304197, 72.8845617 40.7307333, 72.8843076 40.7316023, 72.8842159 40.7319436, 72.8840951 40.7322818)",
186251943,,residential,False,False,182.419,,"LINESTRING (72.8849171 40.7300802, 72.8847414 40.7300481, 72.8838661 40.7302556, 72.883286 40.7304733, 72.8828847 40.7305664)",
27079683,4P136,primary,False,True,20.974,,"LINESTRING (72.8903522 40.7310353, 72.890115 40.7309781)",Qorasuv ko'chasi
"[447184672, 700842639, 447184671]",,tertiary,False,True,112.41699999999999,yes,"LINESTRING (72.8903522 40.7310353, 72.8904302 40.7315613, 72.8904627 40.7318493, 72.8905326 40.7320345)",
474485436,,residential,False,False,99.297,,"LINESTRING (72.8905326 40.7320345, 72.8902064 40.7319651, 72.8897286 40.7319088, 72.8895092 40.7319114, 72.8893787 40.7319422)",
"[447184672, 447184671, 700842639]",,tertiary,False,False,112.417,yes,"LINESTRING (72.8905326 40.7320345, 72.8904627 40.7318493, 72.8904302 40.7315613, 72.8903522 40.7310353)",
1144558177,4K74,secondary,False,False,38.325,,"LINESTRING (72.8834728 40.7347484, 72.8835505 40.7344088)",
441786983,,residential,False,False,212.824,,"LINESTRING (72.8834728 40.7347484, 72.88216 40.7346405, 72.8814446 40.7345714, 72.8810266 40.7343862)",
182327674,,residential,False,True,230.231,,"LINESTRING (72.8910701 40.7289135, 72.8902868 40.7290111, 72.8897917 40.7288209, 72.8893079 40.7285375, 72.8885852 40.7283321)",
474481096,,residential,False,True,129.582,,"LINESTRING (72.8910701 40.7289135, 72.8911255 40.7282887, 72.8912282 40.7280232, 72.8913787 40.7277868)",
474481097,,residential,False,False,48.042,,"LINESTRING (72.8885852 40.7283321, 72.888772 40.7279239)",
182327674,,residential,False,False,230.231,,"LINESTRING (72.8885852 40.7283321, 72.8893079 40.7285375, 72.8897917 40.7288209, 72.8902868 40.7290111, 72.8910701 40.7289135)",
182327674,,residential,False,True,95.106,,"LINESTRING (72.8885852 40.7283321, 72.8884871 40.7284908, 72.8884032 40.7285475, 72.8878823 40.7285766, 72.887639 40.7285016)",
182327659,,residential,False,False,126.697,,"LINESTRING (72.8899878 40.727359, 72.8907186 40.7275488, 72.8913787 40.7277868)",
182141509,4P136,primary,False,True,118.609,,"LINESTRING (72.8854181 40.7287606, 72.8851739 40.7298111)",Boburshox ko'chasi
182141509,4P136,primary,False,False,92.919,,"LINESTRING (72.8854181 40.7287606, 72.8855921 40.7281271, 72.885567 40.7279395)",Boburshox ko'chasi
27079683,4P136,primary,False,False,108.174,,"LINESTRING (72.8889234 40.7306161, 72.890115 40.7309781)",Qorasuv ko'chasi
27079683,4P136,primary,False,True,223.674,,"LINESTRING (72.8889234 40.7306161, 72.8863514 40.7301185)",Qorasuv ko'chasi
182327667,,residential,False,True,264.459,,"LINESTRING (72.8889234 40.7306161, 72.8887751 40.7301502, 72.8883555 40.7297364, 72.8882184 40.7296012, 72.8876079 40.7286348, 72.887639 40.7285016)",
182327667,,residential,False,False,64.715,,"LINESTRING (72.8870249 40.7281521, 72.887639 40.7285016)",
