osmid,oneway,name,highway,junction,reversed,length,lanes,maxspeed,geometry,ref
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,10.879,,,"LINESTRING (65.7949793 38.8385238, 65.7948812 38.8384627)",
230520293,True,Islom Karimov ko‘chasi,primary,,False,318.408,3,60,"LINESTRING (65.7954389 38.8384632, 65.7953682 38.8387172, 65.7953947 38.8389571, 65.7954206 38.8390628, 65.7954581 38.8393083, 65.7956263 38.8401742, 65.7958156 38.8411057, 65.7958589 38.8412918)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,43.379999999999995,,,"LINESTRING (65.7954389 38.8384632, 65.7953409 38.8385239, 65.7952227 38.8385561, 65.7950975 38.838556, 65.7949793 38.8385238)",
1086484060,False,,secondary_link,,False,15.077,,,"LINESTRING (65.7882119 38.8389435, 65.7882054 38.839079)",
"[292459296, 230518924]",True,Mustaqillik shox ko'chasi,secondary,,False,586.525,,60,"LINESTRING (65.7882119 38.8389435, 65.7890948 38.8389215, 65.7894602 38.8388893, 65.7895223 38.8388819, 65.7910621 38.8386968, 65.7930264 38.8384612, 65.7942796 38.8383041, 65.7945737 38.8382546, 65.7946827 38.8382182, 65.794852 38.8381043)",4P90
1086484060,False,,secondary_link,,True,15.077,,,"LINESTRING (65.7882054 38.839079, 65.7882119 38.8389435)",
367777111,False,A. Yulbarisov ko'chasi,residential,,True,13.368,,,"LINESTRING (65.7958589 38.8412918, 65.7957055 38.8413051)",
367777111,False,A. Yulbarisov ko'chasi,residential,,False,217.69799999999998,,,"LINESTRING (65.7958589 38.8412918, 65.7959542 38.8412842, 65.7964708 38.8411978, 65.7967383 38.8411568, 65.7973739 38.8410595, 65.798321 38.8408999)",
367777111,False,A. Yulbarisov ko'chasi,residential,,False,13.368,,,"LINESTRING (65.7957055 38.8413051, 65.7958589 38.8412918)",
109596084,True,Islom Karimov ko‘chasi,primary,,False,316.87699999999995,3,60,"LINESTRING (65.7957055 38.8413051, 65.7956821 38.8411827, 65.7956704 38.8411218, 65.7954841 38.8402007, 65.7953159 38.8393348, 65.7952497 38.8390801, 65.7952214 38.8389763, 65.7949793 38.8385238)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,42.073,,,"LINESTRING (65.7953888 38.8380385, 65.7954716 38.8381077, 65.7955215 38.8381939, 65.7955334 38.8382881, 65.7955058 38.8383802)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,10.247,,,"LINESTRING (65.794852 38.8381043, 65.7949335 38.8380375)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,10.897,,,"LINESTRING (65.7955058 38.8383802, 65.7954389 38.8384632)",
"[321577513, 230518917]",True,Mustaqillik shox ko'chasi,secondary,,False,583.3299999999999,,60,"LINESTRING (65.7948812 38.8384627, 65.7944776 38.8384546, 65.7943138 38.8384551, 65.7940803 38.8384721, 65.7926736 38.8386455, 65.7895543 38.839019, 65.7891637 38.8390555, 65.7889193 38.8390735, 65.7882054 38.839079)",4P90
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,42.831,,,"LINESTRING (65.7948812 38.8384627, 65.7948154 38.8383812, 65.7947872 38.8382874, 65.7947999 38.8381916, 65.794852 38.8381043)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,10.356,,,"LINESTRING (65.7952837 38.8379941, 65.7953888 38.8380385)",
321577516,True,Islom Karimov ko‘chasi,primary,roundabout,False,31.854,,,"LINESTRING (65.7949335 38.8380375, 65.7950419 38.8379928, 65.7951629 38.8379778, 65.7952837 38.8379941)",
367777111,False,A. Yulbarisov ko'chasi,residential,,True,217.69799999999998,,,"LINESTRING (65.798321 38.8408999, 65.7973739 38.8410595, 65.7967383 38.8411568, 65.7964708 38.8411978, 65.7959542 38.8412842, 65.7958589 38.8412918)",
