osmid,highway,maxspeed,oneway,reversed,length,geometry,name,ref,bridge
278131750,residential,30,False,False,252.82500000000005,"LINESTRING (-85.963735 12.7272895, -85.9637406 12.7278507, -85.9637194 12.7279456, -85.9635531 12.7284242, -85.9633444 12.7290226, -85.9631653 12.7289813, -85.9630852 12.7292693)",,,
278131742,residential,30,False,True,82.225,"LINESTRING (-85.9643188 12.7276416, -85.9650693 12.727746)",,,
597436293,tertiary,,False,True,108.919,"LINESTRING (-85.9643188 12.7276416, -85.964134 12.7286044)",,,
278131741,residential,30,False,True,109.301,"LINESTRING (-85.9650693 12.727746, -85.9649043 12.7287157)",Avenida Central,,
278131742,residential,30,False,False,82.225,"LINESTRING (-85.9650693 12.727746, -85.9643188 12.7276416)",,,
278131748,residential,30,False,True,84.46,"LINESTRING (-85.964134 12.7286044, -85.9649043 12.7287157)",,,
597436293,tertiary,,False,False,108.919,"LINESTRING (-85.964134 12.7286044, -85.9643188 12.7276416)",,,
597436293,tertiary,,False,True,93.202,"LINESTRING (-85.964134 12.7286044, -85.9639675 12.7294267)",,,
278131741,residential,30,False,False,109.301,"LINESTRING (-85.9649043 12.7287157, -85.9650693 12.727746)",Avenida Central,,
278131741,residential,30,False,True,96.062,"LINESTRING (-85.9649043 12.7287157, -85.9647596 12.729568)",Avenida Central,,
278131748,residential,30,False,False,84.46,"LINESTRING (-85.9649043 12.7287157, -85.964134 12.7286044)",,,
278131748,residential,30,False,True,94.245,"LINESTRING (-85.9649043 12.7287157, -85.9657626 12.7288478)",,,
278131748,residential,30,False,False,94.245,"LINESTRING (-85.9657626 12.7288478, -85.9649043 12.7287157)",,,
278131748,residential,30,False,True,74.778,"LINESTRING (-85.9657626 12.7288478, -85.9664509 12.7288864)",,,
278131752,residential,30,False,True,98.361,"LINESTRING (-85.9657626 12.7288478, -85.9656096 12.7297197)",,,
278131740,residential,30,False,True,107.646,"LINESTRING (-85.9664509 12.7288864, -85.9663123 12.729845)",,,
278131748,residential,30,False,False,74.778,"LINESTRING (-85.9664509 12.7288864, -85.9657626 12.7288478)",,,
278131749,residential,30,False,False,9.716,"LINESTRING (-85.9629971 12.7292535, -85.9630852 12.7292693)",,,
278131749,residential,30,False,False,97.283,"LINESTRING (-85.9630852 12.7292693, -85.9639675 12.7294267)",,,
278131749,residential,30,False,True,9.716,"LINESTRING (-85.9630852 12.7292693, -85.9629971 12.7292535)",,,
278131750,residential,30,False,True,252.82500000000002,"LINESTRING (-85.9630852 12.7292693, -85.9631653 12.7289813, -85.9633444 12.7290226, -85.9635531 12.7284242, -85.9637194 12.7279456, -85.9637406 12.7278507, -85.963735 12.7272895)",,,
278131749,residential,30,False,False,87.338,"LINESTRING (-85.9639675 12.7294267, -85.9647596 12.729568)",,,
278131749,residential,30,False,True,97.283,"LINESTRING (-85.9639675 12.7294267, -85.9630852 12.7292693)",,,
597436293,tertiary,,False,False,93.202,"LINESTRING (-85.9639675 12.7294267, -85.964134 12.7286044)",,,
1254438701,tertiary,,False,True,94.527,"LINESTRING (-85.9639675 12.7294267, -85.9637906 12.7302591)",NIC-47,47,
278131741,residential,30,False,False,96.062,"LINESTRING (-85.9647596 12.729568, -85.9649043 12.7287157)",Avenida Central,,
278131741,residential,30,False,True,96.204,"LINESTRING (-85.9647596 12.729568, -85.9645899 12.7304172)",Avenida Central,,
278131749,residential,30,False,False,93.723,"LINESTRING (-85.9647596 12.729568, -85.9656096 12.7297197)",,,
278131749,residential,30,False,True,87.338,"LINESTRING (-85.9647596 12.729568, -85.9639675 12.7294267)",,,
278131749,residential,30,False,False,77.479,"LINESTRING (-85.9656096 12.7297197, -85.9663123 12.729845)",,,
278131749,residential,30,False,True,93.723,"LINESTRING (-85.9656096 12.7297197, -85.9647596 12.729568)",,,
278131752,residential,30,False,False,98.361,"LINESTRING (-85.9656096 12.7297197, -85.9657626 12.7288478)",,,
278131752,residential,30,False,True,97.338,"LINESTRING (-85.9656096 12.7297197, -85.9654574 12.7305824)",,,
278131740,residential,30,False,False,107.646,"LINESTRING (-85.9663123 12.729845, -85.9664509 12.7288864)",,,
278131749,residential,30,False,True,77.479,"LINESTRING (-85.9663123 12.729845, -85.9656096 12.7297197)",,,
278131740,residential,30,False,True,99.574,"LINESTRING (-85.9663123 12.729845, -85.9662478 12.7302729, -85.9661686 12.7307294)",,,
278131746,residential,30,False,True,88.458,"LINESTRING (-85.9637906 12.7302591, -85.9645899 12.7304172)",Calle Jorge Navarro,,
1254438701,tertiary,,False,False,94.527,"LINESTRING (-85.9637906 12.7302591, -85.9639675 12.7294267)",NIC-47,47,
1254438701,tertiary,,False,True,96.634,"LINESTRING (-85.9637906 12.7302591, -85.9636356 12.7311149)",NIC-47,47,
"[597436313, 278131746]",residential,30,False,False,153.445,"LINESTRING (-85.9637906 12.7302591, -85.9628529 12.7300737, -85.9629795 12.7296444)",Calle Jorge Navarro,,
