osmid,oneway,highway,reversed,length,junction,geometry,ref,name
106654761,True,primary,False,15.982,,"LINESTRING (94.9207883 20.1511679, 94.9208754 20.1512861)",,
106654759,True,primary,False,18.767,roundabout,"LINESTRING (94.9207883 20.1511679, 94.9207991 20.1512232, 94.9207865 20.1512782, 94.9207524 20.1513245)",,
50876995,False,primary,False,217.547,,"LINESTRING (94.9210714 20.1514312, 94.9226797 20.1526754)",,
449241813,True,primary,False,35.453,,"LINESTRING (94.9210714 20.1514312, 94.9208441 20.1513437, 94.9207524 20.1513245)",,
106654759,True,primary,False,17.223,roundabout,"LINESTRING (94.9205092 20.1511554, 94.9205651 20.1510985, 94.9206444 20.151077)",,
122496575,True,residential,False,31.648,,"LINESTRING (94.9205092 20.1511554, 94.9204948 20.1510388, 94.9204137 20.1508899)",,
106654754,False,unclassified,True,19.495,,"LINESTRING (94.9205954 20.1517429, 94.9206174 20.1515688)",,
373996203,False,residential,True,221.321,,"LINESTRING (94.9205954 20.1517429, 94.918495 20.1514717)",,
106654754,False,unclassified,False,56.221999999999994,,"LINESTRING (94.9205954 20.1517429, 94.9205629 20.1518879, 94.9204555 20.1520491, 94.9203401 20.1521766)",,
106654758,True,primary,False,15.167,,"LINESTRING (94.9205229 20.1513072, 94.9203847 20.1512651)",,
106654759,True,primary,False,17.621000000000002,roundabout,"LINESTRING (94.9205229 20.1513072, 94.9204929 20.1512332, 94.9205092 20.1511554)",,
444070509,True,primary,False,14.047,,"LINESTRING (94.9202428 20.1512334, 94.9203732 20.1512022)",,
106654759,True,primary,False,18.958,roundabout,"LINESTRING (94.9206444 20.151077, 94.9207314 20.1511015, 94.9207883 20.1511679)",,
106654754,False,unclassified,False,62.558,,"LINESTRING (94.9199942 20.152519, 94.9195662 20.1529128)",,
106654754,False,unclassified,True,52.472,,"LINESTRING (94.9199942 20.152519, 94.9203401 20.1521766)",,
373996213,False,residential,True,165.959,,"LINESTRING (94.9199942 20.152519, 94.9184228 20.1522924)",,
106654759,True,primary,False,26.818000000000005,roundabout,"LINESTRING (94.9207524 20.1513245, 94.9206766 20.151362, 94.9205913 20.1513556, 94.9205229 20.1513072)",,
122496574,True,tertiary,False,30.657,,"LINESTRING (94.9207524 20.1513245, 94.9206824 20.1514334, 94.9206174 20.1515688)",,
106654754,False,unclassified,False,52.472,,"LINESTRING (94.9203401 20.1521766, 94.9199942 20.152519)",,
373996189,False,residential,True,199.522,,"LINESTRING (94.9203401 20.1521766, 94.9184549 20.1518808)",,
106654754,False,unclassified,True,56.221999999999994,,"LINESTRING (94.9203401 20.1521766, 94.9204555 20.1520491, 94.9205629 20.1518879, 94.9205954 20.1517429)",,
50876995,False,primary,True,217.547,,"LINESTRING (94.9226797 20.1526754, 94.9210714 20.1514312)",,
482224280,False,primary,True,95.547,,"LINESTRING (94.9226797 20.1526754, 94.9234043 20.1532004)",2,Nat Mauk Road
106657736,False,primary,True,148.297,,"LINESTRING (94.9226797 20.1526754, 94.9227704 20.152535, 94.9230359 20.1513924)",2,Bogyoke Road
323823472,False,tertiary,False,114.542,,"LINESTRING (94.9226797 20.1526754, 94.9223366 20.1531588, 94.9222381 20.1535984)",,Theingar Street
111827770,False,residential,False,160.917,,"LINESTRING (94.9185556 20.1498931, 94.920094 20.149985)",,
111827770,False,residential,True,123.647,,"LINESTRING (94.9185556 20.1498931, 94.9173857 20.1497192)",,
373996131,False,residential,True,69.099,,"LINESTRING (94.9185556 20.1498931, 94.9185158 20.1505134)",,
106783110,False,residential,False,36.798,,"LINESTRING (94.9175312 20.1468508, 94.9178745 20.1469259)",,
111834174,False,tertiary,False,126.865,,"LINESTRING (94.9175312 20.1468508, 94.9178933 20.1457617)",,ကမ်းနားလမ်း
111834174,False,tertiary,True,167.513,,"LINESTRING (94.9175312 20.1468508, 94.9173256 20.1475964, 94.917161 20.1483163)",,ကမ်းနားလမ်း
106654761,True,primary,False,26.056,,"LINESTRING (94.9208754 20.1512861, 94.9210714 20.1514312)",,
106783100,False,residential,False,120.82499999999999,,"LINESTRING (94.9208754 20.1512861, 94.9213001 20.1513438, 94.9220281 20.1513642)",,
106657736,False,primary,True,141.922,,"LINESTRING (94.9230359 20.1513924, 94.9233386 20.1501481)",2,Bogyoke Road
106783100,False,residential,False,87.732,,"LINESTRING (94.9230359 20.1513924, 94.9238594 20.15155)",,
106783100,False,residential,True,105.249,,"LINESTRING (94.9230359 20.1513924, 94.9220281 20.1513642)",,
106657736,False,primary,False,148.297,,"LINESTRING (94.9230359 20.1513924, 94.9227704 20.152535, 94.9226797 20.1526754)",2,Bogyoke Road
106783110,False,residential,True,130.517,,"LINESTRING (94.9199284 20.1473889, 94.9187126 20.1471152)",,
106783112,False,residential,False,115.843,,"LINESTRING (94.9199284 20.1473889, 94.9199262 20.1484307)",,
106783112,False,residential,True,39.540000000000006,,"LINESTRING (94.9199284 20.1473889, 94.9199684 20.1472267, 94.9200179 20.1470434)",,
106783112,False,residential,True,36.718,,"LINESTRING (94.9200179 20.1470434, 94.9201271 20.1467295)",,
106783112,False,residential,False,39.540000000000006,,"LINESTRING (94.9200179 20.1470434, 94.9199684 20.1472267, 94.9199284 20.1473889)",,
375091889,False,residential,False,168.487,,"LINESTRING (94.9200179 20.1470434, 94.9203783 20.1470799, 94.9205741 20.1470749, 94.9207699 20.1470472, 94.9209174 20.1470396, 94.9211472 20.14706, 94.9216118 20.1471697)",,
106783112,False,residential,False,84.548,,"LINESTRING (94.920094 20.149985, 94.9203062 20.1507188)",,
111827770,False,residential,False,79.019,,"LINESTRING (94.920094 20.149985, 94.9208507 20.1500037)",,
111827770,False,residential,True,160.917,,"LINESTRING (94.920094 20.149985, 94.9185556 20.1498931)",,
106783112,False,residential,True,173.716,,"LINESTRING (94.920094 20.149985, 94.9200189 20.1492804, 94.9199827 20.1489485, 94.9199262 20.1484307)",,
106657736,False,primary,False,141.922,,"LINESTRING (94.9233386 20.1501481, 94.9230359 20.1513924)",2,Bogyoke Road
106657736,False,primary,True,152.025,,"LINESTRING (94.9233386 20.1501481, 94.9236542 20.1488134)",2,Bogyoke Road
111827770,False,residential,False,84.003,,"LINESTRING (94.9233386 20.1501481, 94.9241287 20.1502914)",,
111827770,False,residential,True,123.658,,"LINESTRING (94.9233386 20.1501481, 94.9221585 20.1500514)",,
106783096,False,tertiary,False,44.602,,"LINESTRING (94.917161 20.1483163, 94.9175874 20.1483417)",,Pyi Taw Thar Road
111834174,False,tertiary,False,167.513,,"LINESTRING (94.917161 20.1483163, 94.9173256 20.1475964, 94.9175312 20.1468508)",,ကမ်းနားလမ်း
111834174,False,tertiary,True,146.567,,"LINESTRING (94.917161 20.1483163, 94.9170224 20.1490467, 94.9168727 20.1496055)",,ကမ်းနားလမ်း
373996204,False,residential,False,57.219,,"LINESTRING (94.9205032 20.1455306, 94.9199871 20.1453573)",,
106783112,False,residential,False,43.509,,"LINESTRING (94.9205032 20.1455306, 94.9204556 20.1456836, 94.9203886 20.1459068)",,
