osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,access,width
35985692,Rue Narvick,tertiary,False,False,105.614,"LINESTRING (11.5192929 3.8652948, 11.5185845 3.8659293)",,,,
35897046,Rue Marie Gocker,tertiary,False,False,181.709,"LINESTRING (11.5192929 3.8652948, 11.5202822 3.8663767, 11.5204091 3.8664896)",,,,
35897046,Rue Marie Gocker,tertiary,False,True,131.02499999999998,"LINESTRING (11.5192929 3.8652948, 11.5189664 3.8649378, 11.5189035 3.8648949, 11.5188416 3.8648684, 11.5182925 3.8648023)",,,,
35897045,Rue 1.014,residential,True,False,110.863,"LINESTRING (11.5181045 3.8666207, 11.5171892 3.8662206)",,,,
35985692,Rue Narvick,tertiary,False,False,95.721,"LINESTRING (11.5181045 3.8666207, 11.5177702 3.8674143)",,,,
35985692,Rue Narvick,tertiary,False,True,95.725,"LINESTRING (11.5181045 3.8666207, 11.5182772 3.8662108, 11.5185845 3.8659293)",,,,
35897052,,secondary,True,False,5.053,"LINESTRING (11.5168471 3.8671235, 11.5168506 3.867146, 11.5168488 3.8671686)",roundabout,,,
614502830,,secondary,True,False,14.926,"LINESTRING (11.5168488 3.8671686, 11.5168608 3.8673023)",,,,
35985695,Place de l'Indépendance,secondary,True,False,99.988,"LINESTRING (11.5170852 3.8732059, 11.5170764 3.8730961, 11.5172353 3.8727104, 11.5173771 3.8723663)",roundabout,2,,
35985695,Place de l'Indépendance,secondary,True,False,11.601,"LINESTRING (11.5175349 3.8722716, 11.5176371 3.8722937)",roundabout,2,,
199063425,Rue 1.073,residential,False,True,326.623,"LINESTRING (11.5192093 3.870311, 11.5193035 3.8704313, 11.5194126 3.8705976, 11.5194963 3.8706362, 11.519595 3.8706247, 11.5196997 3.8705701, 11.5197806 3.8704739, 11.5198266 3.8703759, 11.5198329 3.8702049, 11.5198064 3.8700345, 11.5197057 3.8695355, 11.5196934 3.8694222, 11.5197015 3.8693202, 11.5197411 3.8691892, 11.5197926 3.869066, 11.5198989 3.8687646, 11.5200137 3.8685186, 11.5200691 3.8684199)",,,,
273228974,Avenue Winston Churchill,tertiary,False,False,136.041,"LINESTRING (11.5192093 3.870311, 11.5192438 3.8706871, 11.5192436 3.8709879, 11.5192066 3.8712878, 11.5191665 3.8715273)",,,,
273228974,Avenue Winston Churchill,tertiary,False,True,81.393,"LINESTRING (11.5192093 3.870311, 11.5191404 3.8701324, 11.5190765 3.8699922, 11.5189875 3.8698621, 11.5189223 3.8698106, 11.5187911 3.8697457)",,,,
35985693,Rue 1.008,residential,False,False,26.783,"LINESTRING (11.5205923 3.8664572, 11.5207819 3.8663081)",,,,
35985682,Place John F Kennedy,secondary,True,False,17.448,"LINESTRING (11.5205923 3.8664572, 11.5206109 3.8664742, 11.5206181 3.866507, 11.5206157 3.8665364, 11.5206052 3.8665639, 11.5205802 3.8665942)",roundabout,,,
682805737,Avenue Mvog-Fouda Ada,secondary,False,False,140.06,"LINESTRING (11.5205802 3.8665942, 11.5213411 3.8675993)",,2,,
35985682,Place John F Kennedy,secondary,True,False,21.971000000000004,"LINESTRING (11.5205802 3.8665942, 11.5205458 3.8666133, 11.5205069 3.8666185, 11.5204607 3.8666052, 11.5204329 3.8665829, 11.5204142 3.8665526)",roundabout,,,
35897046,Rue Marie Gocker,tertiary,False,False,131.025,"LINESTRING (11.5182925 3.8648023, 11.5188416 3.8648684, 11.5189035 3.8648949, 11.5189664 3.8649378, 11.5192929 3.8652948)",,,,
35985693,Rue 1.008,residential,False,False,93.04,"LINESTRING (11.5220457 3.8652083, 11.522846 3.8649582)",,,,
682805745,Avenue Mgr. François Xavier Vogt,secondary,False,False,185.177,"LINESTRING (11.5220457 3.8652083, 11.5225929 3.8667816)",,2,,
