osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,bridge,junction
263361036,True,3,Bitarap Turkmenistan şayoly,secondary,60,yes,False,10.116,"LINESTRING (63.5869448 39.0726971, 63.5869399 39.072788)",,
168902580,False,,Jammyl köçesi,tertiary,40,,True,124.048,"LINESTRING (63.5839666 39.0773586, 63.58253 39.0773301)",,
168902580,False,,Jammyl köçesi,tertiary,40,,False,220.29500000000002,"LINESTRING (63.5839666 39.0773586, 63.586318 39.0773851, 63.5865184 39.0773874)",,
168902596,False,,Ärsary Baba köçesi,residential,,,False,68.02799999999999,"LINESTRING (63.5839666 39.0773586, 63.5839764 39.0770553, 63.5839864 39.076747)",,
168841459,False,2,Görogly koçesi,secondary,60,,False,226.04600000000002,"LINESTRING (63.5840952 39.0726719, 63.5854043 39.0727039, 63.5856403 39.0727096, 63.5863508 39.072727, 63.5864268 39.072729, 63.5867124 39.0727364)",,
168841459,False,2,Görogly koçesi,secondary,60,,True,467.88000000000005,"LINESTRING (63.5840952 39.0726719, 63.5839982 39.0726676, 63.5821107 39.0726082, 63.5801098 39.0725632, 63.5786786 39.0725267)",,
"[202494440, 202494177, 168902596]",False,,Ärsary Baba köçesi,residential,,,True,371.5110000000001,"LINESTRING (63.5840952 39.0726719, 63.5840891 39.0729252, 63.5840623 39.0732901, 63.5840573 39.0739607, 63.5840553 39.074548, 63.5840504 39.0748707, 63.5840501 39.0749112, 63.5840498 39.0749504, 63.5840398 39.0750906, 63.5840101 39.0760118)",yes,
168902580,False,,Jammyl köçesi,tertiary,40,,False,124.048,"LINESTRING (63.58253 39.0773301, 63.5839666 39.0773586)",,
1245434466,False,,,residential,,,True,70.904,"LINESTRING (63.58253 39.0773301, 63.5825533 39.0766927)",,
168902580,False,,Jammyl köçesi,tertiary,40,,True,19.329,"LINESTRING (63.5867423 39.0773898, 63.5865184 39.0773874)",,
452068782,False,,Jammyl köçesi,tertiary,,,False,51.075,"LINESTRING (63.5867423 39.0773898, 63.5870419 39.077461, 63.587263 39.0775923)",,
264848194,True,1,,primary,30,,False,8.278,"LINESTRING (63.5781001 39.0722485, 63.5781607 39.0723062)",,roundabout
263361036,True,3,Bitarap Turkmenistan şayoly,secondary,60,yes,False,334.77,"LINESTRING (63.5870881 39.0696885, 63.5869519 39.0725365, 63.5869448 39.0726971)",,
