osmid,oneway,ref,highway,reversed,length,name,geometry,lanes
507368192,False,,residential,True,116.202,,"LINESTRING (99.6746723 7.3750393, 99.674557 7.3754748, 99.6744403 7.3760582)",
507368118,False,,residential,False,76.314,,"LINESTRING (99.6733151 7.3747733, 99.6732151 7.3754524)",
311932145,False,,unclassified,True,101.00600000000001,ถนนท่าบันได,"LINESTRING (99.6733151 7.3747733, 99.673628 7.3747747, 99.6738676 7.3747733, 99.6740607 7.3748106, 99.6742172 7.3748676)",
507368117,False,,residential,False,85.197,,"LINESTRING (99.6770548 7.3752484, 99.6776159 7.3757751)",
312712339,True,404,primary,False,65.885,,"LINESTRING (99.6770548 7.3752484, 99.6771928 7.37502, 99.6772483 7.3748536, 99.6772774 7.3747054)",
312712431,False,,residential,False,43.382,,"LINESTRING (99.6796277 7.3753044, 99.6799854 7.3754668)",
312712431,False,,residential,True,226.855,,"LINESTRING (99.6796277 7.3753044, 99.677832 7.374309)",
312712569,False,,residential,True,102.27,,"LINESTRING (99.6796277 7.3753044, 99.6790625 7.3760336)",
312712569,False,,residential,False,284.34000000000003,,"LINESTRING (99.6796277 7.3753044, 99.6796888 7.3751603, 99.6796929 7.3727595)",
312712515,False,,residential,False,45.481,,"LINESTRING (99.6753802 7.3794638, 99.675634 7.3791414)",
320478939,False,ตง.2023,tertiary,True,104.577,,"LINESTRING (99.6753802 7.3794638, 99.6761152 7.3800581)",
965920111,False,,residential,True,31.752,,"LINESTRING (99.6753802 7.3794638, 99.6752006 7.379687)",
320478939,False,ตง.2023,tertiary,False,87.739,,"LINESTRING (99.6753802 7.3794638, 99.6748057 7.3790089, 99.6747589 7.3789709)",
312712555,False,,residential,False,15.205,,"LINESTRING (99.6764936 7.379565, 99.6765708 7.3794517)",
312712555,False,,residential,True,68.903,,"LINESTRING (99.6764936 7.379565, 99.6761152 7.3800581)",
507368128,False,,residential,True,103.909,,"LINESTRING (99.6764936 7.379565, 99.6757777 7.3789574)",
808550553,False,,secondary,False,83.339,ถนนวรคีรี,"LINESTRING (99.6761482 7.3763702, 99.6767492 7.3768246)",
878877828,False,,secondary,True,12.935,ถนนวรคีรี,"LINESTRING (99.6761482 7.3763702, 99.6760654 7.3762878)",
