osmid,highway,oneway,reversed,length,geometry,junction,name
546194993,unclassified,True,False,37.289,"LINESTRING (103.5055986 16.4317498, 103.505747 16.4317334, 103.505941 16.4316858)",,
40843796,unclassified,False,True,228.524,"LINESTRING (103.505941 16.4316858, 103.506674 16.4315219, 103.5068802 16.4314757, 103.5080277 16.4312191)",,
546194994,unclassified,True,False,27.956999999999997,"LINESTRING (103.505941 16.4316858, 103.5058474 16.4316839, 103.5057892 16.4316712, 103.5057532 16.4316511, 103.5057106 16.4316013)",,
40843779,residential,False,True,72.814,"LINESTRING (103.5054883 16.431471, 103.5049388 16.4310824)",,
40843790,unclassified,True,False,10.98,"LINESTRING (103.5054883 16.431471, 103.505446 16.4314992, 103.5054156 16.431539)",roundabout,
242701109,residential,False,False,8.98,"LINESTRING (103.507202 16.4337625, 103.5072168 16.433842)",,
40843767,secondary,True,False,136.095,"LINESTRING (103.507202 16.4337625, 103.5063099 16.4339249, 103.5059482 16.4339901)",,ถนนกาฬสินธุ์
242290777,residential,False,True,6.627,"LINESTRING (103.5043258 16.4342825, 103.5043371 16.4343411)",,
40843767,secondary,True,False,68.104,"LINESTRING (103.5043258 16.4342825, 103.5039425 16.4343516, 103.5038787 16.4343631, 103.5038336 16.4343608, 103.5037832 16.4343476, 103.5037062 16.4343104)",,ถนนกาฬสินธุ์
242728535,tertiary,True,False,31.209999999999997,"LINESTRING (103.507689 16.4378578, 103.5076609 16.4378802, 103.5076426 16.4379106, 103.5076365 16.4379452, 103.5076433 16.4379797, 103.5076621 16.4380098, 103.5076907 16.4380317, 103.5077254 16.4380428, 103.5077618 16.438046)",roundabout,
546198321,tertiary,True,False,81.285,"LINESTRING (103.507689 16.4378578, 103.5074835 16.4379388, 103.5072935 16.4380159, 103.5071271 16.4381046, 103.5070177 16.4381934)",,
242760616,residential,True,False,17.8,"LINESTRING (103.501526 16.4331325, 103.5015991 16.433155, 103.5016707 16.4332075)",,
1090966446,tertiary,True,False,19.74,"LINESTRING (103.501526 16.4331325, 103.5016008 16.4330765, 103.5016463 16.4330018)",,
