osmid,ref,highway,width,oneway,reversed,length,lanes,geometry
197733429,3438,secondary,7,False,False,64.311,,"LINESTRING (99.5363265 15.4677583, 99.5368579 15.4674896)"
1153420008,อน.4034,tertiary,,False,True,42.936,2,"LINESTRING (99.5363265 15.4677583, 99.5365204 15.4680962)"
197733429,3438,secondary,7,False,True,286.958,,"LINESTRING (99.5363265 15.4677583, 99.5357953 15.468079, 99.5352194 15.4684681, 99.534498 15.4690444, 99.534194 15.4693103)"
255635368,,residential,,False,True,121.189,,"LINESTRING (99.5381416 15.4709394, 99.5392171 15.4706026)"
1153420008,อน.4034,tertiary,,False,False,10.042,2,"LINESTRING (99.5381416 15.4709394, 99.5381019 15.4708576)"
1153420008,อน.4034,tertiary,,False,True,55.461,2,"LINESTRING (99.5381416 15.4709394, 99.5382722 15.4712634, 99.5383203 15.4714073)"
255635064,,unclassified,,False,False,199.755,,"LINESTRING (99.5391259 15.4668233, 99.5408136 15.4660608)"
255635064,,unclassified,,False,True,196.55599999999998,,"LINESTRING (99.5391259 15.4668233, 99.5379572 15.467375, 99.5374788 15.4676009)"
255635364,,residential,,False,True,170.42700000000002,,"LINESTRING (99.5391259 15.4668233, 99.5393942 15.4675471, 99.5396246 15.4682782)"
255635064,,unclassified,,False,False,196.55599999999998,,"LINESTRING (99.5374788 15.4676009, 99.5379572 15.467375, 99.5391259 15.4668233)"
255635064,,unclassified,,False,True,116.544,,"LINESTRING (99.5374788 15.4676009, 99.537028 15.4678339, 99.5365204 15.4680962)"
255635370,,residential,,False,True,203.339,,"LINESTRING (99.5374788 15.4676009, 99.5378862 15.4683116, 99.5383964 15.4692015)"
1153420008,อน.4034,tertiary,,False,False,42.936,2,"LINESTRING (99.5365204 15.4680962, 99.5363265 15.4677583)"
1153420008,อน.4034,tertiary,,False,True,93.695,2,"LINESTRING (99.5365204 15.4680962, 99.5369518 15.4688291)"
255635064,,unclassified,,False,False,116.544,,"LINESTRING (99.5365204 15.4680962, 99.537028 15.4678339, 99.5374788 15.4676009)"
255635064,,unclassified,,False,True,123.86500000000001,,"LINESTRING (99.5365204 15.4680962, 99.5359931 15.4683795, 99.5355264 15.4686638)"
255635369,,residential,,False,False,93.971,,"LINESTRING (99.5355264 15.4686638, 99.5359877 15.4693825)"
255635064,,unclassified,,False,False,123.86500000000001,,"LINESTRING (99.5355264 15.4686638, 99.5359931 15.4683795, 99.5365204 15.4680962)"
255635064,,unclassified,,False,True,180.41499999999996,,"LINESTRING (99.5355264 15.4686638, 99.5350007 15.4690516, 99.5345984 15.4693877, 99.5344964 15.4694549, 99.5344106 15.4694704, 99.5343194 15.4694342, 99.534194 15.4693103)"
197733429,3438,secondary,7,False,False,286.95799999999997,,"LINESTRING (99.534194 15.4693103, 99.534498 15.4690444, 99.5352194 15.4684681, 99.5357953 15.468079, 99.5363265 15.4677583)"
