osmid,oneway,ref,highway,reversed,length,geometry,junction
155065809,False,นบ.5035,tertiary,False,8.522,"LINESTRING (100.3665723 13.8334088, 100.3665514 13.8334827)",
"[901476627, 901476628, 901476630]",True,,residential,False,29.563,"LINESTRING (100.3665723 13.8334088, 100.3665068 13.8333878, 100.3664683 13.8333764, 100.3664453 13.8333697, 100.3664012 13.8333569, 100.3663068 13.8333522)",
155065809,False,นบ.5035,tertiary,False,427.163,"LINESTRING (100.366144 13.835244, 100.3661362 13.8353051, 100.3661263 13.8353831, 100.3661096 13.8356829, 100.3661055 13.83574, 100.3660834 13.836055, 100.3660686 13.8361254, 100.3660405 13.8361853, 100.3660007 13.8362479, 100.365721 13.8365404, 100.3654933 13.8367765, 100.3654413 13.8368437, 100.365319 13.837033, 100.3651848 13.8372934, 100.3650977 13.8374848, 100.3650346 13.8376606, 100.3649984 13.8378065, 100.3649783 13.837912, 100.3649687 13.8380393, 100.3649475 13.8383339, 100.3649286 13.8387534)",
155065809,False,นบ.5035,tertiary,True,99.247,"LINESTRING (100.366144 13.835244, 100.3662902 13.8346044, 100.3663429 13.8343726)",
224355931,False,,residential,False,157.703,"LINESTRING (100.366144 13.835244, 100.3662769 13.8352606, 100.36633 13.8352672, 100.3667939 13.8352986, 100.3675978 13.8353783)",
224355606,False,,residential,False,54.8,"LINESTRING (100.3679669 13.8371587, 100.3674605 13.8371255)",
694758070,False,,residential,True,35.667,"LINESTRING (100.3671311 13.8371012, 100.3674605 13.8371255)",
224355929,False,,residential,False,74.985,"LINESTRING (100.366835 13.83621, 100.3675283 13.8362498)",
224355926,False,,residential,False,27.985,"LINESTRING (100.3677247 13.8340329, 100.3677044 13.8342838)",
224355924,False,,residential,False,28.052,"LINESTRING (100.3674162 13.834611, 100.3676751 13.8346321)",
224355923,False,,residential,False,27.587,"LINESTRING (100.3673894 13.8349757, 100.3676442 13.8349941)",
694773830,False,,residential,True,54.256,"LINESTRING (100.3681444 13.8350409, 100.3676442 13.8349941)",
694758068,False,,residential,True,54.649,"LINESTRING (100.3680331 13.8362857, 100.3675283 13.8362498)",
