osmid,lanes,highway,oneway,reversed,length,name,maxspeed,geometry,ref,bridge,junction
156365747,2,unclassified,False,False,264.846,,,"LINESTRING (101.1555656 16.417051, 101.1578838 16.4179044)",,,
571167047,2,secondary,False,False,140.411,ถนนพระพุทธบาท,60,"LINESTRING (101.1555656 16.417051, 101.155644 16.4183115)",,,
156365747,2,unclassified,False,True,100.34100000000001,,,"LINESTRING (101.1555656 16.417051, 101.1547422 16.4167621, 101.1546785 16.4167563)",,,
571167047,2,secondary,False,True,259.814,ถนนพระพุทธบาท,60,"LINESTRING (101.1555656 16.417051, 101.1554342 16.4153169, 101.1554065 16.4151808, 101.1553545 16.415073, 101.1551408 16.4148012)",,,
570962460,,residential,False,False,48.388,,,"LINESTRING (101.155644 16.4183115, 101.1551907 16.4182942)",,,
571167047,2,secondary,False,True,140.411,ถนนพระพุทธบาท,60,"LINESTRING (101.155644 16.4183115, 101.1555656 16.417051)",,,
570959417,2,residential,False,False,88.54100000000001,,30,"LINESTRING (101.155644 16.4183115, 101.15585 16.4183051, 101.1564338 16.4182922, 101.1564725 16.4183021)",,,
571167047,2,secondary,False,False,84.158,ถนนพระพุทธบาท,60,"LINESTRING (101.155644 16.4183115, 101.1556567 16.4185435, 101.1556634 16.4186666, 101.1556854 16.4190673)",,,
156365732,2,secondary,False,True,51.999,ถนนเพชรเจริญ,60,"LINESTRING (101.1556854 16.4190673, 101.155199 16.4190356)",,,
1088123586,2,secondary,False,False,224.156,ถนนนิกรบำรุง,60,"LINESTRING (101.1556854 16.4190673, 101.1558538 16.4210767)",,,
156365732,2,secondary,False,False,115.58200000000001,ถนนเพชรเจริญ,60,"LINESTRING (101.1556854 16.4190673, 101.1565611 16.4193879, 101.156688 16.4194578)",,,
571167047,2,secondary,False,True,84.158,ถนนพระพุทธบาท,60,"LINESTRING (101.1556854 16.4190673, 101.1556634 16.4186666, 101.1556567 16.4185435, 101.155644 16.4183115)",,,
1002619248,2,unclassified,False,False,177.761,,,"LINESTRING (101.155887 16.421757, 101.1574605 16.4222839)",,,
1088123586,2,secondary,False,False,46.299,ถนนนิกรบำรุง,60,"LINESTRING (101.155887 16.421757, 101.1558472 16.4219097, 101.1557576 16.422154)",,,
