osmid,highway,width,oneway,reversed,length,geometry,lanes,name,bridge
1185936686,unclassified,10,False,False,16.397,"LINESTRING (100.5348387 14.0164874, 100.5348621 14.0166331)",,,
1185936685,residential,,False,True,80.22500000000001,"LINESTRING (100.5348387 14.0164874, 100.5343288 14.0166017, 100.5342391 14.0166063, 100.5341124 14.0165761)",,,
1175053629,residential,,False,True,102.398,"LINESTRING (100.5348856 14.0170544, 100.5339714 14.017302)",,,
1185936686,unclassified,10,False,True,15.746,"LINESTRING (100.5348856 14.0170544, 100.5348844 14.0169128)",,,
1185936686,unclassified,10,False,False,78.35900000000001,"LINESTRING (100.5348856 14.0170544, 100.5348285 14.0176834, 100.5347977 14.0177503)",,,
81824084,unclassified,,False,False,61.198,"LINESTRING (100.5345865 14.017905, 100.5345951 14.0184553)",,,
707870543,unclassified,,True,False,12.075,"LINESTRING (100.5345865 14.017905, 100.5345436 14.0178047)",,,
1175053648,tertiary,9,True,False,14.343,"LINESTRING (100.5345865 14.017905, 100.5346855 14.0178189)",3,ถนนปทุมสัมพันธ์,
81824084,unclassified,,False,True,61.198,"LINESTRING (100.5345951 14.0184553, 100.5345865 14.017905)",,,
81824084,unclassified,,False,False,101.593,"LINESTRING (100.5345951 14.0184553, 100.5345701 14.0188089, 100.5345579 14.018981, 100.5345306 14.0193668)",,,
694822462,residential,,False,False,165.70999999999998,"LINESTRING (100.5345951 14.0184553, 100.5340678 14.0185207, 100.5338891 14.0185555, 100.5338596 14.018562, 100.5338354 14.018577, 100.5338261 14.01859, 100.5338204 14.0186082, 100.5338038 14.0188723, 100.5337762 14.0193125)",,,
81824084,unclassified,,False,True,55.971,"LINESTRING (100.534188 14.0224864, 100.5342478 14.0219864)",,,
154417238,residential,,False,False,101.275,"LINESTRING (100.534188 14.0224864, 100.5340851 14.0233917)",,,
694822463,residential,,False,True,29.208,"LINESTRING (100.534188 14.0224864, 100.5344564 14.0224519)",,,
29796554,tertiary,,False,False,85.73100000000001,"LINESTRING (100.534188 14.0224864, 100.5335931 14.0224553, 100.5333942 14.0224529)",,ถนนพัฒนสัมพันธ์,
220646064,residential,,False,False,53.394,"LINESTRING (100.532763 14.0238652, 100.5325548 14.0239435, 100.532292 14.0240102)",,,
220646064,residential,,False,True,158.53699999999998,"LINESTRING (100.532763 14.0238652, 100.5332862 14.0235583, 100.5334146 14.0234795, 100.5335696 14.0233994, 100.5336728 14.0233483, 100.5338117 14.023361, 100.5340851 14.0233917)",,,
930489226,residential,,False,False,38.891,"LINESTRING (100.532763 14.0238652, 100.5327344 14.0237341, 100.532725 14.0236508, 100.5327304 14.0235961, 100.5327465 14.0235207)",,,
45490375,residential,,False,False,13.642,"LINESTRING (100.5316165 14.0184153, 100.5315565 14.0183073)",,,
1175053649,tertiary,9,True,False,325.4,"LINESTRING (100.5316165 14.0184153, 100.5345865 14.017905)",3,ถนนปทุมสัมพันธ์,
45490375,residential,,False,True,82.416,"LINESTRING (100.5316165 14.0184153, 100.5316273 14.0185384, 100.5317068 14.0191512)",,,
45490375,residential,,False,True,13.642,"LINESTRING (100.5315565 14.0183073, 100.5316165 14.0184153)",,,
1175053631,residential,,False,True,30.982,"LINESTRING (100.5315565 14.0183073, 100.5314783 14.0180392)",,,
1175053630,tertiary,9,True,False,327.076,"LINESTRING (100.5345436 14.0178047, 100.533279 14.0180269, 100.5315565 14.0183073)",2,ถนนปทุมสัมพันธ์,
154417238,residential,,False,True,41.29,"LINESTRING (100.5347037 14.024829, 100.5345514 14.0247027, 100.5344102 14.0245907)",,,
154417238,residential,,False,False,42.906,"LINESTRING (100.5340942 14.0243564, 100.5344102 14.0245907)",,,
154417238,residential,,False,True,52.92400000000001,"LINESTRING (100.5340942 14.0243564, 100.5339787 14.0242765, 100.5339575 14.02425, 100.5339538 14.0242122, 100.5340203 14.0239533)",,,
154417238,residential,,False,True,62.837,"LINESTRING (100.5340203 14.0239533, 100.5340851 14.0233917)",,,
