osmid,ref,highway,oneway,reversed,length,geometry,bridge,lanes
904656536,107,primary,False,False,39.614,"LINESTRING (99.2956286 20.0317013, 99.2952495 20.0316931)",,
904656536,107,primary,False,True,38.33,"LINESTRING (99.2956286 20.0317013, 99.2959935 20.0317373)",,
139226996,,residential,False,False,113.511,"LINESTRING (99.2956286 20.0317013, 99.2958496 20.032039, 99.2961339 20.0326034)",,
167933634,,residential,False,True,59.234,"LINESTRING (99.2962776 20.0317654, 99.2962803 20.0312327)",,
904656536,107,primary,False,False,29.843,"LINESTRING (99.2962776 20.0317654, 99.2959935 20.0317373)",,
904656536,107,primary,False,True,52.979,"LINESTRING (99.2962776 20.0317654, 99.296701 20.031902, 99.296753 20.0319291)",,
40211524,107,primary,False,True,44.918,"LINESTRING (99.2989087 20.0334513, 99.2992115 20.0337381)",,
"[904656536, 904656537, 40211524]",107,primary,False,False,195.008,"LINESTRING (99.2989087 20.0334513, 99.2979647 20.0327597, 99.2978252 20.0326564, 99.2974441 20.0323641)",yes,
243154592,,residential,False,False,115.352,"LINESTRING (99.2989087 20.0334513, 99.2985881 20.0338909, 99.2982752 20.0343009)",,
243154592,,residential,False,True,107.545,"LINESTRING (99.2989087 20.0334513, 99.2990779 20.0331708, 99.2993203 20.0325676)",,
139226988,,residential,False,True,14.047,"LINESTRING (99.296855 20.0328401, 99.2969799 20.0327933)",,
139226996,,residential,False,True,79.797,"LINESTRING (99.296855 20.0328401, 99.2961339 20.0326034)",,
139226988,,residential,False,False,209.779,"LINESTRING (99.296855 20.0328401, 99.2966759 20.033211, 99.296449 20.0337888, 99.2963478 20.0339244, 99.2962498 20.0340559, 99.2957781 20.0343597)",,
139226996,,residential,False,False,79.797,"LINESTRING (99.2961339 20.0326034, 99.296855 20.0328401)",,
139226973,,residential,False,False,199.007,"LINESTRING (99.2961339 20.0326034, 99.2959062 20.0335083, 99.2958615 20.0338011, 99.2957781 20.0343597)",,
139226996,,residential,False,True,113.511,"LINESTRING (99.2961339 20.0326034, 99.2958496 20.032039, 99.2956286 20.0317013)",,
139226988,,residential,False,True,6.85,"LINESTRING (99.2957783 20.0344213, 99.2957781 20.0343597)",,
139226974,,residential,False,True,67.74300000000001,"LINESTRING (99.2957783 20.0344213, 99.2960672 20.0349112, 99.2960964 20.034952)",,
139226988,,residential,False,False,128.796,"LINESTRING (99.2957783 20.0344213, 99.295399 20.0347177, 99.2948862 20.034948, 99.2947332 20.0350201)",,
139226990,,residential,False,True,141.645,"LINESTRING (99.2947332 20.0350201, 99.2938606 20.0359951)",,
139226988,,residential,False,True,128.796,"LINESTRING (99.2947332 20.0350201, 99.2948862 20.034948, 99.295399 20.0347177, 99.2957783 20.0344213)",,
139226988,,residential,False,False,6.85,"LINESTRING (99.2957781 20.0343597, 99.2957783 20.0344213)",,
139226973,,residential,False,True,199.007,"LINESTRING (99.2957781 20.0343597, 99.2958615 20.0338011, 99.2959062 20.0335083, 99.2961339 20.0326034)",,
139226988,,residential,False,True,209.779,"LINESTRING (99.2957781 20.0343597, 99.2962498 20.0340559, 99.2963478 20.0339244, 99.296449 20.0337888, 99.2966759 20.033211, 99.296855 20.0328401)",,
139226974,,residential,False,False,67.74300000000001,"LINESTRING (99.2960964 20.034952, 99.2960672 20.0349112, 99.2957783 20.0344213)",,
"[139226974, 167933639]",,residential,False,True,286.169,"LINESTRING (99.2960964 20.034952, 99.2960462 20.035166, 99.296068 20.0353979, 99.296256 20.0352415, 99.296374 20.0352062, 99.2965081 20.0352617, 99.2966959 20.0353423, 99.2970874 20.0354821, 99.2974256 20.0355206, 99.2978115 20.0356297, 99.2980472 20.0356939, 99.2981665 20.0357198)",,
"[243154592, 139226998]",,residential,False,"[False, True]",251.08499999999998,"LINESTRING (99.2960964 20.034952, 99.2965731 20.0346948, 99.2967438 20.0346289, 99.2967942 20.0346105, 99.2968599 20.0345808, 99.2971229 20.0346417, 99.2973893 20.0346417, 99.2975908 20.0345936, 99.2977445 20.0344877, 99.2981783 20.03443, 99.2982034 20.0343906, 99.2982752 20.0343009)",,
167933634,,residential,False,False,59.234,"LINESTRING (99.2962803 20.0312327, 99.2962776 20.0317654)",,
964233540,,residential,False,False,38.204,"LINESTRING (99.2962803 20.0312327, 99.2959146 20.0312312)",,
167933634,,residential,False,True,46.766999999999996,"LINESTRING (99.2962803 20.0312327, 99.2965345 20.0312023, 99.2967259 20.0312046)",,
167933634,,residential,False,False,46.766999999999996,"LINESTRING (99.2967259 20.0312046, 99.2965345 20.0312023, 99.2962803 20.0312327)",,
