osmid,highway,oneway,reversed,length,bridge,geometry,lanes,name
144910243,residential,False,False,149.225,,"LINESTRING (100.0859644 7.6173291, 100.0846244 7.6171369)",,
"[1033383304, 323676195, 1033383303]",residential,False,False,86.705,yes,"LINESTRING (100.0859644 7.6173291, 100.0858149 7.6179606, 100.0857965 7.6180385, 100.0857833 7.6180879)",,
959171862,secondary,False,False,84.241,,"LINESTRING (100.0836233 7.6185208, 100.0843464 7.6187663)",4,ถนนราเมศวร์
959171862,secondary,False,True,224.89,,"LINESTRING (100.0836233 7.6185208, 100.0816839 7.6178921)",4,ถนนราเมศวร์
"[1033383305, 1033383306, 144910241]",residential,False,False,173.567,yes,"LINESTRING (100.0836233 7.6185208, 100.0837702 7.617856, 100.0837815 7.6177476, 100.0837488 7.6175572, 100.0836992 7.6173967, 100.0837399 7.6169883)",,
144910279,residential,False,False,95.035,,"LINESTRING (100.0843464 7.6187663, 100.0841276 7.619593)",,
959171862,secondary,False,False,103.126,,"LINESTRING (100.0843464 7.6187663, 100.085234 7.6190598)",4,ถนนราเมศวร์
959171862,secondary,False,True,84.241,,"LINESTRING (100.0843464 7.6187663, 100.0836233 7.6185208)",4,ถนนราเมศวร์
151510951,residential,False,True,96.01400000000001,,"LINESTRING (100.0813799 7.6190471, 100.081652 7.6190964, 100.0822095 7.6193012)",,
505895958,unclassified,False,False,195.068,,"LINESTRING (100.0813799 7.6190471, 100.0815561 7.6193459, 100.0817172 7.6201213, 100.0818188 7.6203524, 100.0818832 7.6204268, 100.0819796 7.6204951, 100.0821255 7.6205308)",2,ทัณฑ์บำรุง
144910142,unclassified,False,True,356.281,,"LINESTRING (100.0865418 7.6195503, 100.0862109 7.6208387, 100.0860243 7.6216506, 100.0857433 7.6226546)",,
323676127,secondary,False,False,273.347,,"LINESTRING (100.0865418 7.6195503, 100.088124 7.6201271, 100.0888721 7.6203918)",4,ถนนอภัยบริรักษ์
"[959171863, 1075535380, 323676127]",secondary,False,True,62.91,yes,"LINESTRING (100.0865418 7.6195503, 100.0863673 7.6194776, 100.0862863 7.6194481, 100.0860912 7.6193695, 100.0860096 7.6193473)",4,ถนนอภัยบริรักษ์
144910244,residential,False,False,55.978,,"LINESTRING (100.0824778 7.6206111, 100.0824732 7.6211145)",,
505895958,unclassified,False,False,152.867,,"LINESTRING (100.0824778 7.6206111, 100.0838387 7.6208766)",2,ทัณฑ์บำรุง
505895958,unclassified,False,True,39.841,,"LINESTRING (100.0824778 7.6206111, 100.0821255 7.6205308)",2,ทัณฑ์บำรุง
144910279,residential,False,False,88.934,,"LINESTRING (100.0838387 7.6208766, 100.0837712 7.6216736)",,
505895958,unclassified,False,True,152.867,,"LINESTRING (100.0838387 7.6208766, 100.0824778 7.6206111)",2,ทัณฑ์บำรุง
144910279,residential,False,True,146.24599999999998,,"LINESTRING (100.0838387 7.6208766, 100.0840254 7.620019, 100.0841276 7.619593)",,
