osmid,oneway,highway,reversed,length,bridge,geometry,name
152945289,True,tertiary,False,48.794,,"LINESTRING (102.2260105 12.4525104, 102.2256212 12.4527296)",
"[550949250, 550949251, 386127979]",False,unclassified,True,106.988,yes,"LINESTRING (102.2260105 12.4525104, 102.2265499 12.4520598, 102.2266587 12.4519688, 102.2267599 12.4518857)",
551136651,False,tertiary,True,38.84,,"LINESTRING (102.2260105 12.4525104, 102.2261399 12.452743, 102.2261813 12.4528173)",ถนนเทศบาล สาย 4
551136651,False,tertiary,False,38.84,,"LINESTRING (102.2261813 12.4528173, 102.2261399 12.452743, 102.2260105 12.4525104)",ถนนเทศบาล สาย 4
551136651,False,tertiary,True,163.042,,"LINESTRING (102.2261813 12.4528173, 102.2262652 12.4529693, 102.226648 12.4536628, 102.2267222 12.4537971, 102.2268938 12.454108)",ถนนเทศบาล สาย 4
550956831,False,residential,False,79.57,,"LINESTRING (102.2268938 12.454108, 102.2275242 12.4537431)",
152945291,False,residential,True,103.05600000000001,,"LINESTRING (102.2268938 12.454108, 102.2266178 12.4542707, 102.2262254 12.4547479)",
550943798,True,tertiary,False,142.754,,"LINESTRING (102.2268938 12.454108, 102.2269243 12.454211, 102.2274886 12.4552506)",ถนนเทศบาล สาย 4
551136651,False,tertiary,False,163.04199999999997,,"LINESTRING (102.2268938 12.454108, 102.2267222 12.4537971, 102.226648 12.4536628, 102.2262652 12.4529693, 102.2261813 12.4528173)",ถนนเทศบาล สาย 4
152945289,True,tertiary,False,58.384,,"LINESTRING (102.2236909 12.4540058, 102.2232102 12.4542411)",
152945474,False,residential,False,83.815,,"LINESTRING (102.2236909 12.4540058, 102.2234674 12.4536076, 102.2233199 12.4533448)",
550943791,False,residential,False,73.97,,"LINESTRING (102.2247304 12.4540517, 102.2243399 12.4535066)",
550943791,False,residential,True,15.878,,"LINESTRING (102.2247304 12.4540517, 102.2248198 12.4541647)",
152945286,True,tertiary,False,208.945,,"LINESTRING (102.2247304 12.4540517, 102.2251183 12.4537217, 102.2261813 12.4528173)",
152945293,False,tertiary,False,9.187,,"LINESTRING (102.2220897 12.4547895, 102.222014 12.4548264)",
