osmid,oneway,name,highway,reversed,length,geometry,bridge,lanes,ref,junction
23274134,True,ถนนดีบุก,tertiary,False,136.304,"LINESTRING (98.3876457 7.8862727, 98.3877498 7.8862453, 98.3884317 7.8860658, 98.3885015 7.8860595, 98.3888542 7.8860279)",,,,
268298981,False,ถนนดีบุก,residential,True,232.23000000000002,"LINESTRING (98.3876457 7.8862727, 98.3875714 7.8862831, 98.3855559 7.8865497)",,,,
753631717,False,ถนนเยาวราช,secondary,True,83.693,"LINESTRING (98.3876457 7.8862727, 98.3876532 7.8863632, 98.3877262 7.8870211)",,,,
89792306,False,ถนนมนตรี,tertiary,False,136.707,"LINESTRING (98.3931637 7.8859914, 98.3930671 7.8853299, 98.3929757 7.8847762)",,,,
89792306,False,ถนนมนตรี,tertiary,True,121.371,"LINESTRING (98.3931637 7.8859914, 98.3932282 7.8864158, 98.3932456 7.8865179, 98.3932905 7.8868637, 98.3933264 7.8870708)",,,,
"[90345713, 90345701]",False,ถนนดีบุก,residential,True,221.141,"LINESTRING (98.3931637 7.8859914, 98.3931181 7.8859987, 98.3926892 7.8860673, 98.392375 7.8861038, 98.3922871 7.8861139, 98.3922314 7.8861192, 98.39194 7.8861374, 98.3916681 7.886138, 98.3914605 7.8861085, 98.3913923 7.886103, 98.3911694 7.8860785)",yes,,,
"[55932234, 90345701]",False,ถนนดีบุก,residential,False,70.914,"LINESTRING (98.3905408 7.8859434, 98.3906 7.8859557, 98.3910982 7.886072, 98.3911694 7.8860785)",yes,3,,
100811736,False,ถนนเทพกระษัตรี,primary,True,49.004999999999995,"LINESTRING (98.3905408 7.8859434, 98.3905112 7.8860525, 98.3904253 7.886369)",,,ภก.ถ2-0032,
393259331,True,ถนนเทพกระษัตรี,primary,False,60.19,"LINESTRING (98.3905408 7.8859434, 98.3905798 7.8858122, 98.390695 7.8854241)",,3,ภก.ถ2-0032,
"[90345720, 90345700, 23286934]",False,ถนนถลาง,residential,True,103.62300000000002,"LINESTRING (98.3908127 7.8846615, 98.3908939 7.8846589, 98.3910546 7.8846505, 98.3912199 7.8846447, 98.3913427 7.884631, 98.3917501 7.8845885)",yes,,,
235838574,True,ถนนถลาง,residential,False,116.66,"LINESTRING (98.3908127 7.8846615, 98.3907333 7.884667, 98.3897561 7.8847344)",,,,
237181307,True,ถนนภูเก็ต,primary,False,118.00599999999999,"LINESTRING (98.3908127 7.8846615, 98.3908163 7.8845589, 98.390847 7.8836894, 98.3908501 7.8836009)",,2,,
55932237,True,ถนนกระบี่,tertiary,False,111.63500000000002,"LINESTRING (98.3874673 7.8848924, 98.3874127 7.8848993, 98.3867502 7.884983, 98.3864619 7.8850194)",,,,
55936243,True,ถนนเยาวราช,secondary,False,107.327,"LINESTRING (98.3874673 7.8848924, 98.3874752 7.8849569, 98.3875845 7.8858506)",,,,
23286934,False,ถนนถลาง,residential,False,102.146,"LINESTRING (98.3929284 7.8844682, 98.3927393 7.88449, 98.3924449 7.884524, 98.392006 7.8845625)",,,,
1211620609,False,ถนนมนตรี,tertiary,False,65.375,"LINESTRING (98.3929284 7.8844682, 98.3929193 7.884411, 98.3929102 7.8843536, 98.3928742 7.8841249, 98.3928338 7.8838878)",,,,
